name,lat,lon
نقوش البيضتين,26.074505,44.959123
قصر عضيدان,21.99008,46.645203
قصر ساقية الناهض,24.513803,47.717421
قصر ابو جفان,24.872425,45.649867
قصر السويري الأثري,25.673332,45.222645
اثار,25.657454,45.548973
اثار,20.569925,44.955196
اثار العلاشه,21.993427,46.229353
اثار قصر,21.994457,46.656961
اثار مشبكة,24.791357,43.477428
أثار حليت,24.212022,44.685323
نقوش ماسل,24.218309,44.685602
نقوش ماسل,24.220326,44.684508
حائرة المزيرع,21.346951,46.864071
حائرة ام عشر,26.928692,45.142651
خبراء ابن شرار,22.166805,45.330963
خبراء الحفنة,25.535595,46.435089
خبراء الخابية,26.821747,45.262299
خبراء الفغم,23.975751,45.825305
خبراء القراح,24.463527,45.431406
خبراء الكدرة,23.984334,45.810456
خبراء الهماج,22.145691,45.477219
خبراء ام الجول,23.967211,45.832
خبراء برزات,24.371452,46.369364
خبراء المحلية,22.211266,46.669064
خزان الروضة,25.109253,45.762863
روضة أم الشقوق,25.233192,47.417335
روضة أم قطا,25.100498,44.398327
روضة ابن حميدان,25.605869,45.066776
روضة ابن هريول,25.580635,45.083771
روضة ابو خر,25.715046,46.045074
روضة البركات,25.733135,46.07578
روضة الجراد,25.376701,45.857792
روضة الحبيل,25.010312,45.38832
روضة الحبيل,26.368904,45.889034
روضة الحصاة,24.39615,46.247528
روضة الخرارة,24.402394,46.195943
روضة الخريريرة,25.405884,45.828953
روضة الخريمة,25.569477,45.093727
روضة الخويبية,25.430088,46.015549
روضة الخويبية,25.161095,46.592331
روضة الخويبية,24.892831,45.753465
روضة الداخلية,25.14159,44.724483
روضة الرجوم,25.437641,45.775909
روضة الرحى,25.969942,46.0587
روضة الردايف,25.388675,45.218804
روضة الرمحية,25.209804,45.172155
روضة الزهيرية,26.378689,44.980087
روضة السبلة,26.365643,45.559273
روضة السويق,26.1233,45.777133
روضة الشحمة,25.938034,45.540905
روضة الشفلحية,25.069342,44.673028
روضة الصدع,24.658813,45.307617
روضة الصهد,25.99509,46.134875
روضة الطراق,25.331383,45.812302
روضة العتيك,24.477711,43.006153
روضة العوراء,25.414639,44.483299
روضة العين,25.744207,45.984542
روضة الغراميل,26.379204,45.608196
روضة القاعية,25.759807,45.448937
روضة القريف,25.879412,45.82376
روضة القصر,25.748885,46.033058
روضة الكثران,25.085735,45.683556
روضة الكثير,26.45555,44.879236
روضة الكسر,24.387245,46.339002
روضة المحلية,24.258499,46.773348
روضة المخلاف,25.491371,45.697632
روضة المزيرع,25.660114,45.261784
روضة المزيرعة,25.202551,47.462611
روضة المسعودي,25.493431,45.898647
روضة المشرات,25.733414,46.235661
روضة المطوع,24.204147,45.822644
روضة المغيدر,26.249428,45.565281
روضة النظيم,25.460644,45.074501
روضة الهوبجة,25.902565,45.82125
روضة الوسيطى,24.972954,45.140762
روضة ام الحصانية,25.598659,45.125999
روضة ام العصافير,25.092323,44.642
روضة ام خشيم,26.349163,45.618496
روضة ام سدر,26.006012,44.562263
روضة ام شبرم,25.870399,44.649124
روضة ام شبرم,25.451202,45.117588
روضة ام شيح,25.109017,44.566104
روضة ام شيحة,26.926439,45.67023
روضة ام عشر,26.069698,45.836678
روضة ام عواقيل,24.66568,45.397396
روضة ام عواقيل,26.05442,45.789492
روضة ام عويقيلات,26.051502,45.891781
روضة ام قلبان,25.158885,44.608119
روضة ام هلي,25.833836,45.95654
روضة برغش,25.193689,45.62341
روضة برودان,25.816154,45.985959
روضة دريبات الخيل,24.729366,45.402031
روضة سدران,24.69821,45.947614
روضة سمحان,26.03101,45.833781
روضة سمليل,26.646116,44.983842
روضة شويهينة,26.797543,45.338516
روضة صنة,26.316912,45.625985
روضة طاسان,25.016792,45.649717
روضة طريف الحبل,25.908101,45.732307
روضة طلايب,24.915125,46.445067
روضة عقرباء,25.689318,46.166825
روضة فويلج,23.305221,46.789098
روضة فياخ,25.153885,45.482368
روضة قاع ثرمداء,25.629215,46.111507
روضة قبعة,24.278026,46.786737
روضة مخيريق,25.438843,44.444504
روضة مطربة,26.187286,45.755653
روضة مطربة,26.151667,45.77945
روضة مطيربة,25.69376,46.225147
روضة نورة,25.470557,45.1893
رويضات السلم,26.022127,45.7793
رياض بادي,25.153842,46.26729
سد,25.697536,45.43529
سد الجزر,23.670967,46.430132
سد الحريق,23.523831,46.79163
سد الحريق,22.824268,44.955518
سد الحفيرة,23.450983,46.690972
سد الحلوة,23.99178,43.332288
سد الحنابج,21.125336,43.796139
سد الدحل,24.234252,44.153559
سد الشعراء,22.600679,46.45925
سد الغيل,23.994935,45.012424
سد النسق القديم,25.986657,45.014591
سد الوسيعة,24.056883,45.243523
سد ام هيشة,21.542881,44.035091
سد بالان,24.157927,43.449533
سد جفنا,23.851426,45.396259
سد حجيلاء,25.094061,46.07739
سد حريملاء,25.006213,46.147985
سد سدوس,25.073526,46.335869
سد صلبوخ,23.832843,45.203075
سد عنان,21.381927,44.243853
سد مطيريحة,25.143435,46.240683
سد ملهم,23.968885,44.909556
سد نخيلان,25.274842,46.022909
سد وادي الصفرات,23.569558,42.912233
شعب ريحان,20.262566,44.532952
شعبان البراعم,22.797318,43.853474
شعبان الحفيرة,22.89525,43.50528
شعبان الخزم,23.654573,44.372663
شعبان الركية,24.330597,47.029982
شعبان الزويليات,24.368942,46.99198
شعبان الزويليات,24.224145,46.733415
شعبان السمريات,23.468127,46.708589
شعبان القراين,23.687382,46.915419
شعبان القرينات,25.100434,47.216964
شعبان المسعودية,23.742034,46.920354
شعبان النخلة,23.13195,45.52331
شعبان ام حشاريج,23.14461,45.47915
شعبان ام حشاريج,24.484255,44.639318
شعبان امهات سدر,23.729568,46.801436
شعبان بني دجين,24.13559,47.633629
شعبان كبيشات,25.829351,46.522658
شعبان محارق,22.250662,47.473941
شعبان مخيط,22.169209,47.377682
شعبان مريغان,21.964867,44.77257
شعبان ملاكيك,25.996742,45.034032
شعبة,24.860558,46.484141
شعيب أبا السواكيف,26.032856,46.063077
شعيب أبن معدل,26.013393,46.29864
شعيب أبن معدل,26.839149,45.031822
شعيب أبو أراطي الغربي,26.806104,45.118296
شعيب أبو اراطي الجنوبي,26.666071,45.031607
