name,lon_lat,coor_type,category
مقبرة الاتراك,"[[41.164377, 20.292435]]",POINT,أسماء ثانوية
سقايف الذنبة,"[[41.276021, 20.246344]]",POINT,أسماء ثانوية
سقايف العلبه,"[[41.208301, 20.278358]]",POINT,أسماء ثانوية
سقايف قوسي,"[[41.272459, 20.269303]]",POINT,أسماء ثانوية
صار الذياب,"[[41.216176, 20.321832]]",POINT,أسماء ثانوية
صحن رافة,"[[41.99805, 20.527804]]",POINT,أسماء ثانوية
صخار الحمام,"[[41.420281, 20.069447]]",POINT,أسماء ثانوية
صدر بقعاء,"[[41.352432, 20.047302]]",POINT,أسماء ثانوية
صدر رباع,"[[41.355071, 20.049126]]",POINT,أسماء ثانوية
صدر نعاش,"[[41.361079, 20.026016]]",POINT,أسماء ثانوية
صفا العبد,"[[41.170084, 20.341165]]",POINT,أسماء ثانوية
صفاء حاسر,"[[41.301105, 19.825022]]",POINT,أسماء ثانوية
طلعت سليح,"[[41.086228, 20.081141]]",POINT,أسماء ثانوية
ظهر العداء,"[[41.217227, 20.236666]]",POINT,أسماء ثانوية
ظهى,"[[41.140194, 20.203857]]",POINT,أسماء ثانوية
عبيد قراما,"[[41.282244, 19.751959]]",POINT,أسماء ثانوية
عجاف,"[[41.207528, 20.370262]]",POINT,أسماء ثانوية
عروق العيينة,"[[41.251194, 20.378308]]",POINT,أسماء ثانوية
غابة جدر,"[[41.386657, 20.063889]]",POINT,أسماء ثانوية
غابة خير,"[[41.392965, 20.053976]]",POINT,أسماء ثانوية
غابة رغدان,"[[41.469483, 20.040371]]",POINT,أسماء ثانوية
غابة عمضان,"[[41.225145, 20.219157]]",POINT,أسماء ثانوية
غبير,"[[41.204224, 20.31209]]",POINT,أسماء ثانوية
غدير ابو مقاطر,"[[41.015525, 19.710009]]",POINT,أسماء ثانوية
غدير الحياد,"[[41.298723, 19.81822]]",POINT,أسماء ثانوية
غدير العروس,"[[41.600568, 19.885404]]",POINT,أسماء ثانوية
غدير الفيع,"[[41.234393, 20.346358]]",POINT,أسماء ثانوية
غليل,"[[41.248448, 20.289259]]",POINT,أسماء ثانوية
فهران,"[[41.298594, 19.828048]]",POINT,أسماء ثانوية
قاع نقع,"[[41.979961, 20.676956]]",POINT,أسماء ثانوية
قبر خميس,"[[41.338012, 20.034835]]",POINT,أسماء ثانوية
قرن الضهي,"[[41.972473, 20.605824]]",POINT,أسماء ثانوية
قرية السند,"[[41.142747, 20.236108]]",POINT,أسماء ثانوية
قرية المخواة الاثرية,"[[41.429873, 19.778953]]",POINT,أسماء ثانوية
قصر الامير,"[[41.269004, 19.886155]]",POINT,أسماء ثانوية
كبة الخياله,"[[41.34666, 20.045543]]",POINT,أسماء ثانوية
كبري القعرة,"[[41.415882, 20.030479]]",POINT,أسماء ثانوية
كظامة,"[[41.260614, 20.278981]]",POINT,أسماء ثانوية
كظمة صدعا,"[[41.45575, 19.952824]]",POINT,أسماء ثانوية
محمية البدعه,"[[41.166029, 20.120001]]",POINT,أسماء ثانوية
محمية خفة,"[[41.525831, 19.948597]]",POINT,أسماء ثانوية
محمية سيحان,"[[41.202829, 20.349383]]",POINT,أسماء ثانوية
محمية شذا الأعلى,"[[41.315353, 19.843154]]",POINT,أسماء ثانوية
مطل الشفا,"[[41.222227, 20.26175]]",POINT,أسماء ثانوية
مطل قرية بني يزيد,"[[41.219544, 20.253038]]",POINT,أسماء ثانوية
معازب رعاة الغنم,"[[41.219673, 20.331359]]",POINT,أسماء ثانوية
معازب رعاة الغنم,"[[41.219308, 20.334342]]",POINT,أسماء ثانوية
مقرى سويد,"[[41.202571, 20.281019]]",POINT,أسماء ثانوية
مقيال الرعيان,"[[41.224501, 20.322132]]",POINT,أسماء ثانوية
ملحان,"[[41.206841, 20.302305]]",POINT,أسماء ثانوية
منتزة الشكران,"[[41.701999, 19.839377]]",POINT,أسماء ثانوية
منتزة الغير,"[[41.528041, 19.942911]]",POINT,أسماء ثانوية
منتزة القمع,"[[41.69951, 19.80835]]",POINT,أسماء ثانوية
منتزة رهدا,"[[41.25761, 20.38481]]",POINT,أسماء ثانوية
منتزة غابة رغدان,"[[41.433177, 20.02166]]",POINT,أسماء ثانوية
منتزه الفرش,"[[41.558962, 19.991684]]",POINT,أسماء ثانوية
منتزه ربا,"[[41.18886, 19.986899]]",POINT,أسماء ثانوية
منتزه غابة خير,"[[41.39878, 20.05271]]",POINT,أسماء ثانوية
منجم الردوه,"[[41.599646, 20.43294]]",POINT,أسماء ثانوية
منجم غزة,"[[41.684489, 20.344362]]",POINT,أسماء ثانوية
منطقة وراخ,"[[41.546216, 20.653846]]",POINT,أسماء ثانوية
