name,lon_lat,coor_type
مقبرة الاتراك,"[[41.164377, 20.292435]]",POINT
سقايف الذنبة,"[[41.276021, 20.246344]]",POINT
سقايف العلبه,"[[41.208301, 20.278358]]",POINT
سقايف قوسي,"[[41.272459, 20.269303]]",POINT
صار الذياب,"[[41.216176, 20.321832]]",POINT
صحن رافة,"[[41.99805, 20.527804]]",POINT
صخار الحمام,"[[41.420281, 20.069447]]",POINT
صدر بقعاء,"[[41.352432, 20.047302]]",POINT
صدر رباع,"[[41.355071, 20.049126]]",POINT
صدر نعاش,"[[41.361079, 20.026016]]",POINT
صفا العبد,"[[41.170084, 20.341165]]",POINT
صفاء حاسر,"[[41.301105, 19.825022]]",POINT
طلعت سليح,"[[41.086228, 20.081141]]",POINT
ظهر العداء,"[[41.217227, 20.236666]]",POINT
ظهى,"[[41.140194, 20.203857]]",POINT
عبيد قراما,"[[41.282244, 19.751959]]",POINT
عجاف,"[[41.207528, 20.370262]]",POINT
عروق العيينة,"[[41.251194, 20.378308]]",POINT
غابة جدر,"[[41.386657, 20.063889]]",POINT
غابة خير,"[[41.392965, 20.053976]]",POINT
غابة رغدان,"[[41.469483, 20.040371]]",POINT
غابة عمضان,"[[41.225145, 20.219157]]",POINT
غبير,"[[41.204224, 20.31209]]",POINT
غدير ابو مقاطر,"[[41.015525, 19.710009]]",POINT
غدير الحياد,"[[41.298723, 19.81822]]",POINT
غدير العروس,"[[41.600568, 19.885404]]",POINT
غدير الفيع,"[[41.234393, 20.346358]]",POINT
غليل,"[[41.248448, 20.289259]]",POINT
فهران,"[[41.298594, 19.828048]]",POINT
قاع نقع,"[[41.979961, 20.676956]]",POINT
قبر خميس,"[[41.338012, 20.034835]]",POINT
قرن الضهي,"[[41.972473, 20.605824]]",POINT
قرية السند,"[[41.142747, 20.236108]]",POINT
قرية المخواة الاثرية,"[[41.429873, 19.778953]]",POINT
قصر الامير,"[[41.269004, 19.886155]]",POINT
كبة الخياله,"[[41.34666, 20.045543]]",POINT
كبري القعرة,"[[41.415882, 20.030479]]",POINT
كظامة,"[[41.260614, 20.278981]]",POINT
كظمة صدعا,"[[41.45575, 19.952824]]",POINT
محمية البدعه,"[[41.166029, 20.120001]]",POINT
محمية خفة,"[[41.525831, 19.948597]]",POINT
محمية سيحان,"[[41.202829, 20.349383]]",POINT
محمية شذا الأعلى,"[[41.315353, 19.843154]]",POINT
مطل الشفا,"[[41.222227, 20.26175]]",POINT
مطل قرية بني يزيد,"[[41.219544, 20.253038]]",POINT
معازب رعاة الغنم,"[[41.219673, 20.331359]]",POINT
معازب رعاة الغنم,"[[41.219308, 20.334342]]",POINT
مقرى سويد,"[[41.202571, 20.281019]]",POINT
مقيال الرعيان,"[[41.224501, 20.322132]]",POINT
ملحان,"[[41.206841, 20.302305]]",POINT
منتزة الشكران,"[[41.701999, 19.839377]]",POINT
منتزة الغير,"[[41.528041, 19.942911]]",POINT
منتزة القمع,"[[41.69951, 19.80835]]",POINT
منتزة رهدا,"[[41.25761, 20.38481]]",POINT
منتزة غابة رغدان,"[[41.433177, 20.02166]]",POINT
منتزه الفرش,"[[41.558962, 19.991684]]",POINT
منتزه ربا,"[[41.18886, 19.986899]]",POINT
منتزه غابة خير,"[[41.39878, 20.05271]]",POINT
منجم الردوه,"[[41.599646, 20.43294]]",POINT
منجم غزة,"[[41.684489, 20.344362]]",POINT
منطقة وراخ,"[[41.546216, 20.653846]]",POINT
نفق تالبة,"[[41.42498, 20.05801]]",POINT
نفق قلوة,"[[41.31355, 19.885533]]",POINT
حداد,"[[41.200147, 20.595396]]",POINT
حدبة الحمراء,"[[41.014774, 19.701126]]",POINT
حدبة لكمة,"[[41.004002, 19.679196]]",POINT
حرة البرقا,"[[41.635823, 20.501947]]",POINT
حرة الروضه,"[[41.58999, 20.32166]]",POINT
حرة الطية,"[[41.693609, 20.497506]]",POINT
حصن الحاوي,"[[41.272008, 20.344856]]",POINT
حصن الزربة,"[[41.160471, 20.109487]]",POINT
حصن السقا,"[[41.488795, 19.975784]]",POINT
حصن السوق,"[[41.142705, 20.237803]]",POINT
حصن العسيلة,"[[41.20285, 20.37627]]",POINT
حصن العلي,"[[41.358912, 20.024171]]",POINT
حصن الغلة,"[[41.241732, 20.240228]]",POINT
حصن القعافي,"[[41.213558, 20.32357]]",POINT
حصن القنعة,"[[41.359556, 20.025051]]",POINT
حصن القهيب,"[[41.06389, 20.138433]]",POINT
حصن حنيش,"[[41.160665, 20.110066]]",POINT
حصن دعيب,"[[41.237826, 20.304666]]",POINT
حصن سعد,"[[41.360457, 20.024042]]",POINT
حصن سفيان,"[[41.090112, 20.081334]]",POINT
حصن قرية,"[[41.156459, 20.386956]]",POINT
حصن لمغروس,"[[41.20785, 20.316253]]",POINT
حليان لهايل,"[[41.786692, 20.611854]]",POINT
حمى الجبور,"[[41.250808, 20.291126]]",POINT
حمى الحميد,"[[41.721439, 19.872122]]",POINT
حوره,"[[41.590548, 19.965484]]",POINT
خبة القوعاء,"[[40.904846, 20.038719]]",POINT
خشم الاحمر,"[[41.17238, 20.25409]]",POINT
خو العقيربان,"[[41.348634, 20.045843]]",POINT
دوس,"[[41.22242, 20.296211]]",POINT
ذيهدا,"[[41.363611, 19.719472]]",POINT
راس الصخره,"[[41.2236, 20.32475]]",POINT
راس غليسه,"[[41.209009, 20.291362]]",POINT
راك المحسني,"[[40.978167, 19.676836]]",POINT
راك المطهر,"[[41.004775, 19.690869]]",POINT
راك المنطف,"[[41.044815, 19.692972]]",POINT
راك خطيفان,"[[41.022713, 19.68426]]",POINT
ركيب السميرا,"[[41.283338, 19.804058]]",POINT
ركيب المعين,"[[41.291234, 19.824851]]",POINT
ركيب مناع,"[[41.305912, 19.80159]]",POINT
رهو الاثب,"[[41.345115, 20.04035]]",POINT
رهو رباع,"[[41.351938, 20.040565]]",POINT
رهي السقيفه,"[[41.218493, 20.325522]]",POINT
ريع اكتد,"[[41.080284, 20.037775]]",POINT
ريع الشغار,"[[41.128929, 20.058782]]",POINT
ريع الكحل,"[[41.672065, 19.995418]]",POINT
بادية غامد,"[[41.711118, 19.966214]]",POINT
بركة عيون الحمام,"[[41.299968, 19.818864]]",POINT
بلاد غامد,"[[41.642389, 19.904737]]",POINT
بلحنكة,"[[41.086614, 20.026252]]",POINT
بور الصيد,"[[41.348891, 20.045028]]",POINT
بير الضبيعة,"[[41.159892, 20.109293]]",POINT
تالبة الربيان,"[[41.426182, 20.063868]]",POINT
تل فريك القمع,"[[41.696162, 19.79393]]",POINT
اراك الصابر,"[[40.996706, 19.706168]]",POINT
ال دغمان,"[[41.403694, 20.20802]]",POINT
الاخرقه,"[[41.096013, 20.024643]]",POINT
الاساحة,"[[41.355951, 19.741187]]",POINT
البارده,"[[41.081443, 20.081635]]",POINT
الثغره,"[[41.207013, 20.278165]]",POINT
الثوده,"[[41.199524, 20.35964]]",POINT
الجزعة,"[[41.24759, 20.279109]]",POINT
الجفوف,"[[41.224179, 20.336723]]",POINT
الحازم,"[[40.98454, 20.188193]]",POINT
الحازم,"[[41.246388, 20.301297]]",POINT
الحجير,"[[41.423843, 20.02106]]",POINT
الحدب,"[[41.497078, 19.794509]]",POINT
الحزم,"[[41.871428, 20.462573]]",POINT
الحلق,"[[41.195254, 20.040929]]",POINT
الحماطه,"[[41.285162, 19.75492]]",POINT
الحمراء,"[[41.081057, 20.078008]]",POINT
الحمول,"[[41.365843, 19.944649]]",POINT
الخرق,"[[40.967546, 20.192807]]",POINT
الدارة,"[[42.102721, 20.513213]]",POINT
الدبة,"[[40.979326, 19.657416]]",POINT
الذنبه,"[[41.194418, 20.27293]]",POINT
الذنبه,"[[41.345716, 20.041144]]",POINT
الربوه,"[[41.150429, 20.48182]]",POINT
الريع الاسفل,"[[41.091056, 20.08142]]",POINT
الريع الاعلى,"[[41.081636, 20.086205]]",POINT
السطايح,"[[41.21448, 20.332689]]",POINT
السطايح,"[[41.350286, 20.042217]]",POINT
السقيفة,"[[41.249757, 20.378544]]",POINT
السكع,"[[41.549928, 19.849999]]",POINT
الشرفة,"[[41.593831, 19.889181]]",POINT
الشظي,"[[41.350522, 20.038869]]",POINT
الشعب الاسود,"[[41.406698, 20.061679]]",POINT
الشعبة,"[[40.98572, 20.195274]]",POINT
الشعيرة,"[[41.180449, 19.496698]]",POINT
الشقيب,"[[41.113715, 20.22053]]",POINT
الشنان,"[[41.344535, 20.042024]]",POINT
الصحون,"[[41.353269, 20.038118]]",POINT
الصخره,"[[41.282308, 19.754233]]",POINT
الصواعده,"[[41.082387, 20.030093]]",POINT
العجمه,"[[41.632197, 19.93304]]",POINT
العمياء,"[[41.226432, 20.259047]]",POINT
العيص,"[[41.323571, 20.087879]]",POINT
الغاير,"[[41.220961, 20.26381]]",POINT
الفرائد,"[[41.010933, 19.701083]]",POINT
الفرح,"[[41.71541, 19.843411]]",POINT
الفرشة,"[[41.312113, 19.884181]]",POINT
الفقاس,"[[41.082022, 20.027261]]",POINT
الفيشة,"[[41.148069, 20.24188]]",POINT
القاره,"[[41.32973, 19.851394]]",POINT
القرى,"[[41.265206, 19.909844]]",POINT
القزعه الحمراء,"[[41.21918, 20.336101]]",POINT
القنا,"[[41.283295, 19.757001]]",POINT
القوز,"[[41.245401, 19.425631]]",POINT
الكوفشه,"[[41.218944, 20.321488]]",POINT
الكيرس,"[[41.216648, 20.311189]]",POINT
المترنجح,"[[41.350286, 20.040286]]",POINT
المجنه,"[[41.20785, 20.317369]]",POINT
