name,lon_lat,coor_type
الباحة,"[[41.466694, 20.012305]]",POINT
احمار,"[[41.325138, 19.967372]]",POINT
احمار,"[[41.264348, 19.999988]]",POINT
اريمة,"[[41.376936, 20.170684]]",POINT
ال جحاف,"[[41.206176, 20.363009]]",POINT
ال جميل,"[[41.336446, 19.973509]]",POINT
ال حماطان,"[[41.375799, 20.144806]]",POINT
ال حمامة,"[[41.23141, 20.137854]]",POINT
ال خاجة,"[[41.223407, 20.289474]]",POINT
ال دغمان,"[[41.321962, 20.239005]]",POINT
ال دغمان,"[[41.403694, 20.20802]]",POINT
ال دكنان,"[[41.21506, 19.99074]]",POINT
ال رداد,"[[41.287286, 20.024257]]",POINT
ال زارع,"[[41.668653, 19.847746]]",POINT
ال زاهي,"[[41.419229, 20.0402]]",POINT
ال زرعان,"[[41.332498, 20.189137]]",POINT
ال زنان,"[[41.355672, 20.216753]]",POINT
ال زياد,"[[41.40451, 20.30061]]",POINT
ال فارعة,"[[41.227097, 20.299237]]",POINT
ال مقرن,"[[41.720388, 19.804165]]",POINT
بني هلال,"[[41.637497, 19.826202]]",POINT
الأزاهرة,"[[41.73646, 19.823241]]",POINT
الأوقع,"[[41.203666, 19.829614]]",POINT
الإشيرة,"[[41.326275, 20.005245]]",POINT
الاثمد,"[[41.449935, 20.067408]]",POINT
الاطاولة,"[[41.35726, 20.272887]]",POINT
البارك,"[[41.416783, 20.027111]]",POINT
البدلة,"[[41.318915, 19.96866]]",POINT
البركة,"[[41.551001, 19.8665]]",POINT
البكير,"[[41.608486, 19.8456]]",POINT
البنان,"[[41.232269, 19.520516]]",POINT
البنيه,"[[41.361101, 19.819722]]",POINT
الثراوين,"[[41.299839, 20.291018]]",POINT
الثلوث,"[[41.375263, 19.443762]]",POINT
الثودة,"[[41.985154, 20.449097]]",POINT
الجادية,"[[41.444206, 20.047603]]",POINT
الجاوة,"[[41.911962, 20.29325]]",POINT
الجبلات,"[[41.250679, 20.704336]]",POINT
الجحافين,"[[41.653676, 19.841094]]",POINT
الجدية,"[[41.45324, 20.052044]]",POINT
الجرة,"[[41.420903, 20.036016]]",POINT
الجريرة,"[[41.276622, 20.344963]]",POINT
الجرين,"[[40.928085, 20.110023]]",POINT
الجفدرة,"[[41.62312, 20.475554]]",POINT
الجلحية,"[[41.566451, 19.850492]]",POINT
الجنابين,"[[41.705689, 19.958704]]",POINT
الجهامة,"[[41.408265, 20.033119]]",POINT
الجوفاء,"[[41.037519, 20.01327]]",POINT
الحامر,"[[41.571322, 19.94364]]",POINT
الحاوي,"[[41.033335, 19.990611]]",POINT
الحبشي,"[[41.465449, 20.047174]]",POINT
الحجرة,"[[41.44367, 20.086935]]",POINT
الحدب,"[[41.553876, 19.949734]]",POINT
الحدب,"[[41.599989, 19.839571]]",POINT
الحريقة,"[[40.913258, 20.108414]]",POINT
الحسمة,"[[41.33312, 20.298936]]",POINT
الحسن,"[[41.348698, 20.300353]]",POINT
الحشرج,"[[41.581192, 20.408263]]",POINT
الحصياء,"[[41.025975, 19.941623]]",POINT
الحضن,"[[41.047389, 19.88946]]",POINT
الحضيري,"[[41.406312, 20.28029]]",POINT
الحكمان,"[[41.355565, 20.207012]]",POINT
الحمران,"[[41.587543, 19.828219]]",POINT
الحمضة,"[[41.567802, 20.283959]]",POINT
الحنكه,"[[41.198795, 20.139656]]",POINT
الخليف,"[[41.225638, 19.962008]]",POINT
الدارين,"[[41.410818, 20.028226]]",POINT
الدعابة,"[[41.299174, 20.258467]]",POINT
الدهامشة,"[[41.565485, 19.943941]]",POINT
الربحة,"[[41.333914, 20.286877]]",POINT
الربض,"[[41.581771, 20.385196]]",POINT
الربوة,"[[41.66522, 20.51862]]",POINT
الرسن,"[[41.436224, 20.06288]]",POINT
الرطمة,"[[41.267867, 20.016897]]",POINT
الرهوان,"[[41.174741, 20.224457]]",POINT
الرهوه,"[[41.713865, 19.957995]]",POINT
الزرقاء,"[[41.288767, 20.10129]]",POINT
السحيمة,"[[41.703265, 19.964218]]",POINT
السحينات,"[[41.269112, 19.93319]]",POINT
السد,"[[41.622477, 19.867938]]",POINT
السيار,"[[41.580398, 19.93907]]",POINT
الشطيبة,"[[41.599023, 19.853218]]",POINT
الشعثي,"[[41.412191, 20.104229]]",POINT
الشلاوا,"[[41.290891, 20.619514]]",POINT
الشوال,"[[41.29117, 19.806676]]",POINT
الشوق,"[[41.384704, 19.705782]]",POINT
الشوق,"[[41.413994, 19.724236]]",POINT
الصعدان,"[[41.294131, 20.306876]]",POINT
الصفح,"[[41.312542, 20.081463]]",POINT
الصقاع,"[[41.554842, 19.85384]]",POINT
الصليلة,"[[41.135709, 20.250721]]",POINT
الضبيعات,"[[41.397922, 20.334985]]",POINT
الضحوات,"[[41.278961, 20.365798]]",POINT
الضرس,"[[41.439528, 19.85266]]",POINT
الطلقية,"[[41.59544, 19.865684]]",POINT
الطولة,"[[41.290998, 19.935594]]",POINT
الطيف,"[[41.219158, 20.015202]]",POINT
الظفير,"[[41.553962, 19.94334]]",POINT
العبادل,"[[41.560056, 19.94276]]",POINT
العباس,"[[41.49328, 19.965141]]",POINT
العذبة,"[[41.227033, 20.30488]]",POINT
العريش,"[[41.355135, 19.571757]]",POINT
العسلة,"[[41.579454, 19.883795]]",POINT
العشيرة,"[[41.335394, 19.508736]]",POINT
العصفرة,"[[41.65138, 19.973273]]",POINT
العفوص,"[[41.366079, 20.060177]]",POINT
العقب,"[[41.202078, 20.2039]]",POINT
العقيق,"[[41.660714, 20.271814]]",POINT
العمارة,"[[41.279368, 19.861543]]",POINT
العواصية,"[[41.177938, 19.607077]]",POINT
العودة,"[[41.160858, 19.531267]]",POINT
الغرباء,"[[41.35505, 20.132275]]",POINT
الغصنة,"[[41.380627, 19.890554]]",POINT
الفاتحة,"[[41.038034, 19.964883]]",POINT
الفراع,"[[41.22287, 20.390818]]",POINT
الفرشة,"[[41.617971, 19.874375]]",POINT
القرن,"[[41.207979, 20.213749]]",POINT
القرن,"[[41.424594, 20.110967]]",POINT
القرى,"[[41.36183, 20.243661]]",POINT
القرى,"[[41.583767, 19.887614]]",POINT
القرية الوسطى,"[[41.423285, 19.837124]]",POINT
