name,lon_lat,coor_type
وادي اباد,"[[41.628549, 20.154634]]",POINT
وادي اباد,"[[41.602542, 20.122275]]",POINT
وادي اباد,"[[41.70702, 20.285826]]",POINT
وادي اشحط,"[[41.208515, 20.081806]]",POINT
وادي الاحسبه,"[[41.381485, 19.694989]]",POINT
وادي الاحسبه,"[[41.44073, 19.73726]]",POINT
وادي الجنابين,"[[41.715517, 19.895554]]",POINT
وادي الجوف,"[[41.278145, 19.860191]]",POINT
وادي الجوف,"[[41.303701, 19.866092]]",POINT
وادي الجوف,"[[41.495812, 20.013678]]",POINT
وادي الجوف,"[[41.651573, 20.058761]]",POINT
وادي الرفعة,"[[41.729915, 20.548038]]",POINT
وادي الروضة,"[[41.630309, 20.32917]]",POINT
وادي الروضة,"[[41.632583, 20.391076]]",POINT
وادي الرياح,"[[41.592522, 19.88004]]",POINT
وادي السعبره,"[[41.143541, 20.245035]]",POINT
وادي السليم,"[[41.926789, 20.440192]]",POINT
وادي السمار,"[[41.118779, 20.222418]]",POINT
وادي السمحه,"[[41.05372, 20.127704]]",POINT
وادي السمعه,"[[41.153197, 20.024257]]",POINT
وادي السمعه,"[[41.15603, 20.011747]]",POINT
وادي الصدر,"[[41.347196, 20.132189]]",POINT
وادي العقيق,"[[41.658397, 20.259519]]",POINT
وادي العقيق,"[[41.78916, 20.271492]]",POINT
وادي الفرشة,"[[41.620245, 19.871693]]",POINT
وادي الكف,"[[41.159034, 20.24143]]",POINT
وادي النغره,"[[41.481221, 20.076399]]",POINT
وادي النغره,"[[41.532676, 20.226259]]",POINT
وادي الهجمان,"[[41.632004, 19.859912]]",POINT
وادي بران,"[[41.366036, 19.981835]]",POINT
وادي بوا,"[[41.31222, 20.744097]]",POINT
وادي بولة,"[[42.013264, 20.37082]]",POINT
وادي بيدة,"[[41.4029, 20.247052]]",POINT
وادي بيدة,"[[41.403394, 20.266299]]",POINT
وادي بيدة,"[[41.41732, 20.661228]]",POINT
وادي تربه,"[[41.278188, 20.524907]]",POINT
وادي تمن,"[[40.970378, 20.126417]]",POINT
وادي ثراد,"[[41.654856, 20.051744]]",POINT
وادي ثراد,"[[41.800833, 20.261428]]",POINT
وادي ثراد,"[[41.97346, 20.287027]]",POINT
وادي جرب,"[[41.920481, 20.441995]]",POINT
وادي جرب,"[[42.090554, 20.506969]]",POINT
وادي حفن,"[[41.136096, 20.243146]]",POINT
وادي خرفة,"[[41.432705, 19.932826]]",POINT
وادي خنوقة,"[[41.556816, 20.448604]]",POINT
وادي دو,"[[41.143734, 20.0723]]",POINT
وادي دوقه,"[[41.031446, 19.87165]]",POINT
وادي دوقه,"[[41.080821, 19.910595]]",POINT
وادي رحبة,"[[41.422126, 19.815302]]",POINT
وادي رما,"[[41.10966, 20.143626]]",POINT
وادي رنيه,"[[41.721675, 19.900382]]",POINT
وادي رنيه,"[[41.977086, 20.280933]]",POINT
وادي رنيه,"[[42.110724, 20.516109]]",POINT
وادي رهدا,"[[41.247203, 20.381205]]",POINT
وادي ريام,"[[41.375499, 19.838626]]",POINT
وادي ريم,"[[41.216519, 19.969411]]",POINT
وادي سبة,"[[41.227677, 19.95688]]",POINT
وادي شريان غامد,"[[41.598165, 20.546451]]",POINT
وادي شوقب,"[[41.320825, 20.722768]]",POINT
وادي ضلماء,"[[41.074769, 20.144377]]",POINT
وادي طوى,"[[41.678739, 20.478795]]",POINT
وادي عليب,"[[40.828371, 20.037217]]",POINT
وادي عليب,"[[40.91521, 20.104423]]",POINT
وادي عليب,"[[41.040008, 20.13809]]",POINT
وادي عليب,"[[41.063762, 20.145149]]",POINT
وادي عمق,"[[41.463089, 20.283444]]",POINT
وادي عمق,"[[41.60707, 20.46931]]",POINT
وادي عياس,"[[41.211305, 20.124335]]",POINT
وادي فحاذه,"[[41.875334, 20.514565]]",POINT
وادي فحاذه,"[[41.918764, 20.528533]]",POINT
وادي قرما,"[[41.014988, 19.566693]]",POINT
وادي قرما,"[[41.179869, 19.610982]]",POINT
وادي كرا,"[[41.470041, 20.272436]]",POINT
وادي كرا,"[[41.650972, 20.532868]]",POINT
وادي كرا,"[[41.662109, 20.515573]]",POINT
وادي كرا,"[[41.600804, 20.427897]]",POINT
وادي كرش,"[[40.987759, 20.132017]]",POINT
وادي لقط,"[[41.114037, 20.113606]]",POINT
وادي محلا,"[[41.222484, 19.96484]]",POINT
وادي مدع,"[[40.953641, 20.097127]]",POINT
وادي مكروثي,"[[41.267695, 20.246987]]",POINT
وادي مليل,"[[41.360264, 19.80895]]",POINT
وادي ممنا,"[[41.412835, 19.811032]]",POINT
وادي منارة,"[[41.304967, 19.79775]]",POINT
وادي نابر,"[[41.063054, 20.137768]]",POINT
وادي ناوان,"[[41.219974, 19.559441]]",POINT
وادي ناوان,"[[41.275892, 19.625852]]",POINT
وادي نمرة,"[[41.419401, 19.725759]]",POINT
وادي نيرا,"[[41.281106, 19.655356]]",POINT
وادي نيرا,"[[41.325266, 19.744642]]",POINT
وادي هوران,"[[41.425152, 19.811204]]",POINT
وادي هوران,"[[41.433091, 19.896841]]",POINT
وادي وبر,"[[41.346788, 19.975441]]",POINT
وادي وراخ,"[[41.472058, 20.404744]]",POINT
وادي وراخ,"[[41.485791, 20.527375]]",POINT
وادي وراخ,"[[41.510382, 20.580053]]",POINT
وجار الدبا,"[[41.347497, 20.040822]]",POINT
سد الجنابين,"[[41.710689, 19.899974]]",POINT
سد الجوف,"[[41.303015, 19.866822]]",POINT
شعب الجعيرة,"[[41.217828, 20.313807]]",POINT
شعب الحازم,"[[41.222806, 20.30973]]",POINT
شعب الدحض,"[[41.307328, 19.775004]]",POINT
شعب الرشاح,"[[41.346188, 20.038247]]",POINT
شعب السحر,"[[41.350801, 20.037818]]",POINT
شعب الكر,"[[41.409509, 20.047216]]",POINT
شعب المنوط,"[[41.406569, 20.052881]]",POINT
شعب النملة,"[[41.424122, 20.054083]]",POINT
سد الحازم,"[[41.173153, 20.127726]]",POINT
سد العقيق,"[[41.570828, 20.23716]]",POINT
سد الملح,"[[41.475899, 19.768696]]",POINT
سد بيدة,"[[41.401956, 20.19624]]",POINT
سد سبيحة,"[[41.304109, 20.337453]]",POINT
سد وادي اباد,"[[41.672924, 20.234499]]",POINT
سد وادي الصدر,"[[41.358011, 20.12691]]",POINT
سد وادي ثراد,"[[41.721268, 20.157487]]",POINT
سدحليسة,"[[41.364148, 19.960442]]",POINT
