name,lon_lat,coor_type
غار الرظام,"[[41.167638, 20.111718]]",POINT
غار القحم,"[[41.303186, 19.86253]]",POINT
ضليع الخربه,"[[41.410904, 20.061851]]",POINT
ضليعات الاشهب,"[[41.342776, 20.039728]]",POINT
جبال الحمى,"[[41.18135, 20.336015]]",POINT
جبال الخزم,"[[41.725495, 20.44826]]",POINT
جبال الشرفة,"[[41.550636, 20.467486]]",POINT
جبال الصخبره,"[[41.631832, 20.416417]]",POINT
جبال رافة,"[[41.975434, 20.508084]]",POINT
جبل أثرب,"[[41.704874, 19.78363]]",POINT
جبل ابو زيد,"[[41.483581, 20.039427]]",POINT
جبل ابو غيثوم,"[[41.60383, 20.495939]]",POINT
جبل احمار,"[[41.323142, 19.973295]]",POINT
جبل الارمش,"[[41.52596, 20.269797]]",POINT
جبل الاسنان,"[[41.609774, 19.79187]]",POINT
جبل الاسودين,"[[40.834959, 20.130365]]",POINT
جبل الاعوص,"[[41.234801, 20.234177]]",POINT
جبل التيس,"[[41.377537, 19.934156]]",POINT
جبل الثمرة,"[[41.219931, 20.57559]]",POINT
جبل الجلب,"[[41.151845, 19.753718]]",POINT
جبل الجمع,"[[41.62194, 20.08333]]",POINT
جبل الحصحص,"[[41.227849, 19.802341]]",POINT
جبل الحمراء,"[[41.225917, 20.254905]]",POINT
جبل الحيضران,"[[41.358826, 19.949327]]",POINT
جبل الرخماء,"[[41.207914, 20.315373]]",POINT
جبل الرمحة,"[[41.435537, 20.350113]]",POINT
جبل الرمل,"[[41.634171, 20.568616]]",POINT
جبل الزمل,"[[41.278296, 20.470791]]",POINT
جبل السريع,"[[41.582437, 20.580568]]",POINT
جبل السوق,"[[41.05859, 20.23407]]",POINT
جبل الشاحطه,"[[41.594582, 20.351636]]",POINT
جبل الشفره,"[[41.634579, 19.922762]]",POINT
جبل الصفراء,"[[41.538878, 20.162959]]",POINT
جبل الطراة,"[[41.668375, 20.590761]]",POINT
جبل الطراثيث,"[[41.545551, 20.396118]]",POINT
جبل الطراثيث,"[[41.52257, 20.389767]]",POINT
جبل الطويلة,"[[41.247311, 20.300288]]",POINT
جبل العرنين,"[[41.22478, 20.316746]]",POINT
جبل العيلة,"[[41.239479, 20.307949]]",POINT
جبل الفودل,"[[41.36035, 19.944134]]",POINT
جبل القرعه,"[[41.234543, 20.016832]]",POINT
جبل الكحاله,"[[41.237462, 20.291877]]",POINT
جبل اللويه,"[[41.437061, 20.567479]]",POINT
جبل المتبرد,"[[41.018765, 19.71091]]",POINT
جبل المروه,"[[41.30132, 19.864054]]",POINT
جبل النصبة,"[[41.144829, 19.955721]]",POINT
جبل بثره,"[[41.148605, 20.440922]]",POINT
جبل ثمدان,"[[41.406806, 19.955935]]",POINT
جبل جومس,"[[41.050351, 19.78539]]",POINT
جبل حضاء,"[[40.966837, 20.23849]]",POINT
جبل حمراء,"[[41.588616, 19.936109]]",POINT
جبل ربا,"[[41.166437, 19.972394]]",POINT
جبل سره,"[[41.253555, 20.099723]]",POINT
جبل سيحان,"[[41.197314, 20.34404]]",POINT
جبل شذا الأسفل,"[[41.377301, 19.727948]]",POINT
جبل شذا الأعلى,"[[41.32046, 19.844935]]",POINT
جبل شعاود,"[[41.323314, 19.923105]]",POINT
جبل شمرخ,"[[41.283274, 20.423155]]",POINT
جبل صلحب,"[[41.201134, 20.021424]]",POINT
جبل ضدات,"[[42.115767, 20.448861]]",POINT
جبل طلان,"[[41.42262, 19.974904]]",POINT
جبل ظلاع,"[[41.132834, 20.208428]]",POINT
جبل عسعس,"[[41.511176, 20.31857]]",POINT
جبل غلثه,"[[41.340566, 20.064447]]",POINT
جبل غيب,"[[41.463025, 20.028012]]",POINT
جبل قراما,"[[41.282501, 19.760606]]",POINT
جبل قملة,"[[41.597564, 20.07833]]",POINT
جبل كبده,"[[41.38891, 19.713142]]",POINT
جبل كبر,"[[41.152382, 20.09923]]",POINT
جبل لهايل,"[[41.202614, 20.60576]]",POINT
جبل مرير,"[[41.578102, 20.030372]]",POINT
جبل منجل,"[[41.590719, 20.213299]]",POINT
جبل نخرة الجنوبي,"[[40.960743, 19.915252]]",POINT
جبل نخرة الشمالي,"[[40.978897, 19.98898]]",POINT
جبل نيس,"[[41.243341, 20.036101]]",POINT
جبل رحا,"[[41.4010227, 20.0795327]]",POINT
