name,lon_lat,coor_type
عين مليذ,"[[41.341338, 20.028999]]",POINT
عين الثومات,"[[41.218493, 20.33299]]",POINT
عين العجمة,"[[41.635008, 19.887893]]",POINT
عين العنزيه,"[[41.552053, 20.096011]]",POINT
عين الفراع,"[[41.224415, 20.391955]]",POINT
عين اللصب,"[[41.599238, 19.888623]]",POINT
عين شعب المعين,"[[41.221411, 20.323398]]",POINT
بئر ابن محفوظ,"[[41.036446, 19.691942]]",POINT
بئر الحبلات,"[[41.089168, 20.027196]]",POINT
بئر الحجة,"[[41.361873, 19.947546]]",POINT
بئر الحويطي,"[[41.016319, 19.695547]]",POINT
بئر الحويل,"[[41.762638, 20.534134]]",POINT
بئر الدحية,"[[41.302929, 19.856071]]",POINT
بئر السد,"[[41.204674, 20.372472]]",POINT
بئر الشهابي,"[[41.004345, 19.693315]]",POINT
بئر الغصة,"[[41.396506, 19.815581]]",POINT
بئر المدرة,"[[41.340566, 19.96263]]",POINT
بئر المرخة,"[[41.144335, 20.238791]]",POINT
بئر اندح,"[[41.256623, 19.983551]]",POINT
بئر جبار,"[[41.940823, 20.45929]]",POINT
بئر عذيبة,"[[41.277566, 19.842167]]",POINT
بئر فشة,"[[41.364234, 19.97926]]",POINT
بئر ماء سبيل,"[[41.278982, 19.832489]]",POINT
بئر محنوس,"[[41.21521, 19.984925]]",POINT
بئر مطيع,"[[41.462123, 19.755907]]",POINT
العين الخضراء,"[[41.22169, 20.31563]]",POINT
