name,lon_lat,coor_type,category
مقناص حباري,"[[41.317863, 30.008297]]",POINT,أسماء ثانوية
مقناص حباري,"[[41.295633, 30.132408]]",POINT,أسماء ثانوية
مقور صفية,"[[41.371872, 30.029926]]",POINT,أسماء ثانوية
منتزه الجوبه,"[[40.222642, 30.043359]]",POINT,أسماء ثانوية
مويسن,"[[39.990449, 29.845476]]",POINT,أسماء ثانوية
ناب السندله,"[[38.869007, 30.742772]]",POINT,أسماء ثانوية
ناصفة صوير,"[[40.361044, 30.152149]]",POINT,أسماء ثانوية
نخله القلته,"[[38.353679, 30.742664]]",POINT,أسماء ثانوية
نعجة,"[[38.45468, 29.317124]]",POINT,أسماء ثانوية
نقرة رباح,"[[37.912209, 31.635904]]",POINT,أسماء ثانوية
نهيدات الخادم,"[[38.700886, 29.556484]]",POINT,أسماء ثانوية
نويصلات جعلة,"[[38.420863, 29.572406]]",POINT,أسماء ثانوية
هذيليل العفر,"[[41.006792, 29.880602]]",POINT,أسماء ثانوية
مسيعيد,"[[41.661208, 30.010529]]",POINT,أسماء ثانوية
مشاش حصيدة,"[[37.216702, 31.403646]]",POINT,أسماء ثانوية
مشاش شيبة,"[[39.788554, 29.862299]]",POINT,أسماء ثانوية
مصمد الامغر,"[[40.539722, 30.165367]]",POINT,أسماء ثانوية
مصمد الحجاجية,"[[41.295075, 29.872899]]",POINT,أسماء ثانوية
مصمد الدروجية,"[[40.634651, 30.239031]]",POINT,أسماء ثانوية
مصمد العوج,"[[40.987587, 29.700508]]",POINT,أسماء ثانوية
مصمد القصورية,"[[40.98896, 29.761448]]",POINT,أسماء ثانوية
مصمد خرناء,"[[41.098137, 29.611073]]",POINT,أسماء ثانوية
مغيرا,"[[38.833322, 30.666661]]",POINT,أسماء ثانوية
قور السمر,"[[40.156703, 29.866848]]",POINT,أسماء ثانوية
قور العصل,"[[40.904267, 30.064859]]",POINT,أسماء ثانوية
قور ام طليحة,"[[40.946174, 30.102432]]",POINT,أسماء ثانوية
قور عقاب,"[[40.928278, 30.473113]]",POINT,أسماء ثانوية
قويرات ام الحمام,"[[41.43573, 29.894314]]",POINT,أسماء ثانوية
لغف الحصان,"[[39.644959, 29.183464]]",POINT,أسماء ثانوية
لغف المكيحيل,"[[39.447677, 28.700087]]",POINT,أسماء ثانوية
مجلس ام لقف,"[[41.342583, 29.747543]]",POINT,أسماء ثانوية
محفر خشمان,"[[39.844129, 28.739955]]",POINT,أسماء ثانوية
محمية عذفاء,"[[41.535273, 29.170675]]",POINT,أسماء ثانوية
محير ابو دويد,"[[38.635311, 30.380631]]",POINT,أسماء ثانوية
محير الباردة,"[[39.153621, 29.245477]]",POINT,أسماء ثانوية
محير الفج,"[[41.065607, 30.155325]]",POINT,أسماء ثانوية
محير فروان,"[[39.11813, 30.026901]]",POINT,أسماء ثانوية
محير كلاخ,"[[39.276574, 29.260025]]",POINT,أسماء ثانوية
محير الغينة,"[[37.659159, 30.00849]]",POINT,أسماء ثانوية
محير الكواكبة,"[[37.612445, 29.970574]]",POINT,أسماء ثانوية
مذبح الكلاب,"[[37.859037, 31.263785]]",POINT,أسماء ثانوية
مرقاب الرشرشيه,"[[37.304378, 31.472912]]",POINT,أسماء ثانوية
قصر عتيق,"[[41.425924, 29.938431]]",POINT,أسماء ثانوية
قصور البويتات,"[[41.194868, 30.024605]]",POINT,أسماء ثانوية
قصيمة ابن نصار,"[[38.688633, 30.468028]]",POINT,أسماء ثانوية
قصيمة ابو سليليات,"[[38.601279, 30.612395]]",POINT,أسماء ثانوية
قصيمة العير,"[[38.601215, 30.247464]]",POINT,أسماء ثانوية
قعر ابوصفا,"[[39.858162, 28.950691]]",POINT,أسماء ثانوية
قارة ابو صفاة,"[[41.475985, 30.098805]]",POINT,أسماء ثانوية
قارة الافعى,"[[41.71483, 29.954159]]",POINT,أسماء ثانوية
قارة الجواري,"[[41.758153, 29.979436]]",POINT,أسماء ثانوية
قارة الرجال,"[[41.779246, 30.022931]]",POINT,أسماء ثانوية
قارة الصنع,"[[41.369469, 30.058465]]",POINT,أسماء ثانوية
قارة الودعه,"[[40.273175, 30.279114]]",POINT,أسماء ثانوية
قارة ام صفية,"[[41.372194, 29.997976]]",POINT,أسماء ثانوية
قارة رحية,"[[40.813651, 29.959524]]",POINT,أسماء ثانوية
قارة شبيلي,"[[41.496413, 29.964395]]",POINT,أسماء ثانوية
قارة شغار,"[[38.780537, 30.066147]]",POINT,أسماء ثانوية
قارة شهباء الطوير,"[[40.137434, 29.904077]]",POINT,أسماء ثانوية
قارة عمرة,"[[41.582866, 29.978192]]",POINT,أسماء ثانوية
قارة كبد,"[[41.045287, 29.976046]]",POINT,أسماء ثانوية
قارة مطروحة,"[[40.705268, 30.02115]]",POINT,أسماء ثانوية
قارة نومان,"[[41.023378, 30.079558]]",POINT,أسماء ثانوية
قارت دويفنه,"[[40.120397, 29.857664]]",POINT,أسماء ثانوية
قاع ابو سليليات,"[[38.565788, 30.65855]]",POINT,أسماء ثانوية
قاع الامحاص,"[[39.810441, 30.551562]]",POINT,أسماء ثانوية
قاع التربة,"[[38.967476, 30.777855]]",POINT,أسماء ثانوية
قاع الحصاة,"[[37.760181, 30.871475]]",POINT,أسماء ثانوية
قاع الحقنه,"[[40.066345, 29.846227]]",POINT,أسماء ثانوية
قاع الرديفة,"[[39.57284, 30.201094]]",POINT,أسماء ثانوية
قاع الرشيدة,"[[38.596859, 30.423203]]",POINT,أسماء ثانوية
قاع الرغلية,"[[39.579406, 29.961219]]",POINT,أسماء ثانوية
قاع الريتين,"[[39.660709, 30.083528]]",POINT,أسماء ثانوية
قاع الشيب,"[[39.533036, 30.246949]]",POINT,أسماء ثانوية
قاع الطوسية,"[[39.836683, 30.699363]]",POINT,أسماء ثانوية
قاع الفريدة,"[[40.269012, 30.319519]]",POINT,أسماء ثانوية
قاع الفسقانات,"[[40.389991, 30.359194]]",POINT,أسماء ثانوية
قاع القطب,"[[39.377575, 30.12228]]",POINT,أسماء ثانوية
قاع المكمن,"[[38.536091, 30.945053]]",POINT,أسماء ثانوية
قاع ام اخبر,"[[38.467147, 30.659559]]",POINT,أسماء ثانوية
قاع ام اذان,"[[40.206699, 30.130177]]",POINT,أسماء ثانوية
قاع ام الشفلح,"[[39.668734, 30.42316]]",POINT,أسماء ثانوية
