name,lon_lat,coor_type
مقناص حباري,"[[41.317863, 30.008297]]",POINT
مقناص حباري,"[[41.295633, 30.132408]]",POINT
مقور صفية,"[[41.371872, 30.029926]]",POINT
منتزه الجوبه,"[[40.222642, 30.043359]]",POINT
مويسن,"[[39.990449, 29.845476]]",POINT
ناب السندله,"[[38.869007, 30.742772]]",POINT
ناصفة صوير,"[[40.361044, 30.152149]]",POINT
نخله القلته,"[[38.353679, 30.742664]]",POINT
نعجة,"[[38.45468, 29.317124]]",POINT
نقرة رباح,"[[37.912209, 31.635904]]",POINT
نهيدات الخادم,"[[38.700886, 29.556484]]",POINT
نويصلات جعلة,"[[38.420863, 29.572406]]",POINT
هذيليل العفر,"[[41.006792, 29.880602]]",POINT
مسيعيد,"[[41.661208, 30.010529]]",POINT
مشاش حصيدة,"[[37.216702, 31.403646]]",POINT
مشاش شيبة,"[[39.788554, 29.862299]]",POINT
مصمد الامغر,"[[40.539722, 30.165367]]",POINT
مصمد الحجاجية,"[[41.295075, 29.872899]]",POINT
مصمد الدروجية,"[[40.634651, 30.239031]]",POINT
مصمد العوج,"[[40.987587, 29.700508]]",POINT
مصمد القصورية,"[[40.98896, 29.761448]]",POINT
مصمد خرناء,"[[41.098137, 29.611073]]",POINT
مغيرا,"[[38.833322, 30.666661]]",POINT
قور السمر,"[[40.156703, 29.866848]]",POINT
قور العصل,"[[40.904267, 30.064859]]",POINT
قور ام طليحة,"[[40.946174, 30.102432]]",POINT
قور عقاب,"[[40.928278, 30.473113]]",POINT
قويرات ام الحمام,"[[41.43573, 29.894314]]",POINT
لغف الحصان,"[[39.644959, 29.183464]]",POINT
لغف المكيحيل,"[[39.447677, 28.700087]]",POINT
مجلس ام لقف,"[[41.342583, 29.747543]]",POINT
محفر خشمان,"[[39.844129, 28.739955]]",POINT
محمية عذفاء,"[[41.535273, 29.170675]]",POINT
محير ابو دويد,"[[38.635311, 30.380631]]",POINT
محير الباردة,"[[39.153621, 29.245477]]",POINT
محير الفج,"[[41.065607, 30.155325]]",POINT
محير فروان,"[[39.11813, 30.026901]]",POINT
محير كلاخ,"[[39.276574, 29.260025]]",POINT
محير الغينة,"[[37.659159, 30.00849]]",POINT
محير الكواكبة,"[[37.612445, 29.970574]]",POINT
مذبح الكلاب,"[[37.859037, 31.263785]]",POINT
مرقاب الرشرشيه,"[[37.304378, 31.472912]]",POINT
قصر عتيق,"[[41.425924, 29.938431]]",POINT
قصور البويتات,"[[41.194868, 30.024605]]",POINT
قصيمة ابن نصار,"[[38.688633, 30.468028]]",POINT
قصيمة ابو سليليات,"[[38.601279, 30.612395]]",POINT
قصيمة العير,"[[38.601215, 30.247464]]",POINT
قعر ابوصفا,"[[39.858162, 28.950691]]",POINT
قارة ابو صفاة,"[[41.475985, 30.098805]]",POINT
قارة الافعى,"[[41.71483, 29.954159]]",POINT
قارة الجواري,"[[41.758153, 29.979436]]",POINT
قارة الرجال,"[[41.779246, 30.022931]]",POINT
قارة الصنع,"[[41.369469, 30.058465]]",POINT
قارة الودعه,"[[40.273175, 30.279114]]",POINT
قارة ام صفية,"[[41.372194, 29.997976]]",POINT
قارة رحية,"[[40.813651, 29.959524]]",POINT
قارة شبيلي,"[[41.496413, 29.964395]]",POINT
قارة شغار,"[[38.780537, 30.066147]]",POINT
قارة شهباء الطوير,"[[40.137434, 29.904077]]",POINT
قارة عمرة,"[[41.582866, 29.978192]]",POINT
قارة كبد,"[[41.045287, 29.976046]]",POINT
قارة مطروحة,"[[40.705268, 30.02115]]",POINT
قارة نومان,"[[41.023378, 30.079558]]",POINT
قارت دويفنه,"[[40.120397, 29.857664]]",POINT
قاع ابو سليليات,"[[38.565788, 30.65855]]",POINT
قاع الامحاص,"[[39.810441, 30.551562]]",POINT
قاع التربة,"[[38.967476, 30.777855]]",POINT
قاع الحصاة,"[[37.760181, 30.871475]]",POINT
قاع الحقنه,"[[40.066345, 29.846227]]",POINT
قاع الرديفة,"[[39.57284, 30.201094]]",POINT
قاع الرشيدة,"[[38.596859, 30.423203]]",POINT
قاع الرغلية,"[[39.579406, 29.961219]]",POINT
قاع الريتين,"[[39.660709, 30.083528]]",POINT
قاع الشيب,"[[39.533036, 30.246949]]",POINT
قاع الطوسية,"[[39.836683, 30.699363]]",POINT
قاع الفريدة,"[[40.269012, 30.319519]]",POINT
قاع الفسقانات,"[[40.389991, 30.359194]]",POINT
قاع القطب,"[[39.377575, 30.12228]]",POINT
قاع المكمن,"[[38.536091, 30.945053]]",POINT
قاع ام اخبر,"[[38.467147, 30.659559]]",POINT
قاع ام اذان,"[[40.206699, 30.130177]]",POINT
قاع ام الشفلح,"[[39.668734, 30.42316]]",POINT
قاع ام شفلح,"[[38.440475, 30.698547]]",POINT
قاع ام طرفاء,"[[39.637663, 30.153158]]",POINT
قاع ام كهف,"[[39.764478, 29.780631]]",POINT
قاع بوهان,"[[37.616844, 31.457977]]",POINT
قاع ثنيات الريلان,"[[38.220234, 29.602661]]",POINT
قاع جعلة,"[[38.449745, 29.423618]]",POINT
قاع قصيمة الارنب,"[[38.636856, 29.742393]]",POINT
قاع ودي موت,"[[39.345732, 30.629454]]",POINT
قبر قريفان,"[[38.86699, 30.846155]]",POINT
قرو مشروع الجبيلي,"[[41.60677, 29.175289]]",POINT
قرية ام نسوق,"[[40.70029, 29.949675]]",POINT
قصايم الارنب,"[[38.637865, 29.800308]]",POINT
قصايم الدم,"[[38.75159, 29.799685]]",POINT
قصايم القطر,"[[38.860209, 29.847772]]",POINT
طلعة العوجاء,"[[40.082824, 30.394235]]",POINT
طلعة ريشان,"[[39.757354, 29.972291]]",POINT
طلعت الوايت,"[[37.658343, 29.931929]]",POINT
طويرف الغضاة,"[[39.574578, 28.951271]]",POINT
ظهرة الحنظليات,"[[40.166788, 30.736313]]",POINT
ظهرة الطوير,"[[40.058599, 29.897468]]",POINT
ظهرة خوعاء,"[[40.398102, 29.746299]]",POINT
ظهرة زلوم,"[[40.311134, 30.335226]]",POINT
ظهرة شويحط,"[[40.172281, 30.444124]]",POINT
ظهرة قارا,"[[40.279527, 29.770331]]",POINT
ظهير حمار,"[[39.798017, 30.030742]]",POINT
عايلة ام ضمران,"[[39.01773, 30.273664]]",POINT
عثة ابا القور,"[[40.796249, 30.323231]]",POINT
عرفجاء,"[[38.717773, 30.031106]]",POINT
عرق الحقنه,"[[40.052483, 29.82655]]",POINT
عريفج,"[[38.687475, 29.959095]]",POINT
عش الغراب,"[[37.530992, 31.491752]]",POINT
عشة القرية,"[[41.104188, 30.339174]]",POINT
عقلة القليب,"[[41.401827, 30.117753]]",POINT
عقيلات الصلبة,"[[41.857138, 30.085802]]",POINT
عقيلات عرفة,"[[41.4026, 29.982011]]",POINT
عين الشايب,"[[37.525864, 31.289406]]",POINT
عين الناقة,"[[37.978878, 30.828667]]",POINT
عين حظوظاء,"[[38.221092, 30.827637]]",POINT
غرائس,"[[39.297946, 30.206072]]",POINT
غرايس أم طعيس,"[[39.181752, 30.349324]]",POINT
غريسة أم نخله,"[[39.04659, 30.266218]]",POINT
غريسة ام غدران,"[[38.931491, 30.127108]]",POINT
غريسة ام غدران,"[[39.174886, 30.178735]]",POINT
غضيا الرشيده,"[[38.86905, 30.565295]]",POINT
غضيا الملح,"[[38.924432, 30.588491]]",POINT
غنمة,"[[40.21584, 30.324712]]",POINT
غويطة جراد,"[[39.337771, 29.617188]]",POINT
فاج الحداد,"[[41.211219, 30.313447]]",POINT
فاج الصليبي,"[[41.638205, 30.387776]]",POINT
فاج الطريفاوي,"[[41.30559, 30.226929]]",POINT
فاج القليب,"[[41.526883, 30.199828]]",POINT
فاج المشاش,"[[41.402686, 30.398548]]",POINT
فج البويتات,"[[41.20019, 29.992332]]",POINT
فرائد شويحط,"[[40.01976, 30.586495]]",POINT
فرش الكروان,"[[40.869398, 29.640255]]",POINT
فرشة الرشيده,"[[38.890722, 30.571346]]",POINT
فرشة بن ضبيعان,"[[38.945417, 30.716078]]",POINT
فلوق الراشد,"[[40.112994, 29.13836]]",POINT
طبقة كبد,"[[41.008873, 29.916093]]",POINT
سمنان,"[[38.84182, 29.668171]]",POINT
سمينين الرمل,"[[38.865638, 29.602919]]",POINT
سهلة ظلما,"[[39.103668, 30.147407]]",POINT
شاظي ام نسوق,"[[40.637999, 29.959888]]",POINT
شبه التوم,"[[40.93523, 29.101582]]",POINT
شجرة معارك,"[[39.088004, 30.361769]]",POINT
شداد المسماء,"[[38.24873, 31.013567]]",POINT
شطنة معارك,"[[39.021614, 30.315742]]",POINT
شعفة الارطاوية,"[[41.034579, 29.381111]]",POINT
شعفة سعد,"[[40.904846, 29.602919]]",POINT
شفلحية الحنظلية,"[[40.195971, 30.694942]]",POINT
شهبا التربه,"[[38.93029, 30.821178]]",POINT
شهبا معارك,"[[38.994448, 30.300422]]",POINT
شويحط,"[[39.640367, 30.677025]]",POINT
شويحط,"[[40.130332, 30.503776]]",POINT
صبخة الدروز,"[[37.470932, 31.317515]]",POINT
صحراء الجورعة,"[[38.889949, 30.474915]]",POINT
صخرة الرقبان,"[[37.459559, 31.449115]]",POINT
صليب الطرفاء,"[[40.833349, 29.916673]]",POINT
صوانة الحوي,"[[38.184228, 29.185245]]",POINT
ضاحك,"[[37.187262, 31.461389]]",POINT
خر السحامي,"[[41.280291, 29.679544]]",POINT
خر شخير,"[[41.007993, 29.567535]]",POINT
خر شخير,"[[41.070864, 29.61957]]",POINT
خر عنيزة,"[[41.244414, 29.737115]]",POINT
خر مسعود,"[[41.385005, 29.29101]]",POINT
خر مسعود,"[[41.550121, 29.340963]]",POINT
خريان القرية,"[[41.735859, 30.175903]]",POINT
خش الثور,"[[41.114166, 30.058379]]",POINT
