name,lon_lat,coor_type
أبو عجرم,"[[39.316678, 29.887469]]",POINT
مركز البتراء,"[[38.673205, 30.537486]]",POINT
مركز الحصاة,"[[37.691581, 30.852721]]",POINT
مركز الخفية,"[[37.896481, 30.414855]]",POINT
مركز الرصد,"[[37.198977, 31.48555]]",POINT
مركز ام طلحة,"[[37.566805, 30.07973]]",POINT
مركز باير,"[[37.407804, 31.117101]]",POINT
مركز حدودي,"[[37.090144, 31.423581]]",POINT
مركز حصيدة,"[[37.239554, 31.27902]]",POINT
مركز قتب الشامه,"[[37.90339, 31.584148]]",POINT
مركز نعيج,"[[38.000679, 31.642685]]",POINT
أثره,"[[37.627058, 31.385386]]",POINT
أجربة,"[[39.792395, 29.935899]]",POINT
أصفان,"[[39.676223, 29.670339]]",POINT
أويسط,"[[38.173842, 30.536134]]",POINT
البحيرات,"[[39.878612, 29.829533]]",POINT
البديع,"[[37.748916, 30.978184]]",POINT
الجبيلي,"[[41.613851, 29.18222]]",POINT
الدويحات,"[[38.730755, 30.283899]]",POINT
الرديفة,"[[37.69274, 30.984106]]",POINT
الرديفة,"[[39.679696, 29.800593]]",POINT
الرشرشيه,"[[37.314248, 31.449502]]",POINT
الرفيعه,"[[40.316262, 30.064795]]",POINT
الشعيره,"[[39.553185, 29.495738]]",POINT
الشقيق,"[[39.92835, 29.30176]]",POINT
الشويحطية,"[[40.190005, 30.312502]]",POINT
الضبيعه,"[[40.143936, 30.010335]]",POINT
الطيري,"[[40.931497, 30.52268]]",POINT
العقيلة,"[[37.440248, 31.303933]]",POINT
العمارية,"[[40.5603, 30.658207]]",POINT
العوينه,"[[40.259314, 29.984243]]",POINT
العيساوية,"[[37.986646, 30.72258]]",POINT
العين البيضاء,"[[37.63135, 31.156304]]",POINT
الفياض,"[[38.107367, 30.60246]]",POINT
الفياض,"[[40.088339, 29.978771]]",POINT
القرعا,"[[40.175843, 30.006022]]",POINT
القرقر,"[[37.579894, 31.360989]]",POINT
القريات,"[[37.366927, 31.343951]]",POINT
القريات,"[[37.345319, 31.331162]]",POINT
القنيطرة,"[[40.110912, 29.974694]]",POINT
الكيسومة,"[[40.10308, 30.003233]]",POINT
اللقايط,"[[40.243864, 29.982634]]",POINT
المدرة,"[[40.237834, 29.812002]]",POINT
المرير,"[[39.915862, 30.050461]]",POINT
المزيرير,"[[40.184147, 29.822023]]",POINT
المسيجيد,"[[37.416923, 31.272519]]",POINT
الميسري,"[[38.31557, 30.466633]]",POINT
الناصفة,"[[37.626114, 31.082382]]",POINT
النباج,"[[38.402495, 30.424082]]",POINT
النبك ابو قصر,"[[38.699169, 30.292032]]",POINT
النظايم,"[[40.319545, 30.141871]]",POINT
النعيم,"[[38.087111, 30.623617]]",POINT
الوادي,"[[39.88153, 29.83773]]",POINT
اليابس,"[[40.260258, 29.999499]]",POINT
ام فرس,"[[40.098081, 29.953794]]",POINT
ام نخيلة,"[[38.193476, 29.208891]]",POINT
باير,"[[37.523332, 31.244366]]",POINT
جماجم,"[[37.678363, 31.003032]]",POINT
حصيبا,"[[39.862776, 29.790823]]",POINT
حصيده,"[[37.368772, 31.321013]]",POINT
خوعاء,"[[40.440073, 29.802346]]",POINT
دومة الجندل,"[[39.859862, 29.804679]]",POINT
روض المزارع,"[[39.825718, 29.902575]]",POINT
زلوم,"[[40.296071, 30.169916]]",POINT
سكاكا,"[[40.198113, 29.965963]]",POINT
شغار,"[[38.821306, 30.096745]]",POINT
شيبة,"[[38.548408, 30.431442]]",POINT
صبيحة,"[[38.835425, 30.041149]]",POINT
صديع,"[[38.06812, 30.653894]]",POINT
صوير,"[[40.383232, 30.12301]]",POINT
طبرجل,"[[38.24034, 30.52386]]",POINT
طوير,"[[40.083854, 29.928646]]",POINT
عجيربة,"[[39.783168, 29.933324]]",POINT
عذفاء,"[[41.440065, 29.257042]]",POINT
عقلة هويدي,"[[41.360049, 30.411851]]",POINT
عين الحواسي,"[[37.600751, 31.37249]]",POINT
غطي,"[[37.534683, 31.264729]]",POINT
قارا,"[[40.227985, 29.876461]]",POINT
قراطين,"[[39.877088, 29.821229]]",POINT
قراقر,"[[37.771339, 31.259193]]",POINT
قرية الأضارع,"[[39.575458, 29.82758]]",POINT
قصيبة,"[[37.63489, 31.25252]]",POINT
قليب خضر,"[[37.87101, 30.833151]]",POINT
قيال,"[[40.101449, 30.068722]]",POINT
محجة,"[[40.046561, 29.922509]]",POINT
مركز العيساوية,"[[37.878392, 30.635633]]",POINT
مركز المرير,"[[39.900842, 30.070095]]",POINT
مغيراء,"[[40.419838, 29.858243]]",POINT
منوى,"[[37.582512, 31.377339]]",POINT
ميقوع,"[[38.921535, 29.819663]]",POINT
هجرة دعبوس,"[[37.413597, 31.326141]]",POINT
هدبان,"[[40.35008, 30.073078]]",POINT
هديب,"[[40.393381, 30.072134]]",POINT
