name,lon_lat,coor_type
مكامن ابا الرواث,"[[41.349106, 29.69656]]",POINT
مكمن الشداد,"[[38.24182, 30.996551]]",POINT
مكمن شما,"[[39.226749, 30.635848]]",POINT
مكمن طوقة,"[[39.240696, 30.861754]]",POINT
مكمن عذيفاء,"[[41.615009, 29.178314]]",POINT
مكمن ودي موت,"[[39.471388, 30.597589]]",POINT
مصب شعيب طوقه,"[[38.797359, 30.899477]]",POINT
قيعان الارينبات,"[[39.592302, 30.849674]]",POINT
قيعان الرصيف,"[[40.407522, 30.32512]]",POINT
قيعان العجرميات,"[[39.81941, 30.43273]]",POINT
قيعان القعيدات,"[[37.832258, 31.094055]]",POINT
قيعان الكهف,"[[40.034373, 29.886074]]",POINT
قيعان المحاص,"[[39.639873, 30.386403]]",POINT
فياض العوجاء,"[[39.982789, 30.402195]]",POINT
فياض الفسقانات,"[[40.430138, 30.415328]]",POINT
فياض ام تليل,"[[41.059942, 30.278127]]",POINT
فياض ام غدير,"[[41.016104, 30.297182]]",POINT
فياض حنين,"[[40.042205, 29.972763]]",POINT
فياض خش الثور,"[[41.106527, 30.048122]]",POINT
فياض هذيليل العفر,"[[41.084876, 29.916952]]",POINT
فيضة ابن زعيله,"[[41.488602, 30.142343]]",POINT
فيضة ابن غالية,"[[37.523847, 31.604898]]",POINT
فيضة ابو صفاء,"[[41.484396, 30.110393]]",POINT
فيضة ارفه,"[[41.35417, 29.998512]]",POINT
فيضة الابيض,"[[37.94637, 30.715799]]",POINT
فيضة الاصفر,"[[41.081829, 30.376339]]",POINT
فيضة البرقاء,"[[40.156016, 29.982333]]",POINT
فيضة البويتات,"[[41.18268, 30.019884]]",POINT
فيضة الثمد,"[[41.10775, 29.988556]]",POINT
فيضة الثنية,"[[41.732769, 30.028381]]",POINT
فيضة الجادة,"[[41.672516, 30.092068]]",POINT
فيضة الجلوي,"[[41.284904, 29.996452]]",POINT
فيضة الجندلي,"[[41.586685, 29.884357]]",POINT
فيضة الجويدية,"[[40.979519, 29.949718]]",POINT
فيضة الحمراء,"[[41.582737, 30.285702]]",POINT
فيضة الرشرشيه,"[[37.367849, 31.438451]]",POINT
فيضة الرغلية,"[[39.545052, 30.01394]]",POINT
فيضة الرغيلة السفلى,"[[41.0446, 30.239975]]",POINT
فيضة الرغيلة العليا,"[[41.120625, 30.215836]]",POINT
فيضة الرمادية,"[[41.564541, 30.109749]]",POINT
فيضة الروثية,"[[41.195276, 30.052629]]",POINT
فيضة السبتية,"[[41.32988, 30.012846]]",POINT
فيضة السويداء,"[[41.325052, 29.995315]]",POINT
فيضة الشفلحية,"[[41.182702, 30.090845]]",POINT
فيضة الشفلحيه,"[[40.114195, 30.707002]]",POINT
فيضة الشيحية,"[[41.161695, 29.981582]]",POINT
فيضة الصفر,"[[41.55452, 30.174229]]",POINT
فيضة العبيد,"[[37.886674, 30.708504]]",POINT
فيضة العزبة,"[[41.223965, 30.077047]]",POINT
فيضة العوس,"[[40.032291, 29.974136]]",POINT
فيضة الغرقانة,"[[41.054235, 30.316494]]",POINT
فيضة الغويسري,"[[41.41571, 30.299778]]",POINT
فيضة الفهد,"[[41.133156, 30.243988]]",POINT
فيضة القصل,"[[40.098553, 29.891911]]",POINT
فيضة القيصومية,"[[41.113758, 30.191975]]",POINT
فيضة الكليبة,"[[41.169376, 30.019455]]",POINT
فيضة المجراد,"[[41.620331, 30.22974]]",POINT
فيضة المرجومة,"[[41.198988, 29.976926]]",POINT
فيضة المريسي,"[[41.507463, 30.12331]]",POINT
فيضة المستورة,"[[41.296148, 29.996281]]",POINT
فيضة المعزولة,"[[41.018486, 30.401058]]",POINT
فيضة المنبطح,"[[41.564949, 30.146871]]",POINT
فيضة الموحل,"[[41.22242, 29.899635]]",POINT
فيضة المويشرية,"[[41.026211, 30.368958]]",POINT
فيضة النهار,"[[41.337347, 29.998512]]",POINT
فيضة ام الحمام,"[[41.431117, 29.92856]]",POINT
فيضة ام الصخال,"[[40.186615, 30.157814]]",POINT
فيضة ام الهمل,"[[41.156974, 30.33072]]",POINT
فيضة ام برميل,"[[41.723671, 30.172749]]",POINT
فيضة ام بنايا,"[[41.068289, 30.340075]]",POINT
فيضة ام تلول,"[[41.158218, 30.026236]]",POINT
فيضة ام تليل,"[[41.649148, 30.13185]]",POINT
فيضة ام تليل,"[[41.200941, 30.058637]]",POINT
فيضة ام خسيف,"[[41.55452, 30.241606]]",POINT
فيضة ام رجم,"[[41.175127, 30.017738]]",POINT
فيضة ام زباير,"[[41.164055, 30.025206]]",POINT
فيضة ام سوح,"[[41.153755, 30.030956]]",POINT
فيضة ام طريفات,"[[41.053655, 30.42419]]",POINT
فيضة ام غار,"[[41.05093, 29.948044]]",POINT
فيضة ام غدير,"[[41.129208, 29.963665]]",POINT
فيضة ام لقف,"[[41.331596, 29.767456]]",POINT
فيضة ام ماجد,"[[40.941582, 30.271454]]",POINT
فيضة ام نخيلة,"[[41.590912, 30.060675]]",POINT
فيضة ام نصال,"[[41.083374, 30.418568]]",POINT
فيضة ام نصال,"[[41.443348, 30.221157]]",POINT
فيضة ام نصيلة,"[[40.930939, 30.317287]]",POINT
فيضة ام نغور,"[[41.218643, 29.935169]]",POINT
فيضة ام هبنة,"[[41.192207, 29.950447]]",POINT
فيضة تويتان,"[[41.749592, 30.064602]]",POINT
فيضة جرذية,"[[41.717856, 30.326021]]",POINT
فيضة حمراء ام غار,"[[41.660671, 30.200558]]",POINT
فيضة خميس,"[[41.266708, 29.982891]]",POINT
فيضة رمادية,"[[41.500812, 30.108612]]",POINT
فيضة شافي,"[[41.559134, 30.371511]]",POINT
فيضة صفية,"[[41.373138, 30.021687]]",POINT
فيضة عرفه,"[[41.426075, 29.987977]]",POINT
فيضة عواد,"[[41.153884, 30.321879]]",POINT
فيضة غدير ابو مراسي,"[[39.080086, 30.665481]]",POINT
فيضة غدير الخيل,"[[41.308937, 30.020313]]",POINT
