name,lon_lat,coor_type
كهف المنبطح,"[[41.611297, 30.127559]]",POINT
كهف كفيتان,"[[41.590998, 30.119791]]",POINT
كهف مضرب النجم,"[[41.638141, 30.133116]]",POINT
غار ابو صفاء,"[[41.527634, 30.13052]]",POINT
غار الرشرشيه,"[[37.294958, 31.47347]]",POINT
غار القليب,"[[41.278811, 30.117559]]",POINT
غار برثة,"[[39.609339, 29.191961]]",POINT
عبد التربه,"[[39.065752, 30.852635]]",POINT
عبد المعاصر,"[[38.304863, 30.857849]]",POINT
عبد المعي,"[[39.364529, 29.536915]]",POINT
عبد ام ذروق,"[[38.094449, 31.097081]]",POINT
ضلعان الخسيف,"[[41.516905, 30.259588]]",POINT
سمر قراقر,"[[37.697182, 31.283612]]",POINT
سمرا ابو طلحه,"[[37.472348, 31.585951]]",POINT
سمرا الهزيم,"[[37.275882, 31.503339]]",POINT
سمراء الحديثه,"[[37.268672, 31.47023]]",POINT
تلول الرحى,"[[39.220548, 30.697088]]",POINT
تلول ذريع,"[[41.459956, 29.855218]]",POINT
تلول معارك,"[[39.190958, 30.411894]]",POINT
حزم البدرية,"[[40.693145, 30.475645]]",POINT
حزم التكسير,"[[39.83325, 30.136356]]",POINT
حزم ضبع,"[[39.969893, 30.258622]]",POINT
حزوم البدرية,"[[40.659671, 30.575531]]",POINT
جبال ابو سليلات,"[[38.66503, 30.826049]]",POINT
جبال البارده,"[[39.180551, 29.306395]]",POINT
جبال الحصان,"[[37.457092, 31.54943]]",POINT
جبال الحصان,"[[39.661953, 29.252579]]",POINT
جبال الحقنه,"[[40.066581, 29.860175]]",POINT
جبال الحوصاء,"[[37.573693, 29.899549]]",POINT
جبال الحوصاء,"[[37.928882, 29.887791]]",POINT
جبال السندلة,"[[38.89924, 30.700929]]",POINT
جبال الطويل,"[[39.432185, 29.495931]]",POINT
جبال القديريه,"[[39.756904, 29.285388]]",POINT
جبال القعيدات,"[[37.800865, 31.137078]]",POINT
جبال القوايم,"[[40.201893, 30.025141]]",POINT
جبال المابية,"[[38.133974, 31.080902]]",POINT
جبال النهيدين,"[[38.528602, 30.93883]]",POINT
جبال ام العنان,"[[37.482519, 31.478534]]",POINT
جبال بريمات,"[[40.130718, 30.130541]]",POINT
جبال حلمة,"[[39.533701, 29.217474]]",POINT
جبال ربدا,"[[37.793806, 31.295779]]",POINT
جبال غريفة,"[[37.54524, 31.555245]]",POINT
جبال معارك,"[[39.138343, 30.425005]]",POINT
جبال معيريك,"[[39.321442, 30.381317]]",POINT
جبال ودي موت,"[[39.404139, 30.471954]]",POINT
جبال وعلة,"[[38.130562, 29.669287]]",POINT
جبل الثايات,"[[39.419117, 30.2845]]",POINT
جبل الحماميات,"[[39.921162, 29.913475]]",POINT
جبل الصعيدي,"[[37.495544, 31.399291]]",POINT
جبل الظليات,"[[39.654014, 29.95388]]",POINT
جبل الكربه,"[[40.92227, 29.968986]]",POINT
جبل المسما,"[[38.177576, 31.127143]]",POINT
جبل المضبعة,"[[38.378055, 31.003568]]",POINT
جبل المندسة,"[[39.735146, 29.903412]]",POINT
جبل النصبة,"[[39.535203, 30.38445]]",POINT
جبل ام الاجراس,"[[37.475867, 31.407766]]",POINT
جبل ام رقيبة,"[[39.689999, 29.35873]]",POINT
جبل ام زوير,"[[38.541584, 30.884285]]",POINT
جبل ام زوير,"[[38.608875, 30.880852]]",POINT
جبل حدران,"[[39.494905, 30.719275]]",POINT
جبل حظوظاء,"[[38.168907, 30.806694]]",POINT
جبل راف,"[[39.871273, 29.196939]]",POINT
جبل طوقة,"[[39.217715, 30.873878]]",POINT
جبل قريميز,"[[39.393389, 29.927166]]",POINT
جبل قعمر,"[[40.408337, 30.750003]]",POINT
جبل قلب الجمل,"[[39.648178, 29.317167]]",POINT
جبل قيال الصغير,"[[40.167732, 30.066147]]",POINT
جبل قيال الكبير,"[[40.167561, 30.1161]]",POINT
جبل قيالات الكبير,"[[40.085678, 30.062542]]",POINT
جبل ليلى,"[[38.696036, 30.883706]]",POINT
جبل مغيرة,"[[39.519689, 29.444904]]",POINT
جبل مقل,"[[37.575345, 31.462891]]",POINT
جبل نعيج,"[[37.930555, 31.6538]]",POINT
جبل وريك,"[[37.644997, 31.306057]]",POINT
تل البريكات,"[[37.834167, 31.678648]]",POINT
تل الذويد,"[[38.702903, 30.302439]]",POINT
تل الصبخه,"[[37.530262, 31.366224]]",POINT
تل الصبخه,"[[37.541978, 31.352491]]",POINT
تل القلتة,"[[38.489056, 30.857677]]",POINT
تل المجدر,"[[40.083189, 30.033252]]",POINT
تل المرير,"[[39.90479, 30.085931]]",POINT
تل بغيث الجنوبي,"[[37.705572, 31.559665]]",POINT
تل بغيث الشرقي,"[[37.791617, 31.564837]]",POINT
تل بغيث الشمالي,"[[37.7054, 31.608009]]",POINT
تل صماخ,"[[39.920797, 29.100873]]",POINT
تل مسحا,"[[39.407272, 30.344667]]",POINT
تل مسحة,"[[39.385257, 30.699685]]",POINT
تلال بريمات,"[[40.119839, 30.154574]]",POINT
تلال بغيث,"[[37.775159, 31.597624]]",POINT
التل الاحمر,"[[39.224281, 30.572333]]",POINT
السمراء,"[[37.302918, 31.476667]]",POINT
