name,lon_lat,coor_type
منبع عين الحواسي,"[[37.620728, 31.349638]]",POINT
مطق ام رضمه (بئر الروسان),"[[40.853691, 29.655061]]",POINT
مارد ماء,"[[39.281723, 29.38978]]",POINT
قليبات الوريك,"[[37.634525, 31.299534]]",POINT
قلبان الامغر,"[[37.886074, 30.83195]]",POINT
قلبان الجراوي,"[[38.768628, 30.160003]]",POINT
قلبان الجربوعية,"[[37.784386, 30.949516]]",POINT
قلبان العيساوية,"[[37.88161, 30.634582]]",POINT
قلبان المحيضر,"[[37.70113, 30.966167]]",POINT
قلبان المعاصر,"[[38.285379, 30.745153]]",POINT
قلبان ام الفناجيل,"[[37.667828, 30.949516]]",POINT
قلبان ام جماجم,"[[37.617702, 30.932865]]",POINT
قلبان شغار,"[[38.818195, 30.093226]]",POINT
قلبان عذفاء,"[[41.463089, 29.179344]]",POINT
قلبان عرفجاء,"[[38.722837, 30.051556]]",POINT
قلبان قراقر,"[[37.751083, 31.26606]]",POINT
قليب البنات,"[[37.837257, 30.979557]]",POINT
قليب الجوبة,"[[40.166616, 29.916801]]",POINT
قليب الخشابية,"[[38.469679, 30.63426]]",POINT
قليب الصطل,"[[37.886181, 30.898876]]",POINT
قليب القدير,"[[38.191395, 30.682755]]",POINT
قليب القفول,"[[37.816808, 30.950589]]",POINT
قليب النصراني,"[[38.372283, 30.729017]]",POINT
قليب الهرجاف,"[[38.077755, 30.677261]]",POINT
قليب طيب اسم,"[[38.322201, 30.654774]]",POINT
قليب عرقوب,"[[38.378871, 30.648186]]",POINT
قليب مغيران,"[[38.130798, 30.675888]]",POINT
عين الرقبان,"[[37.429197, 31.446476]]",POINT
عيون القرقر,"[[37.538888, 31.347749]]",POINT
بئر ابو مرادي,"[[41.177981, 30.34692]]",POINT
بئر اطناب,"[[40.327549, 29.043217]]",POINT
بئر الثميلة,"[[40.126405, 30.282354]]",POINT
بئر الحصان,"[[41.627884, 30.278664]]",POINT
بئر الضبيب,"[[41.554241, 30.318832]]",POINT
بئر القيري,"[[41.646938, 30.058894]]",POINT
بئر المابية,"[[38.106723, 31.003203]]",POINT
بئر ام العبي,"[[37.765331, 31.248379]]",POINT
بئر رحيه,"[[38.709383, 30.098333]]",POINT
بئر شعار,"[[38.810792, 30.110307]]",POINT
بئر عذفاء,"[[41.436653, 29.26157]]",POINT
بئر كران,"[[41.365457, 30.384836]]",POINT
ثمايل ابرق دمعه,"[[41.069298, 30.060225]]",POINT
ابار ابو خرقة,"[[41.207829, 30.017223]]",POINT
ابار الشقيق,"[[40.070658, 29.389114]]",POINT
ابار ابو صفاة,"[[41.469162, 30.114555]]",POINT
ابار البويتات,"[[41.198301, 30.023232]]",POINT
ابار الجواري,"[[41.74751, 29.991753]]",POINT
ابار الخفي,"[[41.271515, 30.401058]]",POINT
ابار الرغيفيات,"[[40.130847, 29.341114]]",POINT
ابار الزهيري,"[[40.22732, 29.319506]]",POINT
ابار الصفر,"[[41.54613, 30.146635]]",POINT
ابار المزبور,"[[41.218128, 30.368614]]",POINT
ابار المطاوي,"[[40.11692, 30.398376]]",POINT
ابار المنقوري,"[[41.570485, 30.372412]]",POINT
ابار النخيلة,"[[41.312885, 30.339775]]",POINT
ابار ام شويل,"[[41.341338, 30.381467]]",POINT
ابار ام صويحات,"[[41.19858, 30.027587]]",POINT
ابار اويسطات,"[[40.152819, 29.331715]]",POINT
ابار شيبه,"[[38.546262, 30.41934]]",POINT
ابار هويدي,"[[41.363697, 30.4105]]",POINT
