name,lon_lat,coor_type
مساكن حجريه,"[[37.362635, 31.505227]]",POINT
كاف,"[[37.502582, 31.39457]]",POINT
قلعة زعبل الأثرية,"[[40.201743, 29.992976]]",POINT
قلعة مارد,"[[39.867454, 29.811702]]",POINT
قصر الرشرشيه,"[[37.301137, 31.45375]]",POINT
منزل وبئر الشراري الاثري,"[[38.788133, 30.779507]]",POINT
بئر سيسرا الأثري,"[[40.198288, 29.991839]]",POINT
اثار ونقش الحصان,"[[37.349224, 31.501451]]",POINT
اثار ونقش الحصان,"[[37.36094, 31.487718]]",POINT
اثار ونقوش صوفيه,"[[37.582533, 31.461282]]",POINT
اثار ونقوش عربيه,"[[37.567964, 31.477075]]",POINT
أثار الرجاجيل,"[[40.21966, 29.812732]]",POINT
غار حضرة الأثري,"[[40.11894, 29.594271]]",POINT
