name,lon_lat,coor_type
طعس ابو اذنتين,"[[39.850416, 28.616981]]",POINT
طعس ابو راسين,"[[40.140953, 29.566612]]",POINT
طعس اطناب,"[[40.316648, 29.016781]]",POINT
طعس الدرو,"[[40.154858, 29.431343]]",POINT
طعس القحام,"[[39.954379, 29.587297]]",POINT
طعس الماكر,"[[40.459557, 29.38448]]",POINT
طعس المثلوث,"[[40.362568, 29.295559]]",POINT
طعس الناب,"[[40.031776, 29.401989]]",POINT
طعس الويميه,"[[39.989119, 28.98056]]",POINT
طعس تلال راشدة,"[[37.796659, 29.971046]]",POINT
طعس خيران,"[[40.864334, 29.056606]]",POINT
طعس سلمى,"[[41.22036, 29.158401]]",POINT
طعس سودي,"[[40.456123, 29.334698]]",POINT
طعس شومة,"[[39.480357, 29.852128]]",POINT
طعس صفوان,"[[39.694805, 29.62678]]",POINT
طعس عوفان,"[[40.704517, 29.341736]]",POINT
طعس محسن,"[[39.820375, 29.228611]]",POINT
طعس محقان,"[[40.183096, 29.200287]]",POINT
طعس محقان الحدري,"[[40.303688, 29.205265]]",POINT
طعس محقان الفوقي,"[[40.1228, 29.179752]]",POINT
طعس مخاط,"[[40.181294, 29.508419]]",POINT
طعوس اشباه الرماح,"[[41.060028, 28.847008]]",POINT
طعوس الرماح,"[[41.155643, 28.876705]]",POINT
طعوس الزمل,"[[39.364314, 28.824112]]",POINT
طعوس هدبان,"[[40.253391, 29.944117]]",POINT
طعيس الجليد,"[[40.707607, 28.909836]]",POINT
طعيس الصقرة,"[[40.366001, 29.5261]]",POINT
طعيس المسابق,"[[40.710525, 29.036865]]",POINT
طعيس الملعب,"[[38.36488, 30.436721]]",POINT
طعيس رخاء,"[[41.348591, 29.056606]]",POINT
طعيسات العقاب,"[[40.721683, 29.134541]]",POINT
طعيسات غربة,"[[41.11084, 28.851128]]",POINT
خب الجمال,"[[38.933444, 29.353859]]",POINT
خب الشنيفية,"[[41.362624, 29.025664]]",POINT
خب الصفا,"[[40.962074, 28.974509]]",POINT
خب العتيق,"[[40.643899, 29.637573]]",POINT
خب المبارق,"[[41.096485, 29.00867]]",POINT
خب المتلطمة,"[[41.219351, 28.960562]]",POINT
خب المعيزيلة,"[[38.10756, 29.779086]]",POINT
خب الناقة,"[[40.134172, 28.917904]]",POINT
خب خبيتر,"[[41.034172, 28.988478]]",POINT
نفود الغويطة,"[[39.19497, 29.665575]]",POINT
نازية ابن قاران,"[[40.376129, 29.451084]]",POINT
نازية البينة,"[[39.967017, 28.866298]]",POINT
نازية البينة,"[[39.957898, 28.649318]]",POINT
نازية التيوس,"[[40.327034, 29.379501]]",POINT
نازية التيوس,"[[40.911198, 29.127846]]",POINT
نازية الحريم,"[[41.197872, 28.98674]]",POINT
نازية الدهيمنة,"[[40.519466, 29.189472]]",POINT
نازية الذئبية,"[[40.935059, 28.919106]]",POINT
