name,lon_lat,coor_type,category
وهطان,"[[44.000759, 26.299553]]",POINT,أسماء ثانوية
نقرة ام جدوع,"[[44.111137, 26.420746]]",POINT,أسماء ثانوية
نقرة صلاصل,"[[43.388035, 26.677294]]",POINT,أسماء ثانوية
نقعة شوفان,"[[42.6721, 25.189075]]",POINT,أسماء ثانوية
قف فطحانة,"[[44.388199, 25.683632]]",POINT,أسماء ثانوية
قور الثغب,"[[43.738053, 27.941344]]",POINT,أسماء ثانوية
قور الطيارات,"[[44.30254, 27.468739]]",POINT,أسماء ثانوية
قور محاجر رمث,"[[42.071457, 25.121956]]",POINT,أسماء ثانوية
قويرة مطر,"[[43.426208, 26.291141]]",POINT,أسماء ثانوية
محامة دهام,"[[43.010123, 25.043292]]",POINT,أسماء ثانوية
محمية نفود العريق,"[[42.459948, 25.237935]]",POINT,أسماء ثانوية
محير البسيتين,"[[42.998128, 26.77263]]",POINT,أسماء ثانوية
محير شعيب البريكة,"[[44.653523, 27.404709]]",POINT,أسماء ثانوية
محير شعيب السهل,"[[44.681525, 27.433805]]",POINT,أسماء ثانوية
مزارع الرفائع,"[[43.374109, 25.519524]]",POINT,أسماء ثانوية
مزارع الرفيعة,"[[43.305273, 25.646768]]",POINT,أسماء ثانوية
مزارع الضعوى,"[[43.334477, 25.809138]]",POINT,أسماء ثانوية
مزارع العلوات,"[[43.340807, 25.821755]]",POINT,أسماء ثانوية
مزارع الكير,"[[43.401468, 25.537205]]",POINT,أسماء ثانوية
مزارع المطيات,"[[43.459897, 25.782402]]",POINT,أسماء ثانوية
مزارع صيادة,"[[43.380547, 25.57585]]",POINT,أسماء ثانوية
مزارع مغيب,"[[43.371985, 25.63473]]",POINT,أسماء ثانوية
مزرعة ابو جص,"[[42.665663, 25.54332]]",POINT,أسماء ثانوية
مزرعة لزام,"[[44.408712, 26.816425]]",POINT,أسماء ثانوية
مشاش ابن سعدي,"[[43.868494, 27.865877]]",POINT,أسماء ثانوية
مشاش اللبانة,"[[43.825922, 27.895145]]",POINT,أسماء ثانوية
مشاش ذويبان,"[[44.24263, 27.543068]]",POINT,أسماء ثانوية
مشروع الاسياح,"[[44.187634, 26.920302]]",POINT,أسماء ثانوية
مشروع الحديثي,"[[43.431702, 26.225395]]",POINT,أسماء ثانوية
مشقوق,"[[43.517532, 26.916161]]",POINT,أسماء ثانوية
مغيراء,"[[44.033504, 27.092693]]",POINT,أسماء ثانوية
مفرش ابو مراكي,"[[44.251986, 27.868624]]",POINT,أسماء ثانوية
مفيض الردة,"[[42.931266, 25.777037]]",POINT,أسماء ثانوية
مفيض الردة,"[[42.944419, 25.72026]]",POINT,أسماء ثانوية
مفيض قعضب,"[[42.734413, 24.633987]]",POINT,أسماء ثانوية
مقناص,"[[41.73028, 25.233278]]",POINT,أسماء ثانوية
مقناص,"[[41.764526, 25.126247]]",POINT,أسماء ثانوية
مقناص,"[[43.911839, 27.508135]]",POINT,أسماء ثانوية
مقناص,"[[44.036293, 27.358532]]",POINT,أسماء ثانوية
مقناص,"[[44.735813, 27.382393]]",POINT,أسماء ثانوية
مقناص,"[[44.666634, 27.149963]]",POINT,أسماء ثانوية
مقناص,"[[44.876404, 27.189789]]",POINT,أسماء ثانوية
مقناص ام الهشيم,"[[44.866619, 27.146873]]",POINT,أسماء ثانوية
مقناص برقه,"[[42.019873, 26.116219]]",POINT,أسماء ثانوية
مقناص بياح عرفج,"[[44.632645, 27.195368]]",POINT,أسماء ثانوية
