name,lon_lat,coor_type
وهطان,"[[44.000759, 26.299553]]",POINT
نقرة ام جدوع,"[[44.111137, 26.420746]]",POINT
نقرة صلاصل,"[[43.388035, 26.677294]]",POINT
نقعة شوفان,"[[42.6721, 25.189075]]",POINT
قف فطحانة,"[[44.388199, 25.683632]]",POINT
قور الثغب,"[[43.738053, 27.941344]]",POINT
قور الطيارات,"[[44.30254, 27.468739]]",POINT
قور محاجر رمث,"[[42.071457, 25.121956]]",POINT
قويرة مطر,"[[43.426208, 26.291141]]",POINT
محامة دهام,"[[43.010123, 25.043292]]",POINT
محمية نفود العريق,"[[42.459948, 25.237935]]",POINT
محير البسيتين,"[[42.998128, 26.77263]]",POINT
محير شعيب البريكة,"[[44.653523, 27.404709]]",POINT
محير شعيب السهل,"[[44.681525, 27.433805]]",POINT
مزارع الرفائع,"[[43.374109, 25.519524]]",POINT
مزارع الرفيعة,"[[43.305273, 25.646768]]",POINT
مزارع الضعوى,"[[43.334477, 25.809138]]",POINT
مزارع العلوات,"[[43.340807, 25.821755]]",POINT
مزارع الكير,"[[43.401468, 25.537205]]",POINT
مزارع المطيات,"[[43.459897, 25.782402]]",POINT
مزارع صيادة,"[[43.380547, 25.57585]]",POINT
مزارع مغيب,"[[43.371985, 25.63473]]",POINT
مزرعة ابو جص,"[[42.665663, 25.54332]]",POINT
مزرعة لزام,"[[44.408712, 26.816425]]",POINT
مشاش ابن سعدي,"[[43.868494, 27.865877]]",POINT
مشاش اللبانة,"[[43.825922, 27.895145]]",POINT
مشاش ذويبان,"[[44.24263, 27.543068]]",POINT
مشروع الاسياح,"[[44.187634, 26.920302]]",POINT
مشروع الحديثي,"[[43.431702, 26.225395]]",POINT
مشقوق,"[[43.517532, 26.916161]]",POINT
مغيراء,"[[44.033504, 27.092693]]",POINT
مفرش ابو مراكي,"[[44.251986, 27.868624]]",POINT
مفيض الردة,"[[42.931266, 25.777037]]",POINT
مفيض الردة,"[[42.944419, 25.72026]]",POINT
مفيض قعضب,"[[42.734413, 24.633987]]",POINT
مقناص,"[[41.73028, 25.233278]]",POINT
مقناص,"[[41.764526, 25.126247]]",POINT
مقناص,"[[43.911839, 27.508135]]",POINT
مقناص,"[[44.036293, 27.358532]]",POINT
مقناص,"[[44.735813, 27.382393]]",POINT
مقناص,"[[44.666634, 27.149963]]",POINT
مقناص,"[[44.876404, 27.189789]]",POINT
مقناص ام الهشيم,"[[44.866619, 27.146873]]",POINT
مقناص برقه,"[[42.019873, 26.116219]]",POINT
مقناص بياح عرفج,"[[44.632645, 27.195368]]",POINT
مقناص خبة السياريات,"[[44.862843, 27.123785]]",POINT
مقناص دكاك عرفج,"[[44.775553, 27.075033]]",POINT
مقناص عرفج,"[[44.401245, 27.753954]]",POINT
مقناص عرفج,"[[44.816666, 27.168331]]",POINT
مقناص عرق ارطى,"[[44.801989, 27.106533]]",POINT
مقناص عواشز,"[[42.05678, 25.043507]]",POINT
مقناص عواشز بياح,"[[44.821558, 27.196999]]",POINT
ملعية,"[[43.417625, 25.833321]]",POINT
منجم صخيبره,"[[42.007191, 25.456974]]",POINT
منطقة الشمال,"[[44.24778, 26.351309]]",POINT
مهامة ام جص,"[[42.555885, 24.519768]]",POINT
مواجه,"[[42.30056, 26.065836]]",POINT
نجخ,"[[42.01277, 25.014431]]",POINT
قاع ابو جثيا,"[[43.098164, 25.149078]]",POINT
قاع ابو عوشزة,"[[44.555783, 25.757468]]",POINT
قاع الحفر,"[[44.358673, 27.402821]]",POINT
قاع الحنادر,"[[43.490238, 26.45937]]",POINT
قاع الخرماء,"[[44.078221, 25.565958]]",POINT
قاع الخفق,"[[43.11739, 25.151825]]",POINT
قاع الخيمة,"[[42.388344, 25.849285]]",POINT
قاع الزرار,"[[43.481312, 26.709995]]",POINT
قاع السحق,"[[43.381576, 26.603909]]",POINT
قاع العايلة,"[[44.14959, 26.376286]]",POINT
قاع العزبة,"[[42.140808, 26.278782]]",POINT
قاع العصودة,"[[43.411102, 26.531982]]",POINT
قاع المالحة,"[[44.218426, 27.441101]]",POINT
قاع المزيريرة,"[[43.198414, 27.148075]]",POINT
قاع ام رشاد,"[[44.273765, 27.483866]]",POINT
