name,lon_lat,coor_type
بريدة,"[[43.957415, 26.348863]]",POINT
أبو عوشز,"[[43.548088, 26.914401]]",POINT
أم ارطى,"[[42.966392, 25.564907]]",POINT
أم الخراسع,"[[44.252801, 25.972924]]",POINT
أم المحاش,"[[42.680469, 24.89135]]",POINT
أم حزم,"[[43.889437, 25.319517]]",POINT
أم طليحة,"[[43.916151, 25.390327]]",POINT
أم غلس,"[[43.125029, 25.172725]]",POINT
أوثال,"[[43.690374, 26.523871]]",POINT
ابا الحياض,"[[42.833526, 25.525231]]",POINT
ابا الهدار,"[[42.748339, 25.553577]]",POINT
ابا الورود,"[[44.07423, 27.021432]]",POINT
ابار الشقيم,"[[41.943955, 25.044]]",POINT
ابن دهيثم,"[[43.270082, 27.316689]]",POINT
ابو بطحا,"[[43.047888, 25.835574]]",POINT
ابو جص,"[[42.67607, 25.591686]]",POINT
ابو جصيص,"[[42.702312, 25.589733]]",POINT
ابو جصيصة,"[[42.679203, 25.537419]]",POINT
ابو طلح,"[[42.842689, 25.430753]]",POINT
ابو قليبات,"[[42.674289, 25.524373]]",POINT
ابو نخلة,"[[43.555362, 26.922534]]",POINT
ابو نخلة,"[[43.42417, 25.195727]]",POINT
ال مطني,"[[42.795868, 24.722285]]",POINT
الأحمدية,"[[43.78792, 25.762618]]",POINT
الأشيعل,"[[42.328606, 26.24666]]",POINT
الارطاوي,"[[42.678473, 26.603565]]",POINT
الارطاوي الشمالي,"[[42.689824, 26.630237]]",POINT
الاسامر,"[[43.224485, 25.643849]]",POINT
الاشيعل,"[[42.578373, 26.034508]]",POINT
الاصفر,"[[43.712153, 25.984747]]",POINT
الافيهد,"[[42.350235, 25.688953]]",POINT
البتراء,"[[42.956972, 25.943034]]",POINT
البدائع العليا,"[[43.699708, 25.963612]]",POINT
البدائع الوسطى,"[[43.725114, 25.995519]]",POINT
البدائع ام تلعة,"[[43.761892, 26.023457]]",POINT
البدع,"[[42.35384, 26.272087]]",POINT
البديعة,"[[42.087872, 25.408502]]",POINT
البرود,"[[44.148602, 26.862195]]",POINT
البصر,"[[43.881025, 26.265521]]",POINT
البصيري,"[[42.305753, 25.194161]]",POINT
البطاح,"[[43.398142, 25.645695]]",POINT
البطين,"[[43.874803, 26.806898]]",POINT
البعجاء,"[[42.227454, 25.199096]]",POINT
البعيثة,"[[44.074681, 27.596605]]",POINT
