name,lon_lat,coor_type
وادي ابو شويحات,"[[42.485847, 26.148491]]",POINT
وادي ابو شويحات,"[[42.594981, 25.95932]]",POINT
وادي ابو نخلة,"[[43.040721, 26.057296]]",POINT
وادي ابو نخلة,"[[43.154275, 26.050215]]",POINT
وادي ابو نخلة,"[[43.19983, 26.018436]]",POINT
وادي ابو نخلة,"[[43.249526, 25.996249]]",POINT
وادي الابتر,"[[42.823741, 25.801005]]",POINT
وادي الابتر,"[[42.890625, 25.964942]]",POINT
وادي الابتر,"[[42.833591, 25.872674]]",POINT
وادي الابتر,"[[42.833247, 25.878446]]",POINT
وادي الاجردي,"[[44.636528, 27.383788]]",POINT
وادي الاجردي,"[[44.64788, 27.399259]]",POINT
وادي الاجردي,"[[44.699142, 27.491097]]",POINT
وادي الافيهد,"[[42.397335, 25.685155]]",POINT
وادي الترمس,"[[42.769046, 26.763597]]",POINT
وادي الترمس,"[[43.03407, 26.888738]]",POINT
وادي الترمس,"[[43.54826, 27.281628]]",POINT
وادي الترمس,"[[43.602204, 27.367458]]",POINT
وادي الجرير,"[[42.329636, 26.341953]]",POINT
وادي الجرير,"[[42.19898, 24.977889]]",POINT
وادي الجرير,"[[42.306526, 25.281043]]",POINT
وادي الجرير,"[[42.490203, 25.597737]]",POINT
وادي الجرير,"[[42.756965, 25.85907]]",POINT
وادي الجرير,"[[42.764905, 25.844285]]",POINT
وادي الجرير,"[[42.756751, 25.859027]]",POINT
وادي الجفن,"[[41.461329, 25.591149]]",POINT
وادي الجفن,"[[41.810145, 25.681186]]",POINT
وادي الخويش,"[[41.385841, 25.705261]]",POINT
وادي الخويش,"[[41.368332, 25.655308]]",POINT
وادي الداث,"[[43.170004, 25.591493]]",POINT
وادي الداث,"[[43.087263, 25.442491]]",POINT
وادي الرجل,"[[42.224214, 25.790041]]",POINT
وادي الرجل,"[[42.144928, 25.743027]]",POINT
وادي الرشاء,"[[44.068351, 25.547698]]",POINT
وادي الرضيمة,"[[42.179003, 24.814854]]",POINT
وادي الرمة,"[[42.214601, 25.832183]]",POINT
وادي الرمة,"[[42.39918, 25.719144]]",POINT
وادي الرمة,"[[42.674568, 25.680284]]",POINT
وادي الرمة,"[[42.889144, 25.68404]]",POINT
وادي الرمة,"[[43.157945, 25.756416]]",POINT
وادي الرمة,"[[43.080955, 25.709059]]",POINT
وادي الرمة,"[[43.314478, 25.827312]]",POINT
وادي الرمة,"[[43.351965, 25.86364]]",POINT
وادي الرمة,"[[43.456292, 25.925996]]",POINT
وادي الرمة,"[[43.70003, 26.022899]]",POINT
وادي الرمة,"[[43.780303, 26.057961]]",POINT
وادي الرمة,"[[43.711445, 26.028821]]",POINT
وادي الرمة,"[[43.956749, 26.146882]]",POINT
وادي الرمة,"[[44.060583, 26.309659]]",POINT
وادي الرمة,"[[44.039919, 26.21634]]",POINT
وادي الرمة,"[[44.204135, 26.450379]]",POINT
وادي الرمة,"[[44.279323, 26.535716]]",POINT
وادي الرمة,"[[44.228897, 26.485634]]",POINT
وادي الشعبة,"[[41.913915, 25.990434]]",POINT
وادي الطرفاوي الشرقي,"[[41.383502, 25.566065]]",POINT
وادي الطرفية,"[[43.932266, 26.577816]]",POINT
وادي العمودة,"[[42.80194, 26.005003]]",POINT
وادي العمودة,"[[42.876184, 26.234429]]",POINT
وادي الفويلق,"[[43.582592, 26.479733]]",POINT
وادي الفويلق,"[[43.5883, 26.469584]]",POINT
وادي القرين,"[[43.310831, 26.120811]]",POINT
وادي القرين,"[[43.37692, 26.031353]]",POINT
وادي القصيرة,"[[41.368332, 25.455666]]",POINT
وادي القصيرة,"[[41.451759, 25.288017]]",POINT
وادي المثواة,"[[41.775041, 25.455816]]",POINT
وادي المثواة,"[[41.92179, 25.302436]]",POINT
وادي المحلاني,"[[42.190547, 25.856195]]",POINT
وادي المصيقر,"[[41.944878, 25.726483]]",POINT
وادي المصيقر,"[[42.121475, 25.792336]]",POINT
وادي الملح,"[[42.273288, 25.818729]]",POINT
وادي المياه,"[[42.245843, 24.903967]]",POINT
وادي المياه,"[[42.357423, 24.850581]]",POINT
وادي المياه,"[[42.357423, 24.850581]]",POINT
وادي الميليح,"[[41.501455, 25.315375]]",POINT
وادي النساء,"[[43.650141, 25.941381]]",POINT
وادي النساء,"[[43.6304, 25.82654]]",POINT
وادي النساء,"[[43.575897, 25.486886]]",POINT
وادي النساء,"[[43.489187, 25.371766]]",POINT
وادي ام عجلة,"[[41.679618, 25.40318]]",POINT
وادي ام عجلة,"[[41.859498, 25.263126]]",POINT
وادي بدين,"[[42.468832, 25.587029]]",POINT
وادي ثادج,"[[42.811553, 26.001871]]",POINT
وادي ثادج,"[[42.806189, 25.854371]]",POINT
وادي ثادج,"[[42.80591, 25.854263]]",POINT
وادي ثادج,"[[42.805331, 25.872202]]",POINT
وادي ثادج,"[[42.85301, 25.718179]]",POINT
وادي جبيرة,"[[41.724057, 25.428135]]",POINT
