name,lon_lat,coor_type
هضاب البيضتين,"[[42.863502, 24.755802]]",POINT
هضاب الحنينية,"[[42.95311, 25.525703]]",POINT
هضاب الزحيف,"[[42.853203, 24.67598]]",POINT
هضاب الشلالات,"[[42.951565, 24.625511]]",POINT
هضاب الغيمار,"[[42.529814, 26.474025]]",POINT
هضاب اللجاة,"[[42.960663, 24.810047]]",POINT
هضاب النويبات,"[[43.171248, 26.860349]]",POINT
هضاب النويبات,"[[43.171248, 26.860371]]",POINT
هضاب الهواوي,"[[42.870798, 24.647913]]",POINT
هضاب حسلات,"[[42.616825, 24.942076]]",POINT
هضاب مشرفات,"[[42.703836, 26.416369]]",POINT
هضاب مشرفات,"[[42.703814, 26.416369]]",POINT
هضبة الردهة,"[[42.563396, 24.953792]]",POINT
هضبة الشيوخ,"[[42.623177, 25.000827]]",POINT
هضبة ام سنون,"[[42.570112, 24.928129]]",POINT
هضبة ام ضباع,"[[42.612019, 26.34985]]",POINT
هضبة جليميدة,"[[42.562795, 24.976494]]",POINT
هضيبات العفين,"[[43.237081, 25.896921]]",POINT
هضيبة ابو رخم,"[[43.128376, 24.894333]]",POINT
هضيبة الجبو,"[[43.156357, 25.826626]]",POINT
هضيبة الحريرة,"[[42.805309, 26.494217]]",POINT
هضيبة ام خيمة,"[[43.057888, 24.647398]]",POINT
غار حسلات,"[[42.628455, 24.938836]]",POINT
غار قرناس,"[[42.982807, 25.839286]]",POINT
ضلع التين,"[[42.325494, 26.301677]]",POINT
ضلع الحميمة,"[[41.330266, 25.542591]]",POINT
ضلع الرحلين,"[[43.702261, 26.517327]]",POINT
ضلع السمير,"[[42.482157, 26.256037]]",POINT
ضلع اللحس,"[[42.389524, 26.018329]]",POINT
ضلع سمراء غيمار,"[[42.482221, 26.438577]]",POINT
ضلع شلالة,"[[42.398493, 26.001592]]",POINT
ضلع مشحاد ابو عبل,"[[42.418642, 26.151173]]",POINT
ضلع يكلب,"[[43.197041, 26.83048]]",POINT
ضلع يكلب,"[[43.197041, 26.830502]]",POINT
ضلعان ام برقا,"[[42.245693, 25.772381]]",POINT
ضلعان مشحاد الوعر,"[[42.389588, 26.111112]]",POINT
ضليع الاديرع,"[[41.988716, 26.035194]]",POINT
ضليع الثليبيت,"[[43.534591, 26.123686]]",POINT
ضليع الجشة,"[[42.331417, 26.023629]]",POINT
ضليع الحصانة,"[[43.502598, 25.523365]]",POINT
ضليع السباع,"[[42.008972, 25.826626]]",POINT
ضليع الضرابيل,"[[42.667637, 25.285721]]",POINT
ضليع العبد,"[[41.861687, 25.54287]]",POINT
ضليع المزيرير,"[[44.368973, 26.480141]]",POINT
ضليع المليساء,"[[42.472608, 26.467609]]",POINT
ضليع ام سلم,"[[42.364655, 26.019573]]",POINT
ضليع ام شديد,"[[42.397914, 26.43523]]",POINT
ضليع تمير,"[[42.069225, 25.753498]]",POINT
ضليع حواش,"[[42.413836, 26.490462]]",POINT
ضليع رشيد,"[[42.488422, 26.038799]]",POINT
ضليع صخيبرة,"[[41.91988, 25.447597]]",POINT
ضليع كيمين,"[[42.126045, 24.815884]]",POINT
ضليع هذال,"[[44.085324, 27.70046]]",POINT
ضليعات المتفكرات,"[[43.426702, 25.67771]]",POINT
ضليعات المتفكرات,"[[43.422325, 25.668547]]",POINT
ضليعات درمة,"[[42.750378, 25.316963]]",POINT
ضليعات عبيدان,"[[43.001518, 26.099911]]",POINT
ضليعات عبيدان,"[[43.015251, 26.078968]]",POINT
ضليعات عوص,"[[41.781349, 25.656681]]",POINT
ضليعات قرنين,"[[41.91885, 25.145473]]",POINT
ضليعات قفا,"[[42.265348, 25.01514]]",POINT
سمراء ام رضام,"[[43.107519, 26.052339]]",POINT
سمراء خيطان,"[[42.887535, 25.578575]]",POINT
سمراء عرجان,"[[41.844885, 25.626297]]",POINT
سمراء عيسى,"[[43.060462, 26.060064]]",POINT
سمراء مريوان,"[[41.404552, 25.695992]]",POINT
سمراء وقط,"[[42.900775, 26.096671]]",POINT
سميراء هيا,"[[41.662044, 25.395241]]",POINT
سمراء الحاجر,"[[41.881063, 25.966659]]",POINT
سمراء الحسونية,"[[41.807356, 25.578575]]",POINT
سمراء الذيبية,"[[43.070934, 26.069849]]",POINT
سمراء السيافية,"[[41.392536, 25.407085]]",POINT
سمراء العاشوقة,"[[42.794495, 24.938793]]",POINT
سمراء القحصاء,"[[42.891998, 26.445465]]",POINT
سمراء المطيوي,"[[42.650428, 26.40976]]",POINT
سمراء المطيوي,"[[42.650428, 26.409781]]",POINT
سمر الخرشاء,"[[42.488937, 26.341438]]",POINT
سمر الشغيفاء,"[[41.791992, 25.528278]]",POINT
سمر الناقة,"[[41.822891, 25.552826]]",POINT
سمر النقرة,"[[41.41777, 25.594196]]",POINT
سمر الهبيرية,"[[42.447996, 26.224194]]",POINT
سمر ام العرادي,"[[41.771822, 25.625954]]",POINT
سمراء الجرذاوية,"[[42.726345, 25.357475]]",POINT
جبال ابان الأحمر,"[[42.7797317, 25.5138384]]",POINT
جبال ابان الاسمر,"[[42.980447, 25.8127]]",POINT
جبال احامر,"[[42.831273, 24.877059]]",POINT
جبال افيعية,"[[41.37537, 25.505791]]",POINT
جبال الاخاضر,"[[41.832333, 25.758991]]",POINT
جبال الاشماط,"[[42.276249, 24.814339]]",POINT
جبال الاكيثال,"[[43.079131, 24.56897]]",POINT
جبال التشييع,"[[43.518026, 25.754399]]",POINT
جبال الحبلى,"[[42.290068, 25.603101]]",POINT
جبال الحميمة,"[[41.305847, 25.517292]]",POINT
جبال الخيل,"[[43.390331, 25.138607]]",POINT
جبال الدرة,"[[43.260212, 25.218086]]",POINT
جبال الدرع,"[[43.337116, 25.378761]]",POINT
جبال الدمخا,"[[43.57933, 25.381165]]",POINT
جبال الربائع,"[[42.288308, 26.43729]]",POINT
جبال الربوض,"[[43.390331, 25.27319]]",POINT
جبال الردهة,"[[41.564884, 25.390778]]",POINT
جبال الريشيات,"[[42.341824, 25.006084]]",POINT
جبال السلسلة,"[[42.656994, 26.159477]]",POINT
جبال الشعب,"[[43.150692, 24.820518]]",POINT
جبال الشغيفاء,"[[42.667465, 25.231132]]",POINT
جبال الشمط,"[[41.514308, 25.493088]]",POINT
جبال الشمط,"[[41.552353, 25.435753]]",POINT
جبال الشهبان,"[[42.52018, 25.544586]]",POINT
جبال الشهبان,"[[42.444477, 25.570164]]",POINT
جبال الصغوى,"[[42.682872, 26.792092]]",POINT
جبال الصقار,"[[42.908177, 24.754708]]",POINT
جبال العجام,"[[41.96434, 25.161438]]",POINT
جبال الغوار,"[[43.59096, 26.45776]]",POINT
جبال القرائن,"[[43.042374, 26.725788]]",POINT
جبال القنينة,"[[42.694416, 25.686207]]",POINT
جبال المداري,"[[43.252831, 25.240231]]",POINT
جبال المسمى,"[[41.53832, 25.73277]]",POINT
جبال المصيقر,"[[41.993265, 25.718694]]",POINT
جبال المقوقي,"[[42.591763, 25.218773]]",POINT
جبال الموشم,"[[42.75984, 26.39564]]",POINT
جبال الهميلية,"[[41.854992, 25.613251]]",POINT
جبال ام احصية,"[[42.347274, 25.953891]]",POINT
جبال ام العراد,"[[41.772487, 25.639322]]",POINT
جبال ام ردهة,"[[43.43874, 25.272503]]",POINT
جبال امرة,"[[43.362865, 25.393009]]",POINT
جبال بدين,"[[42.449627, 25.610161]]",POINT
جبال تمريات,"[[42.211018, 25.736504]]",POINT
جبال حليتات المخامر,"[[43.411961, 25.127106]]",POINT
جبال حمرة,"[[42.789452, 24.698703]]",POINT
جبال دخان,"[[43.564889, 25.378225]]",POINT
جبال سمر الخرشاء,"[[42.488937, 26.341438]]",POINT
جبال شعياء,"[[42.665041, 24.866867]]",POINT
جبال شوفان,"[[42.616997, 25.147877]]",POINT
جبال صارة,"[[43.215988, 26.523828]]",POINT
جبال ضمينة,"[[42.7351, 25.294304]]",POINT
جبال ضمينة,"[[42.722397, 25.324001]]",POINT
جبال طخفة,"[[43.171742, 24.925296]]",POINT
جبال ظلما,"[[42.900753, 25.790577]]",POINT
جبال غارة سالم,"[[43.091512, 26.136174]]",POINT
جبال قطن,"[[42.329915, 26.009252]]",POINT
جبال قطن,"[[42.348497, 26.025109]]",POINT
جبال كحلة,"[[42.702656, 25.483303]]",POINT
جبال ليم,"[[42.987614, 24.920082]]",POINT
جبال متعب,"[[43.454533, 25.187016]]",POINT
جبال محيوة,"[[42.892685, 25.642948]]",POINT
جبال وتدة,"[[42.059612, 26.257153]]",POINT
جبل ابو خشة,"[[42.730873, 24.649651]]",POINT
جبل الاثور,"[[42.393601, 26.260006]]",POINT
جبل الاحموم,"[[41.460857, 25.406055]]",POINT
جبل الاديرع,"[[42.222862, 25.662346]]",POINT
جبل الاشمط,"[[42.328091, 24.723187]]",POINT
جبل الاصبعة,"[[43.05042, 26.314466]]",POINT
جبل الاصبعة,"[[43.050399, 26.314487]]",POINT
جبل الاصفر,"[[42.871914, 25.153542]]",POINT
جبل البكره,"[[42.311504, 25.937305]]",POINT
جبل التيس,"[[43.242359, 26.367359]]",POINT
جبل الجفر,"[[42.571678, 24.647484]]",POINT
جبل الجفير,"[[42.56773, 24.611607]]",POINT
