name,lon_lat,coor_type
نقا ابو حثول الاوسط,"[[44.84705, 27.308106]]",POINT
نقا ابو حثول الجنوبي,"[[44.85574, 27.282851]]",POINT
نقا ابو حثول الشمالي,"[[44.818897, 27.354991]]",POINT
نقا الحومة,"[[44.897797, 27.312205]]",POINT
نقا الخنصر,"[[44.888635, 27.239721]]",POINT
نقا السياريات,"[[44.73886, 27.33362]]",POINT
نقا السياريات,"[[44.707961, 27.242081]]",POINT
نقي الذيابة,"[[44.824154, 27.418485]]",POINT
نقيان البريكه,"[[44.891939, 27.261372]]",POINT
نقرة أم هشيم,"[[42.524192, 25.195813]]",POINT
نازية أم زريبة,"[[43.687735, 27.774231]]",POINT
نفود الابرق,"[[44.283829, 26.804237]]",POINT
نفود السر,"[[44.323912, 26.069205]]",POINT
نفود السر,"[[44.278078, 26.184132]]",POINT
نفود السر,"[[44.436779, 25.830617]]",POINT
نفود الشقيقه,"[[43.889523, 25.997601]]",POINT
نفود الشقيقه,"[[44.029427, 25.802121]]",POINT
نفود الشقيقه,"[[44.019878, 25.802228]]",POINT
نفود الشقيقه,"[[44.149761, 25.617478]]",POINT
نفود الشقيقه,"[[44.134977, 25.639172]]",POINT
نفود العريق,"[[42.458103, 25.08919]]",POINT
نفود العريق,"[[42.701776, 24.523587]]",POINT
نفود الغميس,"[[43.95057, 25.979877]]",POINT
نفود الفنيده,"[[43.162816, 25.181072]]",POINT
نفود اللهيب,"[[42.874296, 25.098867]]",POINT
نفود المعيزيله,"[[42.737525, 25.129659]]",POINT
نفود الميسريه,"[[42.823033, 25.666745]]",POINT
نفود رامة,"[[43.728976, 25.797036]]",POINT
نفود رامة,"[[43.717239, 25.795813]]",POINT
نفود رامة,"[[43.771935, 25.811219]]",POINT
نفود فارس,"[[44.420471, 26.389503]]",POINT
نفيد امرة,"[[43.253067, 25.387967]]",POINT
عرقوب الجمل,"[[44.28709, 27.28446]]",POINT
عرق أبيتر الرضمات,"[[43.837917, 27.506568]]",POINT
عرق الأبيتر الشمالي,"[[43.714836, 27.572508]]",POINT
عرق الأشعلي,"[[43.739362, 27.482386]]",POINT
عرق الاشعلي,"[[43.892269, 27.387371]]",POINT
عرق الاشعلي,"[[44.0623, 27.267873]]",POINT
عرق الاشعلي,"[[44.325607, 27.063596]]",POINT
عرق الاشعلي,"[[44.199586, 27.16316]]",POINT
عرق الاشعلي,"[[44.233639, 27.136145]]",POINT
عرق البتر,"[[43.697927, 27.679839]]",POINT
عرق البعيثه,"[[43.938768, 27.597828]]",POINT
عرق البنشر,"[[43.797233, 27.34688]]",POINT
عرق البيصية الشرقي,"[[44.325993, 27.011948]]",POINT
عرق البيصية الشرقي,"[[44.170232, 27.136681]]",POINT
عرق البيصية الشرقي,"[[44.198663, 27.11252]]",POINT
عرق البيصية الغربي,"[[44.13223, 27.118142]]",POINT
عرق البيصية الغربي,"[[44.231837, 27.025423]]",POINT
عرق البيصية الغربي,"[[44.361999, 26.916289]]",POINT
عرق البيصية الغربي,"[[44.16431, 27.096083]]",POINT
عرق الجذماء,"[[44.085581, 27.346387]]",POINT
عرق الدخول,"[[44.377985, 27.835815]]",POINT
عرق الدقيق,"[[44.249153, 26.929164]]",POINT
عرق الزغيبة,"[[44.088156, 26.176987]]",POINT
عرق الزغيبة,"[[44.085753, 26.177802]]",POINT
عرق الطليحي,"[[43.924584, 27.550149]]",POINT
عرق العشرة,"[[43.891561, 27.525086]]",POINT
عرق المظهور,"[[44.206474, 27.370012]]",POINT
عرق النقي,"[[44.478321, 27.100654]]",POINT
عرق الهامل,"[[44.20995, 27.83545]]",POINT
عرق ام ثميد,"[[43.635206, 27.386963]]",POINT
عرق غشام,"[[43.655548, 27.466764]]",POINT
عرق غشام,"[[43.838775, 27.379003]]",POINT
عرق غشام,"[[44.127359, 27.172515]]",POINT
عرق لزام,"[[44.488235, 27.032289]]",POINT
عرق لزام,"[[44.331293, 27.125287]]",POINT
عرق لزام,"[[44.185553, 27.235343]]",POINT
عرق لزام,"[[44.266577, 27.175949]]",POINT
عرق نواظر,"[[43.496139, 27.513993]]",POINT
طعس ابو نسور,"[[44.559689, 27.0928]]",POINT
طعيس الفرايد,"[[44.698734, 27.09383]]",POINT
رمال ابا الوران,"[[44.174609, 26.435981]]",POINT
خبة البعيثة,"[[43.7146, 27.737882]]",POINT
خبوب العمي,"[[43.85828, 27.632804]]",POINT
خبة البعيثة,"[[43.798113, 27.695997]]",POINT
خبة الخزامى,"[[44.265933, 27.214701]]",POINT
خبة السويدة,"[[44.382877, 26.86168]]",POINT
خبة الشيبانية,"[[43.93364, 27.215881]]",POINT
خبة الصفيراء,"[[44.400258, 26.751795]]",POINT
خبة العشرة,"[[43.929906, 27.518928]]",POINT
خبة ام عنيقر,"[[44.85913, 26.916783]]",POINT
