name,lon_lat,coor_type,category
شاطئ زهران,"[[41.458197, 18.344507]]",POINT,أسماء ثانوية
شاطيئ الحلفاء,"[[41.422319, 18.495677]]",POINT,أسماء ثانوية
حلف,"[[41.445558, 18.514731]]",POINT,أسماء ثانوية
المجس,"[[41.430838, 18.651116]]",POINT,أسماء ثانوية
قزعة,"[[41.458068, 18.481386]]",POINT,أسماء ثانوية
قوز,"[[41.457789, 18.496664]]",POINT,أسماء ثانوية
شاطئ سوبان,"[[41.442747, 18.432312]]",POINT,أسماء ثانوية
عمق,"[[41.461351, 18.454735]]",POINT,أسماء ثانوية
قيلة,"[[41.470277, 18.424437]]",POINT,أسماء ثانوية
ستار,"[[41.588058, 18.309445]]",POINT,أسماء ثانوية
جزيرة حصر,"[[41.537075, 18.153083]]",POINT,أسماء ثانوية
منقل,"[[41.635287, 18.318329]]",POINT,أسماء ثانوية
العين,"[[41.640565, 18.291399]]",POINT,أسماء ثانوية
الرعابية,"[[41.667216, 18.247776]]",POINT,أسماء ثانوية
الحشافة,"[[41.677773, 18.248613]]",POINT,أسماء ثانوية
جدم,"[[41.663053, 18.281121]]",POINT,أسماء ثانوية
معشوقة,"[[41.580827, 18.332791]]",POINT,أسماء ثانوية
الجبل,"[[41.639729, 18.321676]]",POINT,أسماء ثانوية
قنا,"[[41.633055, 18.339722]]",POINT,أسماء ثانوية
حافش,"[[41.640823, 18.37723]]",POINT,أسماء ثانوية
بني الشرفات,"[[41.657496, 18.369162]]",POINT,أسماء ثانوية
ناعم,"[[41.65668, 18.383882]]",POINT,أسماء ثانوية
الكشر,"[[41.631939, 18.454993]]",POINT,أسماء ثانوية
كاب البرك,"[[41.657281, 18.450851]]",POINT,أسماء ثانوية
المديغ,"[[41.65668, 18.44862]]",POINT,أسماء ثانوية
المرصد,"[[41.680155, 18.466773]]",POINT,أسماء ثانوية
صعبان في المديد,"[[41.660006, 18.462503]]",POINT,أسماء ثانوية
أم صفقة,"[[41.684167, 18.467503]]",POINT,أسماء ثانوية
الهدة,"[[41.668053, 18.482223]]",POINT,أسماء ثانوية
الحوش,"[[41.645823, 18.496385]]",POINT,أسماء ثانوية
العقدة,"[[41.701677, 18.465271]]",POINT,أسماء ثانوية
الطائيرة,"[[41.714723, 18.465571]]",POINT,أسماء ثانوية
المعرف,"[[41.718049, 18.481107]]",POINT,أسماء ثانوية
ابن هلال,"[[41.728606, 18.490291]]",POINT,أسماء ثانوية
جمة,"[[41.728606, 18.465271]]",POINT,أسماء ثانوية
الجوف,"[[41.728885, 18.484712]]",POINT,أسماء ثانوية
بني ذيب,"[[41.5189, 18.693881]]",POINT,أسماء ثانوية
أم سد,"[[41.74, 18.656395]]",POINT,أسماء ثانوية
سرداب الهلالي,"[[41.619387, 18.551209]]",POINT,أسماء ثانوية
المجنب,"[[41.63445, 18.551724]]",POINT,أسماء ثانوية
ام قيف,"[[41.646144, 18.54151]]",POINT,أسماء ثانوية
ذرا,"[[41.716483, 18.519344]]",POINT,أسماء ثانوية
الريف,"[[41.68155, 18.545072]]",POINT,أسماء ثانوية
مجلات,"[[41.699102, 18.552411]]",POINT,أسماء ثانوية
الهاله,"[[41.703136, 18.563204]]",POINT,أسماء ثانوية
الأجرع,"[[41.735837, 18.502221]]",POINT,أسماء ثانوية
ثعيب,"[[41.740837, 18.516941]]",POINT,أسماء ثانوية
ذراء,"[[41.745, 18.498058]]",POINT,أسماء ثانوية
البرمة,"[[41.75751, 18.484175]]",POINT,أسماء ثانوية
الخربة,"[[41.745558, 18.464713]]",POINT,أسماء ثانوية
المخصر,"[[41.734164, 18.381951]]",POINT,أسماء ثانوية
الضلعة,"[[41.734443, 18.374441]]",POINT,أسماء ثانوية
الحفرة,"[[41.72749, 18.36693]]",POINT,أسماء ثانوية
المقضى,"[[41.728606, 18.365836]]",POINT,أسماء ثانوية
الفلقة,"[[41.719165, 18.262496]]",POINT,أسماء ثانوية
تل فريك القمع,"[[41.696162, 19.79393]]",POINT,أسماء ثانوية
منتجع درة العين,"[[42.095318, 19.00918]]",POINT,أسماء ثانوية
منتجع شمال مكارم,"[[42.099867, 19.00579]]",POINT,أسماء ثانوية
منتزة الخفجة - الخفيه,"[[42.319465, 18.845587]]",POINT,أسماء ثانوية
منتزة الشكران,"[[41.701999, 19.839377]]",POINT,أسماء ثانوية
منتزة القمع,"[[41.69951, 19.80835]]",POINT,أسماء ثانوية
منتزة المسقي,"[[42.725637, 18.035796]]",POINT,أسماء ثانوية
منتزة دلغان,"[[42.704115, 18.0968]]",POINT,أسماء ثانوية
منتزه الامير سلطان,"[[42.725272, 18.039465]]",POINT,أسماء ثانوية
منتزه الرحية,"[[42.214258, 18.252754]]",POINT,أسماء ثانوية
منتزه الكفاية,"[[41.884518, 19.535322]]",POINT,أسماء ثانوية
منتزه المحفار,"[[42.13171, 18.963218]]",POINT,أسماء ثانوية
منتزه الملك عبدالعزيز,"[[41.920288, 19.52719]]",POINT,أسماء ثانوية
منتزه بارق,"[[41.965671, 18.850887]]",POINT,أسماء ثانوية
منتزه ثم الحبيجه السياحي,"[[41.982944, 19.553905]]",POINT,أسماء ثانوية
منتزه جوعان,"[[43.342481, 17.906663]]",POINT,أسماء ثانوية
منتزه غابات حضوه,"[[42.244599, 18.830588]]",POINT,أسماء ثانوية
منتزه غلصمة,"[[41.943612, 19.561951]]",POINT,أسماء ثانوية
منتزه وحديقة المجارده,"[[41.894431, 19.119151]]",POINT,أسماء ثانوية
منتزهات الشرف,"[[42.149777, 18.950193]]",POINT,أسماء ثانوية
منتزهات شعف ال خريم,"[[42.228141, 18.782458]]",POINT,أسماء ثانوية
منتزهات ياحن,"[[41.920288, 19.543605]]",POINT,أسماء ثانوية
غابات ال معلوي,"[[42.227991, 18.659098]]",POINT,أسماء ثانوية
غابة الجره,"[[42.743897, 18.011677]]",POINT,أسماء ثانوية
