name,lon_lat,coor_type
قرية غالب,"[[41.404617, 18.643284]]",POINT
السعيدة,"[[41.414702, 18.590112]]",POINT
عمق,"[[41.464806, 18.450165]]",POINT
دبساء,"[[41.524372, 18.29258]]",POINT
البرك,"[[41.54068, 18.21825]]",POINT
منغل,"[[41.645136, 18.353691]]",POINT
الشرفات,"[[41.668224, 18.368969]]",POINT
العمقة,"[[41.691356, 18.434436]]",POINT
بني هلال,"[[41.683846, 18.485699]]",POINT
الأجرع,"[[41.678696, 18.507671]]",POINT
الفيض,"[[41.728477, 18.363991]]",POINT
قرية ال خضاري,"[[42.174432, 19.002013]]",POINT
قرية ال مشاري,"[[42.17278, 19.008601]]",POINT
قرية ال ياس,"[[41.99554, 19.15417]]",POINT
قرية العديف,"[[42.12847, 18.899596]]",POINT
القاصله,"[[42.147911, 18.947382]]",POINT
قرية شعيبه,"[[42.178896, 19.016368]]",POINT
سراة عبيدة,"[[43.13904, 18.084784]]",POINT
ابها,"[[42.50355, 18.216791]]",POINT
المجاردة,"[[41.920996, 19.131811]]",POINT
النماص,"[[42.129972, 19.12606]]",POINT
بيشة,"[[42.609787, 20.017948]]",POINT
رجال المع,"[[42.277172, 18.24033]]",POINT
محايل عسير,"[[42.049999, 18.546295]]",POINT
طريب,"[[43.202748, 18.560972]]",POINT
خميس مشيط,"[[42.737138, 18.30745]]",POINT
ظهران الجنوب,"[[43.507705, 17.66932]]",POINT
تثليث,"[[43.521609, 19.540064]]",POINT
تنومه,"[[42.170935, 18.950944]]",POINT
أحد رفيدة,"[[42.845199, 18.213208]]",POINT
الحرجة,"[[43.369324, 17.919323]]",POINT
بلقرن,"[[41.902537, 19.607242]]",POINT
بارق,"[[41.94402, 18.932471]]",POINT
آل الغازي,"[[41.356101, 18.410833]]",POINT
آل ثوبان,"[[41.975284, 18.304725]]",POINT
آل حزمة,"[[41.680563, 19.184725]]",POINT
آل سلمان,"[[41.6764, 19.172215]]",POINT
آل سهيل,"[[42.941565, 18.14023]]",POINT
أثب,"[[42.879596, 18.907578]]",POINT
