name,lon_lat,coor_type
وادي عميق,"[[41.459956, 18.458962]]",POINT
وادي عميق,"[[41.725838, 18.472395]]",POINT
سد وادي حلي,"[[41.573596, 18.770399]]",POINT
وادي شفقه,"[[41.455793, 18.57934]]",POINT
وادي شفقه,"[[41.599925, 18.555393]]",POINT
وادي ذهبان,"[[41.724036, 18.317556]]",POINT
شعب ال غنية,"[[41.973288, 19.190562]]",POINT
شعب الحديد,"[[41.961765, 19.198287]]",POINT
شعب السكون,"[[43.351321, 19.511719]]",POINT
شعب الشقرة,"[[41.931102, 18.331118]]",POINT
شعب الصخيف,"[[41.934171, 19.320445]]",POINT
شعب العويرا,"[[42.258203, 18.874512]]",POINT
شعب الميحود,"[[42.032833, 19.147067]]",POINT
شعب الميل,"[[42.087893, 19.29388]]",POINT
شعب بن فروه,"[[42.100682, 19.266393]]",POINT
شعب جديع,"[[41.873896, 19.546115]]",POINT
شعب حمدان,"[[42.090533, 19.29667]]",POINT
شعب دريب,"[[42.109394, 18.485892]]",POINT
شعب راشد,"[[42.167695, 19.064798]]",POINT
شعب سعدان,"[[41.980627, 19.182537]]",POINT
شعب صالح,"[[42.263052, 18.733621]]",POINT
شعب فاجه,"[[41.887286, 19.536374]]",POINT
شعب ماعز,"[[42.255306, 18.869061]]",POINT
شعب مفلح,"[[42.263246, 18.736238]]",POINT
غدير خاتمه,"[[42.113707, 19.370849]]",POINT
غدير قرمول,"[[42.476685, 19.802985]]",POINT
فيضة الروضة,"[[43.249483, 18.734522]]",POINT
فيضة ليوة,"[[42.762823, 18.588095]]",POINT
فيضة ماء,"[[42.939978, 18.715296]]",POINT
فيضة نعام,"[[43.603106, 19.240751]]",POINT
قاع البشيرة,"[[42.430229, 20.056057]]",POINT
قاع الدويرة,"[[43.489723, 19.89212]]",POINT
,,
,,
بحيرة السد,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
بحيرة بيش,,
سد ال عابس,"[[43.166399, 18.060622]]",POINT
سد الابتر,"[[43.422732, 17.797422]]",POINT
سد الجوف,"[[43.168695, 18.212178]]",POINT
سد الحشاة,"[[43.189123, 18.092744]]",POINT
سد الرشيد,"[[43.231115, 18.259449]]",POINT
سد الشذنه,"[[41.974683, 19.516997]]",POINT
سد الغرابه,"[[42.305539, 18.790033]]",POINT
سد المخايع,"[[42.315023, 18.204131]]",POINT
سد المسوح,"[[43.399022, 17.801135]]",POINT
سد الملك فهد,,
سد الملك فهد,"[[42.487049, 19.696255]]",POINT
سد ام سريطا,"[[43.462794, 17.664406]]",POINT
سد بني بكر,"[[42.143576, 19.104538]]",POINT
سد بني قيس,"[[42.033885, 19.144449]]",POINT
سد تمنية,"[[42.763338, 18.022964]]",POINT
سد تندحه,"[[42.878115, 18.305819]]",POINT
سد ثعابة,"[[42.270069, 18.266058]]",POINT
سد دهمش,"[[41.970027, 19.57504]]",POINT
سد رادة,"[[42.205546, 18.236661]]",POINT
سد عتود,"[[42.716088, 18.259985]]",POINT
سد عراعر,"[[43.462665, 17.656488]]",POINT
سد غضار,"[[41.983523, 19.549527]]",POINT
سد مايه,"[[43.221202, 18.104525]]",POINT
سد نباء,"[[41.896791, 19.7137]]",POINT
سد وادي افياض,"[[43.508713, 17.783818]]",POINT
سد وادي القراره,"[[42.865047, 18.279748]]",POINT
سد وادي الماوين,"[[42.396863, 18.650279]]",POINT
سد وادي بيش,"[[42.656243, 17.665973]]",POINT
سد وادي خضار,"[[42.527475, 18.697228]]",POINT
سد وادي رنما,"[[42.185826, 19.504166]]",POINT
سد وادي صنان,"[[43.208199, 18.101499]]",POINT
سد وادي عتود,"[[42.472029, 17.901106]]",POINT
سد وادي عجام,"[[43.292291, 17.940502]]",POINT
سد وادي مسمى,"[[41.982, 19.52219]]",POINT
سد وسائب,"[[42.242045, 18.357897]]",POINT
شعيب,"[[41.536946, 18.973067]]",POINT
شعيب ابو حرمل,"[[43.744791, 20.528877]]",POINT
شعيب ابو سمير,"[[43.495774, 20.735836]]",POINT
شعيب الخانق,"[[42.252882, 18.861465]]",POINT
شعيب الخناق,"[[42.25831, 18.865199]]",POINT
شعيب الرويجع,"[[44.036057, 19.952953]]",POINT
شعيب الصدره,"[[42.253461, 18.850758]]",POINT
شعيب الضريبة,"[[42.866099, 20.22671]]",POINT
شعيب الضريبة,"[[42.945814, 20.064404]]",POINT
شعيب المستجد,"[[43.402412, 20.874689]]",POINT
شعيب المستجد,"[[43.785517, 20.762229]]",POINT
شعيب ام سليم,"[[43.464704, 20.780361]]",POINT
شعيب جبيان,"[[43.572185, 20.442617]]",POINT
شعيب جربوع,"[[43.774531, 20.792441]]",POINT
شعيب عبس,"[[43.306668, 20.013742]]",POINT
شعيب عثمان,"[[42.26464, 18.847389]]",POINT
شعيب فلاج,"[[43.188071, 20.395646]]",POINT
شعيب مداوي,"[[42.255757, 18.85962]]",POINT
شعيب مريخة,"[[42.78059, 20.12013]]",POINT
وادي ابن ابن,"[[44.131179, 19.657953]]",POINT
وادي ابهره,"[[44.279001, 19.100676]]",POINT
وادي ابو سمير,"[[43.867464, 19.888794]]",POINT
وادي افياض,"[[43.515944, 17.770128]]",POINT
وادي الثفن,"[[43.097606, 19.380655]]",POINT
وادي الثفن,"[[43.38207, 19.586821]]",POINT
وادي الثفن,"[[43.522789, 19.74226]]",POINT
وادي الجمه,"[[43.620915, 18.922534]]",POINT
وادي الحاوي,"[[42.610066, 20.504179]]",POINT
وادي الحرمل,"[[43.768179, 19.709065]]",POINT
وادي الحرمل,"[[43.881648, 19.550257]]",POINT
وادي الحرمل,"[[43.739297, 19.94776]]",POINT
وادي الحله,"[[43.525493, 19.316819]]",POINT
وادي الحنثريه,"[[43.053489, 19.768546]]",POINT
وادي الخليج,"[[42.490096, 20.084252]]",POINT
وادي الخليج,"[[42.682979, 20.261235]]",POINT
وادي الخنق,"[[42.804151, 19.851265]]",POINT
وادي الذهاب,"[[42.476707, 20.472293]]",POINT
وادي الذهاب,"[[42.667358, 20.467122]]",POINT
وادي الراشدة,"[[42.743769, 20.640242]]",POINT
وادي الرميلة,"[[42.955041, 19.900274]]",POINT
وادي الرميله,"[[42.836959, 20.201004]]",POINT
وادي الرهط,"[[43.29154, 18.028049]]",POINT
وادي السماوه,"[[44.166455, 19.580448]]",POINT
وادي الشعثاء,"[[42.033713, 19.147089]]",POINT
وادي الشقيب,"[[43.657415, 20.978565]]",POINT
