name,lon_lat,coor_type
جبل البشام,"[[41.541367, 18.511276]]",POINT
جبل زو الحماط,"[[41.551323, 18.365879]]",POINT
جبل التيس,"[[41.565228, 18.305626]]",POINT
جبل ذهبان,"[[41.571944, 18.12079]]",POINT
جبل رنفان,"[[41.739979, 18.643627]]",POINT
جبل فيصل,"[[41.619945, 18.556659]]",POINT
جبال ذرا,"[[41.694875, 18.497071]]",POINT
جبل خمران,"[[41.713607, 18.53915]]",POINT
هضاب ال شوط,"[[42.987034, 18.282473]]",POINT
هضاب القويمة,"[[43.23575, 20.191004]]",POINT
هضاب النبط,"[[43.049154, 20.153561]]",POINT
هضاب عقرة,"[[43.209443, 20.256321]]",POINT
هضبة الحشاة,"[[43.071384, 18.015003]]",POINT
هضبة ام نطاق,"[[42.790933, 20.396526]]",POINT
هضبة ضبع,"[[43.053424, 20.39865]]",POINT
هضبة لهو,"[[43.727388, 18.942404]]",POINT
الجبل الاخضر,"[[43.528669, 17.65518]]",POINT
الغار الابيض,"[[42.077508, 19.020209]]",POINT
جبال ابو شداد,"[[43.26725, 18.513765]]",POINT
جبال الاشعب,"[[42.74394, 18.203831]]",POINT
جبال الانكيرة,"[[42.564661, 20.53334]]",POINT
جبال البدوة,"[[42.747202, 18.606892]]",POINT
جبال البيداء,"[[41.846237, 20.037797]]",POINT
جبال الجفر,"[[42.768595, 20.481756]]",POINT
جبال الحجبان,"[[43.364818, 17.854822]]",POINT
جبال الحشوش,"[[42.868052, 19.635508]]",POINT
جبال الحفافه,"[[42.299337, 18.292751]]",POINT
جبال الخشرة,"[[43.866498, 19.447045]]",POINT
جبال الروايغ,"[[43.165305, 19.902592]]",POINT
جبال الروس الثلاثة,"[[42.699308, 18.555307]]",POINT
جبال السنوع,"[[41.871836, 19.981835]]",POINT
جبال السوادة,"[[44.441371, 19.27386]]",POINT
جبال السوادة,"[[44.407253, 19.319565]]",POINT
جبال السيدن,"[[42.98167, 20.05861]]",POINT
جبال الصليعاء,"[[42.385125, 19.67411]]",POINT
جبال الصوة,"[[42.884467, 18.261659]]",POINT
جبال الضغابيس,"[[42.788315, 18.585262]]",POINT
جبال الطويله,"[[41.944299, 18.368411]]",POINT
جبال العكام,"[[42.922618, 19.68574]]",POINT
جبال العنق,"[[41.803579, 19.974003]]",POINT
جبال القارة,"[[43.927138, 19.94452]]",POINT
جبال القراين,"[[42.697463, 19.748461]]",POINT
جبال القمة,"[[42.965469, 18.469048]]",POINT
جبال القن,"[[42.362444, 19.464812]]",POINT
جبال القويد,"[[43.994172, 20.034621]]",POINT
جبال الكليبين,"[[44.342215, 19.71194]]",POINT
جبال الكهف,"[[42.880497, 18.572903]]",POINT
جبال المحجورة,"[[43.047438, 18.266315]]",POINT
جبال المروه,"[[43.309371, 19.888043]]",POINT
جبال المغسل,"[[43.431487, 19.934413]]",POINT
جبال المقطاء,"[[44.317045, 19.369969]]",POINT
جبال ام الذبان,"[[43.154297, 18.478575]]",POINT
جبال بن منبه,"[[42.782242, 18.009489]]",POINT
