name,lon_lat,coor_type
عقبة العلب,"[[43.400416, 17.566323]]",POINT
عقبة الملك,"[[41.86909, 19.588494]]",POINT
عقبة الهدار,"[[42.23696, 18.870542]]",POINT
عقبة برمه,"[[42.129586, 18.931911]]",POINT
عقبة تلاع خشرم,"[[42.02749, 19.220839]]",POINT
عقبة رجم,"[[42.348433, 18.442311]]",POINT
عقبة ساقين,"[[42.157159, 18.908458]]",POINT
عقبة عتمه,"[[42.173059, 18.962789]]",POINT
عقبة عرفه,"[[41.810102, 19.559183]]",POINT
عقبة عمرو,"[[41.997664, 19.324372]]",POINT
عقبة نصاب,"[[41.870785, 19.579868]]",POINT
عقبه ام ضمخيه,"[[42.233055, 18.707228]]",POINT
,"[[43.404794, 19.968209], [43.406231, 19.968209], [43.40724, 19.968317], [43.409321, 19.96954], [43.410759, 19.970484], [43.414192, 19.971192], [43.417518, 19.971321], [43.418612, 19.971621], [43.421381, 19.971621], [43.424792, 19.973381], [43.430328, 19.976578], [43.433762, 19.980505], [43.436186, 19.982972], [43.438182, 19.984624], [43.441164, 19.986384], [43.442602, 19.98692], [43.44449, 19.987328], [43.446465, 19.987006], [43.448911, 19.986169], [43.449683, 19.986298], [43.451443, 19.986384], [43.454318, 19.987113], [43.45685, 19.988444], [43.460519, 19.990203], [43.463309, 19.994516], [43.464918, 19.99531], [43.46715, 19.995911], [43.470905, 19.995825], [43.473051, 19.995911], [43.478222, 19.9981], [43.481591, 19.999773], [43.489273, 20.000203]]",LINESTRING
,"[[43.489273, 20.000203], [43.514056, 19.999731], [43.518777, 20.00016], [43.522489, 19.999902], [43.525236, 20.000031], [43.529742, 20.000846], [43.533304, 20.002799], [43.546307, 20.013056], [43.55444, 20.017648], [43.562272, 20.02003], [43.566949, 20.022562], [43.570125, 20.024257], [43.573709, 20.025373], [43.577185, 20.025823]]",LINESTRING
,"[[43.577185, 20.025823], [43.581862, 20.026124], [43.587184, 20.026853], [43.59036, 20.027969], [43.593535, 20.0296], [43.597183, 20.03226], [43.600659, 20.035908], [43.603749, 20.039084], [43.608706, 20.041273], [43.615057, 20.04535], [43.623919, 20.053375], [43.62879, 20.058696], [43.634498, 20.069447], [43.63924, 20.076849], [43.640828, 20.080068], [43.64203, 20.081785]]",LINESTRING
,"[[44.423089, 19.335444], [44.429719, 19.348018], [44.440362, 19.375377], [44.445341, 19.392028], [44.444354, 19.409645], [44.441349, 19.421597]]",LINESTRING
,"[[44.441349, 19.421597], [44.443023, 19.427884], [44.448001, 19.436681]]",LINESTRING
