name,lon_lat,coor_type
عرق ابا الحجباء,"[[43.537831, 20.285418]]",POINT
عرق الاشعل,"[[43.48069, 20.366786]]",POINT
عرق الاوثيثات,"[[43.524871, 19.973681]]",POINT
عرق الحميمة,"[[43.499379, 20.339019]]",POINT
عرق الحنان الشرقي,"[[43.310552, 20.189223]]",POINT
عرق الحنان الغربي,"[[43.227983, 20.164719]]",POINT
عرق الحيد,"[[43.706231, 20.366979]]",POINT
عرق الخاطبية,"[[43.390546, 20.673051]]",POINT
عرق الدمسة,"[[43.900702, 20.369082]]",POINT
عرق الصخره,"[[43.532295, 20.07273]]",POINT
عرق الطلحه,"[[43.61907, 20.177701]]",POINT
عرق الغضي,"[[43.453331, 20.389252]]",POINT
عرق المرموثة,"[[43.73713, 20.277994]]",POINT
عرق النقيب,"[[43.621151, 20.672708]]",POINT
عرق الوحيد,"[[43.807147, 20.366979]]",POINT
عرق جبيان,"[[43.679345, 20.399745]]",POINT
عرق خطاب,"[[43.412905, 20.626101]]",POINT
عرق شوك,"[[43.365419, 20.280719]]",POINT
عروق المراقيب,"[[43.625057, 20.271256]]",POINT
عريق الرمثه,"[[43.374002, 20.21847]]",POINT
عريق الشجرات,"[[43.675761, 20.646594]]",POINT
عريق المجلس,"[[43.18054, 20.163131]]",POINT
