name,lon_lat,coor_type,category
ابا السلام,"[[41.425409, 27.53648]]",POINT,أسماء ثانوية
اباعدي,"[[41.601126, 27.570662]]",POINT,أسماء ثانوية
ابرق الحصان,"[[42.166643, 28.791647]]",POINT,أسماء ثانوية
ابرق الخاصره,"[[42.142889, 27.775025]]",POINT,أسماء ثانوية
ابرق الرماده,"[[40.735631, 27.488544]]",POINT,أسماء ثانوية
ابرق السالمي,"[[40.540581, 27.44668]]",POINT,أسماء ثانوية
ابرق السباع,"[[40.366859, 27.183266]]",POINT,أسماء ثانوية
ابرق الصبط,"[[39.862669, 26.780419]]",POINT,أسماء ثانوية
ابرق العريض,"[[40.902958, 27.624264]]",POINT,أسماء ثانوية
ابرق داغر,"[[40.542812, 27.211139]]",POINT,أسماء ثانوية
ابرق رقيه,"[[40.676064, 27.46567]]",POINT,أسماء ثانوية
ابرق قناء الجنوبي,"[[41.422555, 27.750177]]",POINT,أسماء ثانوية
ابو رمث,"[[41.162252, 28.428326]]",POINT,أسماء ثانوية
ابو قويرة,"[[40.98954, 27.56532]]",POINT,أسماء ثانوية
اثلة الغيثي,"[[43.283837, 27.949669]]",POINT,أسماء ثانوية
اخيضرات العبيسه,"[[40.685828, 27.40782]]",POINT,أسماء ثانوية
اخيضرات العرق,"[[40.612271, 27.329457]]",POINT,أسماء ثانوية
اسمر العبدان,"[[41.71659, 27.533584]]",POINT,أسماء ثانوية
اسمر العشار,"[[41.204867, 25.843771]]",POINT,أسماء ثانوية
اصيفرات مران,"[[41.823406, 26.343498]]",POINT,أسماء ثانوية
اطلع السود,"[[43.441572, 27.673101]]",POINT,أسماء ثانوية
اعيوج عويجان,"[[42.39521, 27.816353]]",POINT,أسماء ثانوية
الأدهم,"[[41.651337, 27.687006]]",POINT,أسماء ثانوية
الابرق,"[[42.584124, 27.623577]]",POINT,أسماء ثانوية
الابهم,"[[41.616941, 27.561929]]",POINT,أسماء ثانوية
الاحيمر,"[[41.840894, 27.383938]]",POINT,أسماء ثانوية
الاخيضرات,"[[40.870836, 27.398722]]",POINT,أسماء ثانوية
الاشيهب,"[[40.072117, 27.697198]]",POINT,أسماء ثانوية
الاشيهبات,"[[42.585111, 26.904509]]",POINT,أسماء ثانوية
الاصابع,"[[42.1481033, 27.7272261]]",POINT,أسماء ثانوية
الاضيق,"[[41.226926, 27.19451]]",POINT,أسماء ثانوية
الاغر,"[[43.11666, 27.671664]]",POINT,أسماء ثانوية
الامغر,"[[41.340351, 28.628826]]",POINT,أسماء ثانوية
الانسر,"[[41.281536, 27.034693]]",POINT,أسماء ثانوية
الباج,"[[42.394738, 27.941]]",POINT,أسماء ثانوية
البار,"[[41.498001, 27.380569]]",POINT,أسماء ثانوية
البثيثه,"[[42.283416, 27.662437]]",POINT,أسماء ثانوية
البحرة,"[[41.883659, 27.273216]]",POINT,أسماء ثانوية
البرق,"[[40.485885, 28.812912]]",POINT,أسماء ثانوية
البعيثة,"[[42.357895, 27.965484]]",POINT,أسماء ثانوية
البغثه,"[[41.749999, 27.833304]]",POINT,أسماء ثانوية
البويب,"[[40.330875, 25.815918]]",POINT,أسماء ثانوية
البويب,"[[42.330322, 27.784596]]",POINT,أسماء ثانوية
البويب,"[[42.339077, 27.846479]]",POINT,أسماء ثانوية
البيت الاثري,"[[41.571193, 27.596519]]",POINT,أسماء ثانوية
التريباني,"[[41.879368, 27.324436]]",POINT,أسماء ثانوية
التلعي,"[[41.437769, 27.545214]]",POINT,أسماء ثانوية
الثجيله,"[[41.414959, 27.564826]]",POINT,أسماء ثانوية
الثلبوت,"[[41.804867, 26.489367]]",POINT,أسماء ثانوية
الثمامي,"[[42.413814, 27.864161]]",POINT,أسماء ثانوية
الثميد,"[[42.570155, 27.819228]]",POINT,أسماء ثانوية
الجاضع,"[[41.299109, 27.290919]]",POINT,أسماء ثانوية
الجب,"[[41.256688, 27.222898]]",POINT,أسماء ثانوية
الجبيل,"[[43.333318, 28.38305]]",POINT,أسماء ثانوية
الجثوم,"[[41.083331, 27.349885]]",POINT,أسماء ثانوية
الجذيبة الحما,"[[40.817814, 26.227283]]",POINT,أسماء ثانوية
الجرباء,"[[42.333562, 27.875533]]",POINT,أسماء ثانوية
الجرباء الفوقي,"[[42.317598, 27.870083]]",POINT,أسماء ثانوية
الجش,"[[41.458776, 27.4826]]",POINT,أسماء ثانوية
الجعيفنيه,"[[41.666679, 27.749941]]",POINT,أسماء ثانوية
الجفرة,"[[39.973798, 27.085032]]",POINT,أسماء ثانوية
الجلف,"[[41.812828, 27.920058]]",POINT,أسماء ثانوية
الجمدة,"[[42.75497, 26.964118]]",POINT,أسماء ثانوية
الجنفاء,"[[41.43116, 27.335551]]",POINT,أسماء ثانوية
الجنيفاء,"[[40.567338, 26.858397]]",POINT,أسماء ثانوية
الجوشية,"[[41.437769, 28.700001]]",POINT,أسماء ثانوية
الحاجز,"[[41.910288, 26.026933]]",POINT,أسماء ثانوية
الحجران,"[[40.443656, 26.879232]]",POINT,أسماء ثانوية
الحزير,"[[42.127612, 27.15138]]",POINT,أسماء ثانوية
الحلاة ام دويرة,"[[42.352016, 27.009823]]",POINT,أسماء ثانوية
الحمة البيضاء,"[[40.61388, 26.671028]]",POINT,أسماء ثانوية
الحمة السوداء,"[[40.640488, 26.685276]]",POINT,أسماء ثانوية
الحمير,"[[43.833432, 28.366313]]",POINT,أسماء ثانوية
الحنو,"[[40.373898, 27.004995]]",POINT,أسماء ثانوية
الحومة,"[[42.69388, 28.388586]]",POINT,أسماء ثانوية
الحوية,"[[41.460385, 28.138604]]",POINT,أسماء ثانوية
الحويض,"[[42.839792, 27.229571]]",POINT,أسماء ثانوية
الخاصرة,"[[42.105339, 27.800345]]",POINT,أسماء ثانوية
الخرانق,"[[42.50001, 28.000009]]",POINT,أسماء ثانوية
الخرم,"[[39.718966, 27.013643]]",POINT,أسماء ثانوية
الخصيين,"[[42.278245, 27.647181]]",POINT,أسماء ثانوية
الخضاب,"[[42.387507, 27.811117]]",POINT,أسماء ثانوية
الخطة الشرقية,"[[41.913915, 28.033891]]",POINT,أسماء ثانوية
الخنيصرات,"[[40.377481, 26.585348]]",POINT,أسماء ثانوية
الخنيقه,"[[41.307542, 27.191591]]",POINT,أسماء ثانوية
الدارة,"[[40.580556, 26.862409]]",POINT,أسماء ثانوية
الدهمشية,"[[42.043068, 26.912642]]",POINT,أسماء ثانوية
الرديعي,"[[40.03036, 26.205783]]",POINT,أسماء ثانوية
الرديهه,"[[40.987072, 27.098787]]",POINT,أسماء ثانوية
الرصف,"[[41.587436, 27.443655]]",POINT,أسماء ثانوية
الرفاعي,"[[41.627197, 27.566757]]",POINT,أسماء ثانوية
الرفيعة,"[[41.921382, 26.029165]]",POINT,أسماء ثانوية
الرمادة,"[[40.738249, 27.549226]]",POINT,أسماء ثانوية
الرميمينات,"[[40.336089, 26.872559]]",POINT,أسماء ثانوية
الروحا,"[[41.617992, 27.585897]]",POINT,أسماء ثانوية
الزحيف,"[[41.454227, 26.659377]]",POINT,أسماء ثانوية
السادة,"[[41.889989, 28.117468]]",POINT,أسماء ثانوية
السالمي,"[[40.071387, 27.467773]]",POINT,أسماء ثانوية
السايبية,"[[41.856945, 28.128884]]",POINT,أسماء ثانوية
السروريات,"[[41.630459, 27.563195]]",POINT,أسماء ثانوية
السري,"[[41.6078, 27.521224]]",POINT,أسماء ثانوية
السطامي,"[[41.608143, 27.662094]]",POINT,أسماء ثانوية
السقيا,"[[42.083323, 26.447504]]",POINT,أسماء ثانوية
السلف,"[[41.540895, 27.414086]]",POINT,أسماء ثانوية
السليل,"[[41.522312, 27.583623]]",POINT,أسماء ثانوية
السليل,"[[42.12038, 27.101233]]",POINT,أسماء ثانوية
الشامية,"[[43.722324, 28.164632]]",POINT,أسماء ثانوية
الشدقميات,"[[41.29765, 27.106576]]",POINT,أسماء ثانوية
الشزالي,"[[41.416247, 27.52234]]",POINT,أسماء ثانوية
الشعبين,"[[41.430452, 27.617505]]",POINT,أسماء ثانوية
الشعشاعي,"[[42.093, 27.024329]]",POINT,أسماء ثانوية
الشقيق,"[[42.277172, 27.127497]]",POINT,أسماء ثانوية
الشلاقية,"[[42.14083, 28.306661]]",POINT,أسماء ثانوية
الشلاله,"[[41.492229, 26.717119]]",POINT,أسماء ثانوية
الشمروخ,"[[40.489726, 25.978332]]",POINT,أسماء ثانوية
الشهباء,"[[42.941437, 28.363695]]",POINT,أسماء ثانوية
الصبخا,"[[41.311748, 27.480283]]",POINT,أسماء ثانوية
الصبيحي,"[[41.627326, 27.587421]]",POINT,أسماء ثانوية
الصداة,"[[42.56434, 27.914801]]",POINT,أسماء ثانوية
الصر,"[[41.467745, 27.368124]]",POINT,أسماء ثانوية
الصعبي,"[[42.264748, 27.126682]]",POINT,أسماء ثانوية
الصهوه,"[[42.21576, 27.135158]]",POINT,أسماء ثانوية
الصويه,"[[41.63769, 27.571199]]",POINT,أسماء ثانوية
الضلوع القبليات,"[[41.162832, 27.661901]]",POINT,أسماء ثانوية
الضميخات,"[[41.050029, 27.33392]]",POINT,أسماء ثانوية
الطينيات,"[[42.358346, 27.66645]]",POINT,أسماء ثانوية
الظفيرية,"[[42.20458, 27.598665]]",POINT,أسماء ثانوية
العاجزه,"[[41.476521, 27.605166]]",POINT,أسماء ثانوية
العباسيه,"[[39.94807, 27.218306]]",POINT,أسماء ثانوية
العبدا,"[[42.086949, 27.027676]]",POINT,أسماء ثانوية
العبسية,"[[40.711663, 27.418056]]",POINT,أسماء ثانوية
العبله,"[[42.114909, 26.250029]]",POINT,أسماء ثانوية
