name,lon_lat,coor_type
ابا السلام,"[[41.425409, 27.53648]]",POINT
اباعدي,"[[41.601126, 27.570662]]",POINT
ابرق الحصان,"[[42.166643, 28.791647]]",POINT
ابرق الخاصره,"[[42.142889, 27.775025]]",POINT
ابرق الرماده,"[[40.735631, 27.488544]]",POINT
ابرق السالمي,"[[40.540581, 27.44668]]",POINT
ابرق السباع,"[[40.366859, 27.183266]]",POINT
ابرق الصبط,"[[39.862669, 26.780419]]",POINT
ابرق العريض,"[[40.902958, 27.624264]]",POINT
ابرق داغر,"[[40.542812, 27.211139]]",POINT
ابرق رقيه,"[[40.676064, 27.46567]]",POINT
ابرق قناء الجنوبي,"[[41.422555, 27.750177]]",POINT
ابو رمث,"[[41.162252, 28.428326]]",POINT
ابو قويرة,"[[40.98954, 27.56532]]",POINT
اثلة الغيثي,"[[43.283837, 27.949669]]",POINT
اخيضرات العبيسه,"[[40.685828, 27.40782]]",POINT
اخيضرات العرق,"[[40.612271, 27.329457]]",POINT
اسمر العبدان,"[[41.71659, 27.533584]]",POINT
اسمر العشار,"[[41.204867, 25.843771]]",POINT
اصيفرات مران,"[[41.823406, 26.343498]]",POINT
اطلع السود,"[[43.441572, 27.673101]]",POINT
اعيوج عويجان,"[[42.39521, 27.816353]]",POINT
الأدهم,"[[41.651337, 27.687006]]",POINT
الابرق,"[[42.584124, 27.623577]]",POINT
الابهم,"[[41.616941, 27.561929]]",POINT
الاحيمر,"[[41.840894, 27.383938]]",POINT
الاخيضرات,"[[40.870836, 27.398722]]",POINT
الاشيهب,"[[40.072117, 27.697198]]",POINT
الاشيهبات,"[[42.585111, 26.904509]]",POINT
الاصابع,"[[42.1481033, 27.7272261]]",POINT
الاضيق,"[[41.226926, 27.19451]]",POINT
الاغر,"[[43.11666, 27.671664]]",POINT
الامغر,"[[41.340351, 28.628826]]",POINT
الانسر,"[[41.281536, 27.034693]]",POINT
الباج,"[[42.394738, 27.941]]",POINT
البار,"[[41.498001, 27.380569]]",POINT
البثيثه,"[[42.283416, 27.662437]]",POINT
البحرة,"[[41.883659, 27.273216]]",POINT
البرق,"[[40.485885, 28.812912]]",POINT
البعيثة,"[[42.357895, 27.965484]]",POINT
البغثه,"[[41.749999, 27.833304]]",POINT
البويب,"[[40.330875, 25.815918]]",POINT
البويب,"[[42.330322, 27.784596]]",POINT
البويب,"[[42.339077, 27.846479]]",POINT
البيت الاثري,"[[41.571193, 27.596519]]",POINT
التريباني,"[[41.879368, 27.324436]]",POINT
التلعي,"[[41.437769, 27.545214]]",POINT
الثجيله,"[[41.414959, 27.564826]]",POINT
الثلبوت,"[[41.804867, 26.489367]]",POINT
الثمامي,"[[42.413814, 27.864161]]",POINT
الثميد,"[[42.570155, 27.819228]]",POINT
الجاضع,"[[41.299109, 27.290919]]",POINT
الجب,"[[41.256688, 27.222898]]",POINT
الجبيل,"[[43.333318, 28.38305]]",POINT
الجثوم,"[[41.083331, 27.349885]]",POINT
الجذيبة الحما,"[[40.817814, 26.227283]]",POINT
الجرباء,"[[42.333562, 27.875533]]",POINT
الجرباء الفوقي,"[[42.317598, 27.870083]]",POINT
الجش,"[[41.458776, 27.4826]]",POINT
الجعيفنيه,"[[41.666679, 27.749941]]",POINT
الجفرة,"[[39.973798, 27.085032]]",POINT
الجلف,"[[41.812828, 27.920058]]",POINT
الجمدة,"[[42.75497, 26.964118]]",POINT
الجنفاء,"[[41.43116, 27.335551]]",POINT
الجنيفاء,"[[40.567338, 26.858397]]",POINT
الجوشية,"[[41.437769, 28.700001]]",POINT
الحاجز,"[[41.910288, 26.026933]]",POINT
الحجران,"[[40.443656, 26.879232]]",POINT
الحزير,"[[42.127612, 27.15138]]",POINT
الحلاة ام دويرة,"[[42.352016, 27.009823]]",POINT
الحمة البيضاء,"[[40.61388, 26.671028]]",POINT
الحمة السوداء,"[[40.640488, 26.685276]]",POINT
الحمير,"[[43.833432, 28.366313]]",POINT
الحنو,"[[40.373898, 27.004995]]",POINT
الحومة,"[[42.69388, 28.388586]]",POINT
الحوية,"[[41.460385, 28.138604]]",POINT
الحويض,"[[42.839792, 27.229571]]",POINT
الخاصرة,"[[42.105339, 27.800345]]",POINT
الخرانق,"[[42.50001, 28.000009]]",POINT
الخرم,"[[39.718966, 27.013643]]",POINT
الخصيين,"[[42.278245, 27.647181]]",POINT
الخضاب,"[[42.387507, 27.811117]]",POINT
الخطة الشرقية,"[[41.913915, 28.033891]]",POINT
الخنيصرات,"[[40.377481, 26.585348]]",POINT
الخنيقه,"[[41.307542, 27.191591]]",POINT
الدارة,"[[40.580556, 26.862409]]",POINT
الدهمشية,"[[42.043068, 26.912642]]",POINT
الرديعي,"[[40.03036, 26.205783]]",POINT
الرديهه,"[[40.987072, 27.098787]]",POINT
الرصف,"[[41.587436, 27.443655]]",POINT
الرفاعي,"[[41.627197, 27.566757]]",POINT
الرفيعة,"[[41.921382, 26.029165]]",POINT
الرمادة,"[[40.738249, 27.549226]]",POINT
الرميمينات,"[[40.336089, 26.872559]]",POINT
الروحا,"[[41.617992, 27.585897]]",POINT
الزحيف,"[[41.454227, 26.659377]]",POINT
السادة,"[[41.889989, 28.117468]]",POINT
السالمي,"[[40.071387, 27.467773]]",POINT
السايبية,"[[41.856945, 28.128884]]",POINT
السروريات,"[[41.630459, 27.563195]]",POINT
السري,"[[41.6078, 27.521224]]",POINT
