name,lon_lat,coor_type
أبا الصبان,"[[40.488718, 25.769227]]",POINT
أبو مزحامة,"[[41.404295, 26.803443]]",POINT
أبو وشيع,"[[40.593023, 26.040881]]",POINT
أفيعية,"[[40.841761, 26.428578]]",POINT
أم القلبان,"[[41.429272, 27.809572]]",POINT
ابا الحيران,"[[40.950551, 27.051151]]",POINT
ابلة,"[[40.384884, 25.696635]]",POINT
ابن دهيثم,"[[43.270082, 27.316689]]",POINT
ابن رشدان,"[[40.282381, 26.913221]]",POINT
ابو حميدة,"[[40.538843, 25.726805]]",POINT
ابو دويحات,"[[40.347011, 26.036739]]",POINT
ابو رضام,"[[40.502172, 26.456344]]",POINT
ابو رضام,"[[40.959692, 26.441667]]",POINT
ابو رغلات,"[[40.443485, 26.07899]]",POINT
ابو سهيلات,"[[40.505218, 26.019487]]",POINT
ابو سويسات,"[[40.557575, 26.07414]]",POINT
ابو مرجي,"[[43.330379, 28.183858]]",POINT
ارينبة,"[[41.522806, 27.275598]]",POINT
ارينبه الحمراء,"[[41.85379, 26.718063]]",POINT
اشيقر,"[[42.021761, 28.825207]]",POINT
اعمير,"[[40.8179, 26.326118]]",POINT
افيعية,"[[40.489962, 26.266487]]",POINT
الأثلة,"[[41.540852, 27.480412]]",POINT
الأجفر,"[[42.99669, 27.474382]]",POINT
الابيتر,"[[40.263133, 27.122304]]",POINT
الارطاوي,"[[41.165321, 26.981049]]",POINT
الاشقر,"[[40.460844, 26.045172]]",POINT
الاشقر,"[[40.508609, 26.296678]]",POINT
الافيق,"[[40.725911, 25.90589]]",POINT
الباحة,"[[40.509982, 26.073132]]",POINT
الباحة,"[[40.539207, 26.05942]]",POINT
البتيراء,"[[42.904723, 28.073394]]",POINT
البحرة,"[[40.473053, 26.261809]]",POINT
البدائع,"[[41.46105, 25.887351]]",POINT
البدائع,"[[42.981348, 27.447732]]",POINT
البدع,"[[43.249977, 28.278358]]",POINT
البرث,"[[40.205541, 26.225417]]",POINT
البردان,"[[40.388553, 26.748619]]",POINT
البرديه,"[[41.408222, 26.784046]]",POINT
البرقة,"[[40.275514, 26.155872]]",POINT
البرقية,"[[40.657268, 26.817369]]",POINT
البركة,"[[41.097, 26.460979]]",POINT
البصر,"[[40.351474, 25.87203]]",POINT
البطين,"[[42.168403, 27.223113]]",POINT
البعايث,"[[41.803193, 26.018951]]",POINT
البلازية,"[[41.83465, 26.450658]]",POINT
البنانة,"[[41.137791, 26.728792]]",POINT
البويب,"[[40.39705, 26.265585]]",POINT
البويطن,"[[40.029674, 26.829107]]",POINT
البياضة,"[[41.159871, 26.700232]]",POINT
البياضي,"[[42.202284, 27.105782]]",POINT
البير,"[[42.175098, 26.920817]]",POINT
التريبية,"[[41.581299, 27.825129]]",POINT
التنموي,"[[41.3184, 26.823678]]",POINT
الثعيلبي,"[[42.567558, 26.882858]]",POINT
الثمامية,"[[41.212335, 25.978267]]",POINT
الجابرية,"[[42.168038, 26.271508]]",POINT
الجب,"[[42.283287, 27.181892]]",POINT
الجبرية,"[[42.241895, 27.968316]]",POINT
الجثامية,"[[41.726911, 27.677608]]",POINT
الجثياثه,"[[42.629764, 27.716467]]",POINT
الجحرية,"[[40.520475, 27.704794]]",POINT
الجحفة,"[[42.23372, 27.06527]]",POINT
الجديدة,"[[41.199009, 27.224851]]",POINT
الجرعاء,"[[42.251079, 27.270083]]",POINT
الجرفية,"[[42.102849, 27.849376]]",POINT
الجريه,"[[42.176192, 27.112799]]",POINT
الجعراء,"[[42.369161, 26.612492]]",POINT
الجفارة,"[[41.326447, 27.267101]]",POINT
الجفاليه,"[[42.185054, 26.603458]]",POINT
الجفر,"[[41.623807, 28.181906]]",POINT
الجفر,"[[41.412964, 26.990705]]",POINT
الجفرة,"[[40.896864, 26.504066]]",POINT
الحائط,"[[40.47168, 25.987365]]",POINT
الحامرية,"[[41.733091, 26.947317]]",POINT
الحطي,"[[41.088374, 27.516096]]",POINT
الحظاير,"[[41.917284, 26.178854]]",POINT
الحفائر,"[[40.315661, 26.894145]]",POINT
الحفنة,"[[40.45563, 25.747297]]",POINT
الحفير,"[[41.289024, 27.656343]]",POINT
الحفيرة,"[[40.979862, 26.277559]]",POINT
الحفيره,"[[40.302443, 26.870778]]",POINT
الحلوة,"[[41.903915, 26.1392]]",POINT
الحليفة السفلى,"[[40.811291, 25.989017]]",POINT
الحليفة العليا,"[[40.73724, 25.936103]]",POINT
الحليله,"[[42.065148, 27.855813]]",POINT
الحماد,"[[40.911884, 26.14229]]",POINT
الحميرا,"[[41.44073, 27.28328]]",POINT
الحنو,"[[42.536895, 28.03359]]",POINT
الحوارة,"[[41.045008, 25.658891]]",POINT
الحوراء,"[[41.997771, 26.88097]]",POINT
الحويط,"[[40.398102, 25.615225]]",POINT
الحيانية,"[[42.312469, 28.705022]]",POINT
الخبة,"[[40.922656, 27.42799]]",POINT
الخضر,"[[40.986879, 27.136874]]",POINT
الخطة,"[[41.732276, 27.990031]]",POINT
الخفج,"[[40.445523, 26.265929]]",POINT
الخفيق,"[[40.478954, 25.704703]]",POINT
الخوة,"[[42.334378, 26.46806]]",POINT
الخوي,"[[42.216575, 27.228456]]",POINT
الخوير,"[[43.174853, 27.612634]]",POINT
الخيط,"[[42.004166, 27.133141]]",POINT
الدابية,"[[40.599053, 25.790062]]",POINT
الدارة,"[[41.472423, 27.000167]]",POINT
الدحوه,"[[40.237598, 26.500075]]",POINT
الدفينة,"[[40.820646, 26.346416]]",POINT
الدوادمي,"[[40.754063, 25.991743]]",POINT
الديماسة,"[[42.21179, 26.423578]]",POINT
الذكري,"[[41.125517, 26.142569]]",POINT
الراحة,"[[42.231896, 27.199895]]",POINT
الرايفه,"[[41.38479, 26.76409]]",POINT
الرخيصية,"[[42.600603, 27.930079]]",POINT
الردهة,"[[41.283059, 25.757489]]",POINT
الرديفة,"[[41.292779, 28.375282]]",POINT
الرشاوية,"[[42.470849, 27.434878]]",POINT
الرضفين,"[[41.239371, 27.265427]]",POINT
الرفايع,"[[41.968009, 26.344249]]",POINT
الرفيعة,"[[40.355058, 26.832476]]",POINT
الركية,"[[40.9654, 26.96341]]",POINT
الرمثية,"[[42.400768, 26.699524]]",POINT
الرواق,"[[42.25256, 27.277336]]",POINT
الروض,"[[40.637977, 26.14744]]",POINT
الروض,"[[40.925682, 27.16228]]",POINT
الروض,"[[41.132534, 28.028483]]",POINT
الروضة,"[[41.683395, 26.800461]]",POINT
الرويع,"[[41.182594, 27.228434]]",POINT
الزبيرة,"[[43.677263, 28.004665]]",POINT
الزغيبية,"[[41.631832, 25.995712]]",POINT
الساقية,"[[42.46999, 27.153246]]",POINT
الساهبة,"[[40.329695, 25.661337]]",POINT
السبعان,"[[41.978738, 27.036002]]",POINT
السبيل,"[[40.995698, 26.228163]]",POINT
السريحه,"[[41.447468, 27.52749]]",POINT
السعدة,"[[40.421255, 27.673316]]",POINT
السعدية,"[[41.75751, 26.597493]]",POINT
السعيرة,"[[43.173437, 27.269418]]",POINT
السفن,"[[41.535981, 27.725329]]",POINT
السليل,"[[42.257538, 27.303987]]",POINT
السليمي,"[[41.367688, 26.29185]]",POINT
السويفلة,"[[41.75457, 27.57431]]",POINT
الشارف,"[[41.265893, 27.278731]]",POINT
الشبيكة,"[[41.468818, 27.032247]]",POINT
الشرثة,"[[42.456021, 26.681306]]",POINT
الشريجات,"[[41.464076, 27.411575]]",POINT
الشريهية,"[[42.722611, 27.869911]]",POINT
الشطيب,"[[40.389175, 25.617478]]",POINT
الشعفة,"[[41.765385, 27.93716]]",POINT
الشعلانية,"[[42.564983, 27.726231]]",POINT
الشفاء,"[[42.11802, 26.809967]]",POINT
الشق,"[[40.565257, 26.052768]]",POINT
الشق القديمة,"[[40.534058, 26.04161]]",POINT
الشقة,"[[40.240409, 26.926997]]",POINT
الشقة,"[[40.56294, 26.49735]]",POINT
الشقران,"[[40.582466, 25.678396]]",POINT
الشقران,"[[40.853112, 26.060879]]",POINT
الشقيق,"[[40.902722, 27.167001]]",POINT
الشقيق,"[[41.95668, 27.720137]]",POINT
الشملي,"[[40.319653, 26.838076]]",POINT
الشنان,"[[42.438705, 27.172151]]",POINT
الشهبان,"[[40.782323, 25.944536]]",POINT
الشويمس,"[[40.240409, 26.149929]]",POINT
الشويمس الجديد,"[[40.217536, 26.151817]]",POINT
الشيحيه,"[[42.676971, 27.885489]]",POINT
الصبيحيه,"[[41.450408, 27.737946]]",POINT
الصخيره الجذبيه,"[[40.412607, 26.082959]]",POINT
الصعاقرة,"[[41.48813, 25.830982]]",POINT
الصعيليكه,"[[41.932626, 27.703271]]",POINT
الصغوى,"[[42.695274, 26.777565]]",POINT
الصفراء,"[[42.133899, 26.208057]]",POINT
الصفراء,"[[42.162781, 26.83857]]",POINT
الصلبية,"[[42.077293, 26.794624]]",POINT
الصلعاء,"[[41.249993, 25.75]]",POINT
الصليعاء,"[[41.465106, 27.508821]]",POINT
الصنينا,"[[41.057453, 27.33083]]",POINT
الصهوة,"[[41.136353, 27.13593]]",POINT
الصور,"[[40.593796, 26.158125]]",POINT
الصيهد,"[[41.43204, 27.296348]]",POINT
الضبيه,"[[42.64751, 27.791741]]",POINT
الضربة,"[[41.753647, 26.851122]]",POINT
الضرس,"[[40.370743, 25.667045]]",POINT
الضروة,"[[40.099153, 26.190054]]",POINT
الضغن,"[[39.749994, 26.749992]]",POINT
الطرفاة,"[[42.315688, 27.89448]]",POINT
الطرفاوي,"[[41.284046, 25.706291]]",POINT
الطوال,"[[41.652861, 27.978272]]",POINT
العاند,"[[40.424859, 26.409545]]",POINT
العبارثه,"[[40.955422, 27.11473]]",POINT
العجاجة,"[[41.355779, 25.947905]]",POINT
العدوة,"[[42.271829, 27.29888]]",POINT
العرادية,"[[40.612035, 25.948462]]",POINT
العرفجية,"[[42.323306, 28.035908]]",POINT
العش,"[[41.764612, 27.085204]]",POINT
العطيفيه,"[[40.387137, 26.427784]]",POINT
العظيم,"[[42.46557, 26.58951]]",POINT
العقلة,"[[40.298367, 25.527935]]",POINT
العقلة,"[[41.276815, 27.1031]]",POINT
العقيربه,"[[41.496649, 27.426381]]",POINT
العقيلة,"[[40.393574, 25.679641]]",POINT
العلياء,"[[42.240028, 27.263861]]",POINT
العليم,"[[40.446403, 28.760297]]",POINT
العمائر,"[[40.568197, 26.154606]]",POINT
العوامرة,"[[40.232813, 26.262496]]",POINT
العوشزي,"[[40.481701, 25.6549]]",POINT
العوشزية,"[[41.766071, 26.763382]]",POINT
العويد,"[[40.227406, 27.667522]]",POINT
العيثمه,"[[41.30398, 25.540488]]",POINT
الغار,"[[41.573274, 27.166851]]",POINT
الغريسة,"[[40.505283, 26.104717]]",POINT
الغريض,"[[41.251645, 25.800104]]",POINT
الغزالة,"[[41.316533, 26.789539]]",POINT
الغفيليه,"[[41.11393, 27.435243]]",POINT
الغمياء,"[[40.828822, 27.332118]]",POINT
الغميرة,"[[41.959255, 26.328156]]",POINT
الغميسة,"[[42.686477, 27.900681]]",POINT
الفرحانية,"[[40.947182, 27.296991]]",POINT
الفرشة,"[[41.528127, 26.743877]]",POINT
الفريهيدية,"[[42.243762, 28.716567]]",POINT
الفعاسيه,"[[42.316933, 27.895188]]",POINT
الفقي,"[[40.484619, 26.452718]]",POINT
الفويلق,"[[42.607448, 27.625487]]",POINT
القاعد,"[[41.725216, 27.846694]]",POINT
القاعية,"[[41.184826, 26.543741]]",POINT
القرفاء,"[[42.301526, 27.255557]]",POINT
القرن,"[[40.63714, 25.917199]]",POINT
القري,"[[41.501327, 27.337697]]",POINT
القرينين,"[[41.424444, 27.283859]]",POINT
القسمة,"[[40.745223, 25.98125]]",POINT
القصة,"[[41.054492, 26.955557]]",POINT
القصعاء,"[[42.55537, 27.660699]]",POINT
القصير,"[[43.326602, 27.424021]]",POINT
القصيصة,"[[41.032541, 26.967552]]",POINT
القفيفة,"[[40.950208, 27.234056]]",POINT
القليب,"[[41.606212, 27.846651]]",POINT
القليبة,"[[42.320023, 27.944348]]",POINT
القليبة,"[[42.382121, 28.121052]]",POINT
القليبين,"[[41.476328, 27.428935]]",POINT
الكداديات,"[[43.335893, 27.278903]]",POINT
الكرشافة الجنوبية,"[[40.430975, 26.129436]]",POINT
الكرشافة الشمالية,"[[40.387952, 26.145337]]",POINT
الكهفة,"[[43.023319, 27.077351]]",POINT
الكهيفية,"[[42.983708, 27.203779]]",POINT
الكويتية,"[[40.355444, 25.463519]]",POINT
اللبيدي,"[[40.442305, 26.673088]]",POINT
اللجاوي,"[[40.356581, 27.676234]]",POINT
اللغيفة,"[[41.623034, 27.85429]]",POINT
اللقيطة,"[[41.679468, 27.656493]]",POINT
اللويبدة,"[[42.715144, 27.554526]]",POINT
اللويش,"[[42.456236, 27.324393]]",POINT
اللويمي,"[[42.369976, 27.898064]]",POINT
المالحه,"[[40.998681, 27.093101]]",POINT
الماويه,"[[42.209451, 27.104473]]",POINT
المبدع,"[[41.319838, 27.204895]]",POINT
المبرز,"[[40.864356, 26.003072]]",POINT
المبرز,"[[41.435924, 27.056386]]",POINT
المبعوثة,"[[41.470299, 27.061729]]",POINT
المبيدع,"[[41.345136, 27.057717]]",POINT
المبيدع,"[[41.317348, 27.18996]]",POINT
المثواة,"[[40.54631, 26.165957]]",POINT
المجصة,"[[40.35877, 25.947046]]",POINT
المجيصة,"[[40.349414, 25.947282]]",POINT
المحاش,"[[41.021941, 27.089818]]",POINT
المحفر,"[[40.653019, 27.714729]]",POINT
المحفر,"[[40.453076, 25.801392]]",POINT
المحنا,"[[40.516162, 26.114974]]",POINT
المحوى,"[[41.797142, 25.861816]]",POINT
المختلف,"[[41.209073, 27.18657]]",POINT
المرجاع,"[[40.673275, 26.121218]]",POINT
المرموثة,"[[40.407093, 25.705175]]",POINT
المرمى,"[[41.06241, 27.123871]]",POINT
المرير,"[[40.334115, 25.513601]]",POINT
المرير,"[[41.513042, 27.317848]]",POINT
المستجدة,"[[41.536603, 26.68062]]",POINT
المسجد,"[[41.111569, 26.959784]]",POINT
المسلسل,"[[40.386472, 27.602205]]",POINT
المشيطية,"[[41.479805, 27.767644]]",POINT
المصر,"[[41.023078, 25.617714]]",POINT
المصع,"[[40.521011, 26.54711]]",POINT
المضيح,"[[42.12111, 26.888008]]",POINT
المطاوي,"[[41.6764, 26.090534]]",POINT
المطرفية,"[[42.020452, 26.897578]]",POINT
المعاذب,"[[41.074984, 26.23857]]",POINT
المعبا,"[[42.059913, 28.000824]]",POINT
المعترضة,"[[41.479332, 26.865392]]",POINT
المعرش,"[[40.971129, 25.993395]]",POINT
المعيقلات,"[[41.376271, 27.287679]]",POINT
المغازل,"[[42.180226, 26.882365]]",POINT
المغددية,"[[40.333664, 25.77369]]",POINT
المقاريب,"[[40.431468, 26.704395]]",POINT
المقنع,"[[42.094739, 28.095689]]",POINT
المكحول,"[[42.602556, 26.625066]]",POINT
المكظم,"[[40.610254, 25.692065]]",POINT
المكظم,"[[41.412148, 27.268732]]",POINT
المكظم,"[[41.508322, 27.035744]]",POINT
الملاح,"[[41.5451, 27.22631]]",POINT
الملوي,"[[40.381172, 25.338099]]",POINT
المليح,"[[40.886736, 27.195411]]",POINT
المناخ,"[[40.324008, 26.039486]]",POINT
المندسة الشرقية,"[[42.005496, 27.979238]]",POINT
المندسة الغربية,"[[41.921425, 27.982521]]",POINT
المنصورية,"[[42.527111, 27.312076]]",POINT
المهينية,"[[43.061986, 27.700074]]",POINT
المويكر,"[[41.564691, 26.992207]]",POINT
النادر,"[[41.47665, 25.851946]]",POINT
الناصرية,"[[42.548654, 27.685246]]",POINT
