name,lon_lat,coor_type
برق البدع,"[[40.588839, 27.560856]]",POINT
برق العبيسه,"[[40.741017, 27.433419]]",POINT
برق اويسط,"[[41.313851, 26.250587]]",POINT
برقاء النسيق,"[[40.101213, 27.193952]]",POINT
برقاء سليم,"[[43.709943, 28.171971]]",POINT
برقاء ضرعاء,"[[41.630781, 27.701554]]",POINT
خب ابا العهيل,"[[41.388395, 27.82676]]",POINT
خب ابو اثلة,"[[41.718628, 28.585761]]",POINT
خب ابو ارطى,"[[41.843362, 28.642967]]",POINT
خب ابو حاذ,"[[41.974146, 28.579624]]",POINT
خب ابو خصام,"[[41.27733, 28.583593]]",POINT
خب ابو خصام,"[[41.954041, 28.456714]]",POINT
خب ابو دبي,"[[41.726332, 28.437316]]",POINT
خب ابو دعم,"[[41.68833, 28.570096]]",POINT
خب ابو رجوم,"[[41.978288, 28.628504]]",POINT
خب ابو رحلة,"[[41.730537, 28.545699]]",POINT
خب ابو رمث,"[[42.057424, 28.45032]]",POINT
خب ابو سنيف,"[[41.941917, 28.221409]]",POINT
خب ابو شعاف,"[[42.183123, 28.452981]]",POINT
خب ابو شيده,"[[41.469054, 27.982886]]",POINT
خب ابو طلحة,"[[41.41526, 27.848732]]",POINT
خب ابو عدام,"[[41.955671, 28.656614]]",POINT
خب ابو عمارات,"[[41.920674, 28.616402]]",POINT
خب ابو كوانين,"[[41.405497, 28.459847]]",POINT
خب ابو لواليج,"[[42.598114, 28.09689]]",POINT
خب ابو هشمة,"[[42.14761, 28.47373]]",POINT
خب ابوربعة,"[[41.395926, 27.829807]]",POINT
خب ابوعدام,"[[41.828792, 28.397899]]",POINT
خب ابوعدام,"[[42.046201, 28.40337]]",POINT
خب ابومسجد,"[[41.409788, 27.866907]]",POINT
خب الابيلات,"[[41.426697, 27.85223]]",POINT
خب الاسحم,"[[41.237504, 28.482549]]",POINT
خب الاسمر,"[[41.38891, 27.880361]]",POINT
خب الاشهب,"[[41.384318, 28.594]]",POINT
خب الاشياخ,"[[42.546723, 28.718498]]",POINT
خب البشير,"[[41.124895, 28.437381]]",POINT
خب التيم,"[[41.980433, 28.077707]]",POINT
خب الثور,"[[41.892865, 28.430042]]",POINT
خب الجبو,"[[41.634643, 28.365669]]",POINT
خب الجري,"[[42.252882, 28.687921]]",POINT
خب الحبيلي,"[[41.125174, 28.560698]]",POINT
خب الحسك,"[[43.021796, 27.825043]]",POINT
خب الحسك,"[[43.252487, 27.676878]]",POINT
خب الحصان,"[[40.967867, 28.540463]]",POINT
خب الحني,"[[42.174282, 28.156092]]",POINT
خب الحيانية,"[[42.422504, 28.711417]]",POINT
خب الخيال,"[[41.401548, 27.835729]]",POINT
خب الدريبسي,"[[41.448047, 28.483021]]",POINT
خب الذيب,"[[41.893036, 28.763494]]",POINT
خب الرضم,"[[41.438005, 27.858667]]",POINT
خب الرضيمات,"[[42.370319, 27.992628]]",POINT
خب الشراري,"[[41.817076, 28.096762]]",POINT
خب الصخال,"[[41.910138, 28.51465]]",POINT
خب الصليتية,"[[41.448112, 27.863452]]",POINT
خب الصياح,"[[41.908979, 28.474309]]",POINT
خب الضب,"[[41.883659, 28.069704]]",POINT
خب الضبعة,"[[41.78695, 28.193214]]",POINT
خب الظبا,"[[41.64269, 28.32932]]",POINT
خب العدام,"[[42.433298, 28.002884]]",POINT
خب العشاش,"[[41.367109, 28.551364]]",POINT
خب العفريتية,"[[41.605053, 28.075626]]",POINT
خب العلوكي,"[[41.578767, 28.787334]]",POINT
خب الغباشة,"[[40.722177, 28.469524]]",POINT
خب الفتانيه,"[[41.432404, 27.834742]]",POINT
خب الفضيل,"[[40.770757, 28.548768]]",POINT
خب الفضيل,"[[41.840401, 28.462229]]",POINT
خب الفهود,"[[41.577952, 28.154311]]",POINT
خب القبيسي,"[[41.642132, 28.71088]]",POINT
خب الكراع,"[[41.780427, 28.493836]]",POINT
خب المدوح,"[[41.809137, 28.527503]]",POINT
خب المذبح,"[[41.382859, 27.841244]]",POINT
خب المزرع,"[[42.02101, 28.590868]]",POINT
خب المقطع,"[[41.381614, 28.857758]]",POINT
خب المقنع,"[[42.11611, 28.084252]]",POINT
خب المنشرح,"[[41.715646, 28.691611]]",POINT
خب الموذر,"[[41.780019, 28.669145]]",POINT
خب ام النيصة,"[[40.660915, 28.447702]]",POINT
خب برمان,"[[42.212262, 28.218577]]",POINT
خب حداجة,"[[42.817497, 27.923191]]",POINT
خب حماد,"[[41.071208, 28.55454]]",POINT
خب حميد,"[[41.230917, 28.527739]]",POINT
خب خضير,"[[41.067817, 28.408906]]",POINT
خب خلف,"[[41.123693, 28.512912]]",POINT
خب خميس,"[[41.076229, 28.611789]]",POINT
خب خيران,"[[41.131439, 28.644834]]",POINT
خب خيران,"[[41.587029, 28.649747]]",POINT
خب دغيم,"[[41.035845, 28.620522]]",POINT
خب زبد الهوى,"[[41.926081, 28.729913]]",POINT
خب سحاء,"[[42.08622, 28.851342]]",POINT
خب سروة,"[[42.051888, 28.704443]]",POINT
خب سلمان,"[[41.910374, 28.639898]]",POINT
خب سندي,"[[41.481929, 27.859375]]",POINT
خب شطيح,"[[41.528749, 28.637774]]",POINT
خب صفاقه,"[[42.281656, 28.021381]]",POINT
خب عتيق,"[[42.016225, 28.488235]]",POINT
خب عراف,"[[40.828199, 27.899587]]",POINT
خب عطيش,"[[41.954062, 28.187335]]",POINT
خب غازي,"[[41.172273, 28.4518]]",POINT
خب فريح,"[[41.907821, 28.35964]]",POINT
خب فلجا,"[[41.581578, 28.712661]]",POINT
خب قمرا,"[[41.787143, 28.462937]]",POINT
خب مريح,"[[42.587557, 28.519671]]",POINT
خب مصبط,"[[41.222291, 28.616681]]",POINT
خب مواجه,"[[41.953676, 28.243382]]",POINT
خب نعيم,"[[41.472766, 28.534219]]",POINT
خبوب الرضم,"[[42.682142, 28.13472]]",POINT
خبوب الرضم,"[[42.682142, 28.13472]]",POINT
خبوب السحم,"[[42.578888, 28.302391]]",POINT
خبوب الطلايب,"[[41.788065, 28.640521]]",POINT
خبوب الكتب,"[[42.488079, 28.363888]]",POINT
خبوب المصاليت,"[[41.782808, 28.425751]]",POINT
خبيب الجريد,"[[41.643312, 28.656249]]",POINT
خبيب الفصل,"[[41.586964, 28.61829]]",POINT
خبيب نورة,"[[40.735846, 28.321359]]",POINT
طعس ابا جواد,"[[41.054192, 28.153839]]",POINT
طعس ابا راسين,"[[41.078911, 28.680732]]",POINT
طعس ابا راسين,"[[41.771049, 28.369789]]",POINT
طعس ابرق رضعة,"[[40.273819, 28.423562]]",POINT
طعس ابو اذنتين,"[[39.850416, 28.616981]]",POINT
طعس ابو الوعر,"[[43.432817, 27.688894]]",POINT
طعس ابو حجرة,"[[40.945358, 28.250313]]",POINT
طعس ابو حجرة,"[[41.478023, 28.379231]]",POINT
طعس ابو راسين,"[[41.443863, 28.57338]]",POINT
طعس ابو شجرة,"[[40.816526, 28.783321]]",POINT
طعس ابو شجرة,"[[41.067753, 28.492012]]",POINT
طعس اشرف,"[[41.560593, 28.551922]]",POINT
طعس الاصيلع,"[[42.422676, 28.592434]]",POINT
طعس البرازي,"[[41.602993, 28.300266]]",POINT
طعس الثور,"[[41.296234, 27.86253]]",POINT
طعس الجحيش,"[[41.706333, 28.456478]]",POINT
طعس الجميعانية,"[[41.16869, 28.088951]]",POINT
طعس الحضف,"[[41.260529, 28.514156]]",POINT
طعس الحيران,"[[42.383194, 28.266621]]",POINT
طعس الخروفة,"[[41.781757, 28.400302]]",POINT
طعس الخريجي,"[[41.707191, 28.797569]]",POINT
طعس الخلوج,"[[39.964571, 28.533554]]",POINT
طعس الخلي الجنوبي,"[[42.126753, 28.160405]]",POINT
طعس الخلي الشمالي,"[[42.100811, 28.184566]]",POINT
طعس الرواي,"[[41.42674, 27.973359]]",POINT
طعس السيف,"[[41.48253, 28.561406]]",POINT
طعس الشاوي,"[[42.686691, 28.205338]]",POINT
