name,lon_lat,coor_type
خباري شمر,"[[42.198143, 27.893944]]",POINT
خبرا الصميد,"[[42.110682, 26.182566]]",POINT
خبرا شمر,"[[42.858868, 27.712326]]",POINT
خبراء الحاج,"[[40.093918, 26.556873]]",POINT
خبراء العبد,"[[42.079697, 27.31802]]",POINT
خبراء المجذور,"[[42.38519, 27.977521]]",POINT
خبراء ام نار,"[[40.357761, 26.264877]]",POINT
خبراء صفاقة,"[[43.495903, 28.0196]]",POINT
خبراء فارس,"[[43.032053, 27.221117]]",POINT
خبراء قرنين,"[[39.92981, 26.640644]]",POINT
خبراء مغيليث,"[[43.595595, 27.82249]]",POINT
خبراء موزرة,"[[40.046024, 26.543827]]",POINT
شعبان ضلضل,"[[41.411161, 27.312677]]",POINT
شعبان محجرة,"[[40.757174, 26.204367]]",POINT
سد ابا الحيران,"[[41.01516, 27.055249]]",POINT
سد البار,"[[41.50034, 27.387028]]",POINT
سد الر وضة,"[[41.602371, 26.821682]]",POINT
سد الرتيق,"[[41.277459, 27.30654]]",POINT
سد الرضفين,"[[41.228235, 27.267315]]",POINT
سد السلف,"[[41.520209, 27.42857]]",POINT
سد السليمي,"[[41.349471, 26.302557]]",POINT
سد السليمي الشمالي,"[[41.361659, 26.308479]]",POINT
سد الصر,"[[41.436203, 27.371643]]",POINT
سد الصهوه,"[[41.17547, 27.145951]]",POINT
سد العقيلة,"[[41.340716, 27.072995]]",POINT
سد العليا,"[[42.240307, 27.255492]]",POINT
سد الماويه,"[[42.205267, 27.111232]]",POINT
سد المخروق,"[[40.573025, 25.752017]]",POINT
سد المستجدة,"[[41.500769, 26.726346]]",POINT
سد الوسيطاء,"[[41.733348, 26.793358]]",POINT
سد توارن,"[[41.439979, 27.576048]]",POINT
سد راجح,"[[41.579883, 27.516181]]",POINT
سد سليم,"[[41.504459, 26.65251]]",POINT
سد عقدة,"[[41.595676, 27.532532]]",POINT
سد وسمي,"[[41.57954, 27.509143]]",POINT
سدود النفيشي,"[[42.273481, 27.122026]]",POINT
سدود ظهر حيه,"[[41.388803, 27.486205]]",POINT
شعبان محجرة,"[[40.844357, 26.196191]]",POINT
شعيب أبا الثيران,"[[43.812275, 28.201969]]",POINT
شعيب أم الريلان,"[[43.68222, 28.198342]]",POINT
شعيب أم طليحة,"[[43.202384, 28.390689]]",POINT
شعيب ابا الجرفان,"[[43.822532, 28.019793]]",POINT
شعيب ابا الجرفان,"[[43.912826, 28.101461]]",POINT
شعيب ابا الدعاع,"[[42.044978, 27.033513]]",POINT
شعيب ابا الغبطان,"[[41.512098, 26.224408]]",POINT
شعيب ابا الكروش,"[[42.651157, 27.106876]]",POINT
شعيب ابا الكروش,"[[42.705681, 27.17936]]",POINT
شعيب ابا الكروش,"[[42.981648, 27.203135]]",POINT
شعيب ابا الكروش,"[[43.037224, 27.079582]]",POINT
شعيب ابا المصران,"[[42.527132, 27.070527]]",POINT
شعيب ابا المصران,"[[42.621267, 27.124922]]",POINT
شعيب ابا سليمان,"[[40.191035, 27.046838]]",POINT
شعيب ابضة,"[[42.346802, 26.96959]]",POINT
شعيب ابو ثميل,"[[42.797477, 26.88863]]",POINT
شعيب ابو حريملات,"[[40.411878, 25.646038]]",POINT
شعيب ابو خريط,"[[42.140079, 26.35633]]",POINT
شعيب ابو خريط,"[[42.163789, 26.16673]]",POINT
شعيب ابو شويحات,"[[42.745335, 26.86022]]",POINT
شعيب ابو شيحات,"[[42.074997, 26.199174]]",POINT
شعيب ابو صوان,"[[41.314366, 25.869648]]",POINT
شعيب ابو عجارم,"[[42.15349, 26.153061]]",POINT
شعيب ابو عماير,"[[42.018585, 26.203251]]",POINT
شعيب ابو كهف,"[[42.339335, 27.358167]]",POINT
شعيب ابو كهف,"[[42.454004, 27.42799]]",POINT
شعيب ابو مروة,"[[41.536217, 25.920525]]",POINT
شعيب ابو مصاص,"[[41.899624, 27.164962]]",POINT
شعيب ابو مغير,"[[41.49519, 26.338971]]",POINT
شعيب ابو مغير,"[[41.713672, 26.156945]]",POINT
شعيب احيمر,"[[41.788666, 27.464104]]",POINT
شعيب اركان,"[[41.626682, 27.2768]]",POINT
شعيب اعيوج,"[[42.328477, 27.678959]]",POINT
