name,lon_lat,coor_type
الوسق,"[[41.330551, 26.265385]]",POINT
المقفزيه,"[[41.343339, 26.269522]]",POINT
مواجه,"[[41.333083, 26.259179]]",POINT
الجبل الابيض,"[[39.970837, 25.659428]]",POINT
الجبل المخروق,"[[42.361479, 26.66605]]",POINT
غار ابن ناحل,"[[41.578445, 27.168052]]",POINT
غار الامير,"[[41.715689, 27.321217]]",POINT
غار الحجاج,"[[41.642647, 27.643983]]",POINT
غار الخدم,"[[40.286136, 27.075655]]",POINT
غار الكشريه,"[[41.615782, 27.494938]]",POINT
غار الكيح,"[[42.316976, 27.880447]]",POINT
غار جبل المليح,"[[41.838942, 27.584653]]",POINT
غار رقيبان,"[[41.662946, 25.95608]]",POINT
غار زامل,"[[40.534444, 27.676749]]",POINT
غار لقطان,"[[42.271528, 27.122819]]",POINT
غارظلماء,"[[41.515467, 27.432175]]",POINT
سمر البدع,"[[40.660572, 27.531416]]",POINT
سمر البويب,"[[42.506275, 26.626911]]",POINT
سمر التقبل,"[[41.871643, 27.013493]]",POINT
سمر الخوه,"[[42.402849, 26.528442]]",POINT
سمر السالمي,"[[40.569592, 27.512984]]",POINT
سمر الصليبية,"[[41.199589, 26.536789]]",POINT
سمر المعاويد,"[[41.301491, 27.119107]]",POINT
سمر الوليغات,"[[40.820475, 27.029543]]",POINT
سمر بيضاء نثيل,"[[40.419838, 27.081063]]",POINT
سمر كلوات,"[[41.067431, 25.937154]]",POINT
سمراء البنانة,"[[41.132469, 26.743298]]",POINT
سمراء الحاجر,"[[41.881063, 25.966659]]",POINT
سمراء الدارة,"[[41.356659, 26.879768]]",POINT
سمراء الذويب,"[[40.757732, 26.255608]]",POINT
سمراء العطشانة,"[[41.062775, 26.45834]]",POINT
سمراء العقله,"[[41.28572, 27.101061]]",POINT
سمراء النويطه,"[[40.600641, 27.221096]]",POINT
سمراء ام العمرو,"[[40.717907, 26.668453]]",POINT
سمراء رويعي,"[[40.624523, 26.794453]]",POINT
سمراء طوية,"[[40.945315, 27.668509]]",POINT
سمراء فاران,"[[40.77507, 27.068768]]",POINT
سمراء مريوان,"[[41.404552, 25.695992]]",POINT
سمراء مناخ,"[[41.810532, 26.649742]]",POINT
حزم ابا النيران,"[[40.37055, 27.40473]]",POINT
حزم ابرق الشيوخ,"[[40.43812, 27.370312]]",POINT
حزم الاصيلع,"[[40.533886, 28.781025]]",POINT
حزم البعارين المسعود,"[[42.148962, 26.910624]]",POINT
حزم الذياب,"[[40.151253, 25.557461]]",POINT
حزم الر فيع,"[[41.317971, 27.07293]]",POINT
حزم العبيل,"[[42.130551, 26.937082]]",POINT
حزم العراد,"[[42.026803, 27.587979]]",POINT
حزم النهيدات,"[[40.033236, 26.950064]]",POINT
حزم الهمل,"[[40.059757, 25.538578]]",POINT
حزم ام قميعة,"[[40.198288, 26.598415]]",POINT
حزم انبط,"[[40.075572, 26.579168]]",POINT
حزم خضراء,"[[40.122671, 26.263826]]",POINT
حزم شيبان,"[[42.365363, 27.984409]]",POINT
حزم عودة,"[[41.737533, 27.534978]]",POINT
حزم فرهود,"[[42.319164, 27.331495]]",POINT
حزم مرصوص,"[[40.044072, 26.369827]]",POINT
حزوم الجثاميه,"[[41.698265, 27.69501]]",POINT
حزوم الحفيرة,"[[39.931612, 26.278567]]",POINT
حزوم الخرماء,"[[39.545631, 26.773682]]",POINT
حزوم العراد,"[[42.011848, 27.474639]]",POINT
حزوم الفزير,"[[39.952555, 26.079483]]",POINT
حزوم المختبي,"[[41.646252, 27.742345]]",POINT
حزوم ام رجامه,"[[40.883217, 27.930787]]",POINT
حزوم زواقيب,"[[40.282466, 27.340486]]",POINT
حزوم شهوان,"[[43.131852, 27.438247]]",POINT
حزوم عثمره,"[[41.660328, 27.793136]]",POINT
حزوم هفافات,"[[41.94653, 27.607291]]",POINT
