name,lon_lat,coor_type
مفرق  بركة المذيرييات,"[[42.221274, 26.621118]]",POINT
مفرق ابو حميدة,"[[40.542963, 25.701978]]",POINT
مفرق الحسكي,"[[43.310959, 28.230979]]",POINT
مفرق ام طريفة,"[[40.559764, 25.679169]]",POINT
مفرق جبل المحجة,"[[39.620476, 26.820159]]",POINT
مفرق خثال,"[[43.292592, 28.235765]]",POINT
مفرق ردمية ابرق رضعة,"[[40.482302, 28.496819]]",POINT
مفرق ردمية المسلسل,"[[40.7234, 27.675977]]",POINT
مفرق ردمية غزلانه - جدعة,"[[39.74772, 26.81664]]",POINT
مفرق صحى,"[[41.342003, 27.253776]]",POINT
مفرق ضلضل,"[[41.397815, 27.306669]]",POINT
مفرق قليب ربيع,"[[43.03761, 28.250785]]",POINT
مفرق قليب ربيع,"[[43.50734, 27.789617]]",POINT
درب البار,"[[41.437297, 27.399623]]",POINT
درب الشريجات,"[[41.434314, 27.414622]]",POINT
درب الشريجات,"[[41.489825, 27.417669]]",POINT
درب العقيربه,"[[41.496692, 27.438912]]",POINT
درب العوامرة,"[[40.294826, 26.184969]]",POINT
درب القليبين,"[[41.49122, 27.417927]]",POINT
درب حية,"[[41.39745, 27.421961]]",POINT
درب سدود حية,"[[41.346617, 27.474017]]",POINT
درب مسطح,"[[41.446202, 27.450607]]",POINT
درب مسطح,"[[41.490448, 27.448182]]",POINT
درب مسطح,"[[41.454055, 27.388165]]",POINT
درب مسطح,"[[41.461222, 27.41267]]",POINT
ردمية البرث,"[[40.259507, 26.246703]]",POINT
ردمية الجديدة,"[[41.183131, 27.200196]]",POINT
ردمية الدارة,"[[41.338463, 26.963003]]",POINT
ردمية الرديفة,"[[41.166544, 28.032861]]",POINT
ردمية الشقيق,"[[41.177852, 27.197857]]",POINT
ردمية الصهوة,"[[40.998724, 27.195904]]",POINT
ردمية العليم,"[[40.301435, 28.717361]]",POINT
ردمية الكرشافة,"[[40.526462, 26.134737]]",POINT
ردمية المختلف,"[[40.929308, 27.169147]]",POINT
ردمية المخنلف,"[[41.202121, 27.218692]]",POINT
ردمية بطحاوين,"[[41.177917, 27.199531]]",POINT
ردمية حويان,"[[41.211777, 27.017677]]",POINT
ردمية حية,"[[41.302478, 27.469962]]",POINT
ردمية خل الجوف,"[[40.939629, 28.095667]]",POINT
ردمية صيحان,"[[41.20991, 27.361064]]",POINT
ردمية قمران,"[[41.330631, 27.229271]]",POINT
طريق المحجة,"[[39.575329, 26.920109], [39.574985, 26.918736], [39.575844, 26.916847], [39.577217, 26.914787], [39.581852, 26.911869], [39.586487, 26.906204], [39.587517, 26.905689], [39.587688, 26.904659], [39.590263, 26.900539], [39.591465, 26.898136], [39.591808, 26.894875], [39.592667, 26.89436], [39.593353, 26.891441], [39.595757, 26.885948], [39.596787, 26.881485], [39.598503, 26.880455], [39.599533, 26.878567], [39.599018, 26.877193], [39.59919, 26.876163], [39.600906, 26.874962], [39.602623, 26.871014]]",LINESTRING
طريق المحجة,"[[39.602623, 26.871014], [39.603653, 26.869984], [39.605713, 26.86861], [39.607429, 26.865692], [39.608974, 26.862259], [39.609489, 26.860371], [39.609489, 26.852818]]",LINESTRING
طريق المحجة,"[[39.609489, 26.852818], [39.612408, 26.847153], [39.612579, 26.846123], [39.613781, 26.844578], [39.613953, 26.843205], [39.615154, 26.840286], [39.616699, 26.838741], [39.616528, 26.837883], [39.617386, 26.834621], [39.618416, 26.833248], [39.618587, 26.831532], [39.619274, 26.830158], [39.619274, 26.829128], [39.620819, 26.826038], [39.622536, 26.824837], [39.623909, 26.822777], [39.624596, 26.822605], [39.625626, 26.821404]]",LINESTRING
