name,lon_lat,coor_type
ابار ابا سليمان,"[[40.125997, 27.042997]]",POINT
ابار اشيقر القديمة,"[[42.026374, 28.818147]]",POINT
ابار الاعراب,"[[42.96504, 27.441788]]",POINT
ابار البدع,"[[43.236051, 28.273423]]",POINT
ابار التيم,"[[42.004166, 28.042088]]",POINT
ابار الثباتة,"[[40.872574, 27.126789]]",POINT
ابار الجليف,"[[40.304954, 26.262453]]",POINT
ابار الخفق,"[[40.342569, 25.802186]]",POINT
ابار الدباسية,"[[43.701704, 27.977178]]",POINT
ابار الرمادة,"[[40.718186, 27.586563]]",POINT
ابار الريان والحبس,"[[41.5342, 27.659283]]",POINT
ابار الشعيلاء,"[[41.404917, 25.750623]]",POINT
ابار الشويمس,"[[40.364113, 26.205761]]",POINT
ابار الصر,"[[41.431868, 27.384388]]",POINT
ابار الصفيراء,"[[41.480084, 27.364197]]",POINT
ابار الصندوق,"[[41.871986, 27.569847]]",POINT
ابار العبد,"[[41.248898, 27.440672]]",POINT
ابار العليم,"[[40.4496, 28.760598]]",POINT
ابار العوشزية,"[[43.708849, 27.967865]]",POINT
ابار العويضية,"[[43.695567, 27.985117]]",POINT
ابار القليب,"[[39.985535, 26.221747]]",POINT
ابار المخروقة,"[[42.306805, 26.705854]]",POINT
ابار المرير,"[[40.450459, 27.350056]]",POINT
ابار النظمان,"[[40.546095, 26.783831]]",POINT
ابار ام قلوب,"[[43.695009, 27.996254]]",POINT
ابار جرع الارنب,"[[40.950336, 27.261543]]",POINT
ابار خضراء,"[[43.194873, 28.289924]]",POINT
ابار سامودة,"[[40.800562, 25.600827]]",POINT
ابار شجوى,"[[40.447004, 26.30554]]",POINT
ابار ضريبان,"[[40.637569, 26.212049]]",POINT
ابار طفحان,"[[40.503716, 27.129171]]",POINT
ابار كسر بوعة,"[[40.773396, 27.096469]]",POINT
ابار هدباء,"[[41.447811, 27.116489]]",POINT
بئر,"[[43.162451, 27.866285]]",POINT
بئر ابا مغير,"[[40.730588, 27.019007]]",POINT
بئر ابرق رضعة,"[[40.25425, 28.412189]]",POINT
بئر ابن رحيل,"[[41.625137, 27.29373]]",POINT
بئر ابن شريم,"[[43.012633, 28.321788]]",POINT
