name,lon_lat,coor_type
نقوش جبل جانين,"[[42.309895, 27.564161]]",POINT
نقوش جلديه,"[[42.249942, 27.68147]]",POINT
نقوش صخور جبة,"[[40.918794, 28.032217]]",POINT
بركة زبيدة,"[[42.182908, 26.599359]]",POINT
بركة زبيدة,"[[42.315559, 26.698623]]",POINT
بركة المذيرييات الاثرية,"[[42.235157, 26.650536]]",POINT
بركة المذيرييات الاثرية,"[[42.235157, 26.650536]]",POINT
اثار درب زبيدة,"[[41.711311, 25.798688]]",POINT
اثار زبيدة,"[[42.184582, 26.600239]]",POINT
اثار زبيدة,"[[42.270927, 26.684718]]",POINT
اثار زبيدة,"[[42.297556, 26.695275]]",POINT
اثار زبيدة,"[[43.172472, 27.849526]]",POINT
اثار فيد,"[[42.521939, 27.119923]]",POINT
اثار قصيرة,"[[41.620138, 26.379118]]",POINT
اثار ومسجد درب زبيده,"[[43.029048, 27.51734]]",POINT
قبر حاتم الطائي,"[[41.444421, 27.586112]]",POINT
قبر زيد الخيل,"[[40.299997, 27.566671]]",POINT
قبر عنترة بن شداد,"[[42.283502, 27.171764]]",POINT
قبر عنترة بن شداد,"[[42.283502, 27.171764]]",POINT
الصخرة الدنانه,"[[41.5013865, 27.6059131]]",POINT
اثار درب زبيدة,"[[42.4339924, 26.9040578]]",POINT
بركة زبيدة,"[[42.73680555555552, 27.255777777777777]]",POINT
قلعة اعيرف,"[[41.7034608, 27.5172116]]",POINT
القشلة,"[[41.6941498, 27.5185547]]",POINT
اطلال قصر برزان,"[[41.7050998, 27.5249327]]",POINT
