name,lon_lat,coor_type,category
أبو جومة,"[[42.218614, 17.658334]]",POINT,أسماء ثانوية
الجحافي,"[[43.150392, 16.995442]]",POINT,أسماء ثانوية
الخلوعة,"[[42.951393, 17.059729]]",POINT,أسماء ثانوية
العاصم,"[[43.073788, 16.820884]]",POINT,أسماء ثانوية
القوبع,"[[43.102777, 17.136118]]",POINT,أسماء ثانوية
المطلة,"[[43.129191, 17.090178]]",POINT,أسماء ثانوية
المكمبل,"[[43.045034, 16.553028]]",POINT,أسماء ثانوية
بير جهلي,"[[42.813334, 16.899998]]",POINT,أسماء ثانوية
حياد العبدين,"[[43.128333, 17.10979]]",POINT,أسماء ثانوية
خبة القياس,"[[42.188444, 17.693481]]",POINT,أسماء ثانوية
خبت البقر,"[[42.458339, 17.59999]]",POINT,أسماء ثانوية
ركبة,"[[43.063896, 17.038336]]",POINT,أسماء ثانوية
رمال ابو المرو,"[[42.079182, 17.667904]]",POINT,أسماء ثانوية
روان العبيد,"[[42.974524, 17.027607]]",POINT,أسماء ثانوية
سندليه,"[[42.132976, 17.751203]]",POINT,أسماء ثانوية
ظهر الجمل,"[[43.23693, 16.7325]]",POINT,أسماء ثانوية
قاعدة قايم العسكريه,"[[42.918799, 17.229137]]",POINT,أسماء ثانوية
قرية المزحيتر,"[[43.041301, 17.092602]]",POINT,أسماء ثانوية
القائمه,"[[43.121166, 17.658162]]",POINT,أسماء رئيسة
جلة الحياة,"[[43.057995, 17.60793]]",POINT,أسماء رئيسة
الرهوة,"[[42.899036, 17.639065]]",POINT,أسماء رئيسة
الريث,"[[42.859383, 17.603703]]",POINT,أسماء رئيسة
جزر الفصاليات,"[[41.026125, 17.673805]]",POINT,أسماء رئيسة
جزيرة قطنه,"[[41.163476, 17.815232]]",POINT,أسماء رئيسة
جزيرة سمر,"[[41.423349, 17.778454]]",POINT,أسماء رئيسة
الجبير,"[[41.517506, 17.667775]]",POINT,أسماء رئيسة
مربه,"[[42.387507, 17.896106]]",POINT,أسماء رئيسة
المديري,"[[42.353218, 17.807486]]",POINT,أسماء رئيسة
الحطابين,"[[42.351651, 17.831132]]",POINT,أسماء رئيسة
الحريضة,"[[41.942368, 17.790298]]",POINT,أسماء رئيسة
شرم الطعفة,"[[41.864347, 17.808151]]",POINT,أسماء رئيسة
النميش,"[[41.81684, 17.847762]]",POINT,أسماء رئيسة
حمضة,"[[41.748905, 17.945309]]",POINT,أسماء رئيسة
الطرق,"[[41.754012, 17.942669]]",POINT,أسماء رئيسة
السرير,"[[41.750257, 17.960522]]",POINT,أسماء رئيسة
النفاح,"[[41.721353, 17.942991]]",POINT,أسماء رئيسة
البراق,"[[41.723607, 17.952604]]",POINT,أسماء رئيسة
مجزل,"[[41.707642, 17.958033]]",POINT,أسماء رئيسة
العيرج,"[[41.710582, 17.960672]]",POINT,أسماء رئيسة
العاليه,"[[41.696377, 17.963805]]",POINT,أسماء رئيسة
مغزل,"[[41.688781, 17.965436]]",POINT,أسماء رئيسة
القعر,"[[41.74103, 17.980692]]",POINT,أسماء رئيسة
الجب,"[[41.73455, 17.984748]]",POINT,أسماء رئيسة
القحمة,"[[41.678932, 18.00142]]",POINT,أسماء رئيسة
سيهبه,"[[41.758647, 18.023393]]",POINT,أسماء رئيسة
رقه الصفراء,"[[41.792786, 18.012214]]",POINT,أسماء رئيسة
المراوغ,"[[41.783516, 18.05058]]",POINT,أسماء رئيسة
المطعن,"[[41.814137, 18.160057]]",POINT,أسماء رئيسة
زهب الجمل,"[[41.820831, 18.160551]]",POINT,أسماء رئيسة
الحرجة,"[[41.821947, 18.165185]]",POINT,أسماء رئيسة
العزيزيه,"[[41.904645, 18.315067]]",POINT,أسماء رئيسة
الجرمة,"[[41.678696, 18.071136]]",POINT,أسماء رئيسة
المنجحة,"[[41.794052, 18.257561]]",POINT,أسماء رئيسة
كوانب,"[[41.753025, 18.207779]]",POINT,أسماء رئيسة
القرونة,"[[41.771672, 18.225825]]",POINT,أسماء رئيسة
ذهبان,"[[41.614494, 18.102036]]",POINT,أسماء رئيسة
جيزان,"[[42.557065, 16.891372]]",POINT,أسماء رئيسة
آل جابر,"[[43.091662, 17.083333]]",POINT,أسماء رئيسة
آل نعمة,"[[43.172214, 16.98334]]",POINT,أسماء رئيسة
أبو البس,"[[42.584167, 17.230554]]",POINT,أسماء رئيسة
أبو الجزع,"[[43.005552, 17.118051]]",POINT,أسماء رئيسة
أبو الحسيره,"[[43.004737, 17.028937]]",POINT,أسماء رئيسة
أبو الحصار,"[[43.147624, 17.004368]]",POINT,أسماء رئيسة
أبو الحصارة,"[[43.066664, 17.003617]]",POINT,أسماء رئيسة
أبو الرديف,"[[43.115694, 16.624331]]",POINT,أسماء رئيسة
أبو الرقع,"[[43.034434, 16.96332]]",POINT,أسماء رئيسة
أبو الشوك,"[[42.571678, 17.462211]]",POINT,أسماء رئيسة
أبو الضبرة,"[[43.114085, 16.551139]]",POINT,أسماء رئيسة
أبو الطفاية,"[[43.083143, 16.623237]]",POINT,أسماء رئيسة
أبو الطيور,"[[42.50001, 17.158198]]",POINT,أسماء رئيسة
أبو العشر,"[[43.100009, 16.912508]]",POINT,أسماء رئيسة
أبو العشرة,"[[43.073616, 16.913066]]",POINT,أسماء رئيسة
أبو العصم,"[[43.040829, 16.892209]]",POINT,أسماء رئيسة
أبو العصمة,"[[43.120244, 16.976666]]",POINT,أسماء رئيسة
أبو العيد,"[[43.047481, 17.140238]]",POINT,أسماء رئيسة
أبو الكثاث,"[[43.110566, 16.84305]]",POINT,أسماء رئيسة
أبو الكدش,"[[43.063917, 16.681752]]",POINT,أسماء رئيسة
أبو الكزم,"[[43.083379, 16.894162]]",POINT,أسماء رئيسة
أبو المرو,"[[43.080289, 17.013059]]",POINT,أسماء رئيسة
أبو النبعة,"[[43.080289, 16.597509]]",POINT,أسماء رئيسة
أبو النورة,"[[43.13035, 16.638494]]",POINT,أسماء رئيسة
أبو حجر الأعلى,"[[43.024478, 16.682611]]",POINT,أسماء رئيسة
أبو حدابة,"[[42.832818, 17.141955]]",POINT,أسماء رئيسة
أبو حدبة,"[[42.417505, 17.142491]]",POINT,أسماء رئيسة
أبو حشيشة,"[[42.333326, 17.304175]]",POINT,أسماء رئيسة
أبو حشيشة,"[[43.083336, 16.602788]]",POINT,أسماء رئيسة
أبو ذخيرة,"[[42.441666, 17.294433]]",POINT,أسماء رئيسة
أبو ذيل,"[[43.094194, 16.69733]]",POINT,أسماء رئيسة
أبو سبيلة,"[[43.084044, 16.921864]]",POINT,أسماء رئيسة
أبو عمران,"[[42.826016, 16.791551]]",POINT,أسماء رئيسة
أبو غليفة,"[[42.477779, 17.294433]]",POINT,أسماء رئيسة
أبو مجرع,"[[43.08383, 16.89281]]",POINT,أسماء رئيسة
أحبار,"[[42.254727, 16.933322]]",POINT,أسماء رئيسة
أحد المسارحة,"[[42.953625, 16.710055]]",POINT,أسماء رئيسة
أم البرم,"[[42.859168, 17.095821]]",POINT,أسماء رئيسة
أم الجرع,"[[43.028619, 17.036662]]",POINT,أسماء رئيسة
أم الحصم,"[[43.163331, 16.723337]]",POINT,أسماء رئيسة
أم الخشب,"[[43.09267, 16.811786]]",POINT,أسماء رئيسة
أم الدغابيس,"[[42.007706, 17.722063]]",POINT,أسماء رئيسة
أم الروايا,"[[43.05203, 16.623065]]",POINT,أسماء رئيسة
أم الرين,"[[43.108742, 16.873863]]",POINT,أسماء رئيسة
أم السهي,"[[43.155971, 16.749623]]",POINT,أسماء رئيسة
أم الشباقا,"[[42.598243, 17.216713]]",POINT,أسماء رئيسة
أم الشرافي,"[[42.044785, 17.712815]]",POINT,أسماء رئيسة
أم الشفار,"[[43.187492, 16.762497]]",POINT,أسماء رئيسة
أم الشكوك,"[[42.043605, 17.716677]]",POINT,أسماء رئيسة
أم الشيح,"[[43.08722, 16.72029]]",POINT,أسماء رئيسة
أم الصفحة,"[[42.620838, 17.260551]]",POINT,أسماء رئيسة
أم الطيور,"[[42.91925, 16.807709]]",POINT,أسماء رئيسة
أم العجا,"[[43.084431, 16.646111]]",POINT,أسماء رئيسة
أم العرش,"[[42.498765, 17.104962]]",POINT,أسماء رئيسة
أم العظام,"[[43.060548, 17.111743]]",POINT,أسماء رئيسة
أم العكاش,"[[43.076942, 16.766102]]",POINT,أسماء رئيسة
أم العنق,"[[42.950749, 17.077131]]",POINT,أسماء رئيسة
