name,lon_lat,coor_type
أبو جومة,"[[42.218614, 17.658334]]",POINT
الجحافي,"[[43.150392, 16.995442]]",POINT
الخلوعة,"[[42.951393, 17.059729]]",POINT
العاصم,"[[43.073788, 16.820884]]",POINT
القوبع,"[[43.102777, 17.136118]]",POINT
المطلة,"[[43.129191, 17.090178]]",POINT
المكمبل,"[[43.045034, 16.553028]]",POINT
بير جهلي,"[[42.813334, 16.899998]]",POINT
حياد العبدين,"[[43.128333, 17.10979]]",POINT
خبة القياس,"[[42.188444, 17.693481]]",POINT
خبت البقر,"[[42.458339, 17.59999]]",POINT
ركبة,"[[43.063896, 17.038336]]",POINT
رمال ابو المرو,"[[42.079182, 17.667904]]",POINT
روان العبيد,"[[42.974524, 17.027607]]",POINT
سندليه,"[[42.132976, 17.751203]]",POINT
ظهر الجمل,"[[43.23693, 16.7325]]",POINT
قاعدة قايم العسكريه,"[[42.918799, 17.229137]]",POINT
قرية المزحيتر,"[[43.041301, 17.092602]]",POINT
