name,lon_lat,coor_type
القائمه,"[[43.121166, 17.658162]]",POINT
جلة الحياة,"[[43.057995, 17.60793]]",POINT
الرهوة,"[[42.899036, 17.639065]]",POINT
الريث,"[[42.859383, 17.603703]]",POINT
جزر الفصاليات,"[[41.026125, 17.673805]]",POINT
جزيرة قطنه,"[[41.163476, 17.815232]]",POINT
جزيرة سمر,"[[41.423349, 17.778454]]",POINT
الجبير,"[[41.517506, 17.667775]]",POINT
مربه,"[[42.387507, 17.896106]]",POINT
المديري,"[[42.353218, 17.807486]]",POINT
الحطابين,"[[42.351651, 17.831132]]",POINT
الحريضة,"[[41.942368, 17.790298]]",POINT
شرم الطعفة,"[[41.864347, 17.808151]]",POINT
النميش,"[[41.81684, 17.847762]]",POINT
حمضة,"[[41.748905, 17.945309]]",POINT
الطرق,"[[41.754012, 17.942669]]",POINT
السرير,"[[41.750257, 17.960522]]",POINT
النفاح,"[[41.721353, 17.942991]]",POINT
البراق,"[[41.723607, 17.952604]]",POINT
مجزل,"[[41.707642, 17.958033]]",POINT
العيرج,"[[41.710582, 17.960672]]",POINT
العاليه,"[[41.696377, 17.963805]]",POINT
مغزل,"[[41.688781, 17.965436]]",POINT
القعر,"[[41.74103, 17.980692]]",POINT
الجب,"[[41.73455, 17.984748]]",POINT
القحمة,"[[41.678932, 18.00142]]",POINT
سيهبه,"[[41.758647, 18.023393]]",POINT
رقه الصفراء,"[[41.792786, 18.012214]]",POINT
المراوغ,"[[41.783516, 18.05058]]",POINT
المطعن,"[[41.814137, 18.160057]]",POINT
زهب الجمل,"[[41.820831, 18.160551]]",POINT
الحرجة,"[[41.821947, 18.165185]]",POINT
العزيزيه,"[[41.904645, 18.315067]]",POINT
الجرمة,"[[41.678696, 18.071136]]",POINT
المنجحة,"[[41.794052, 18.257561]]",POINT
كوانب,"[[41.753025, 18.207779]]",POINT
القرونة,"[[41.771672, 18.225825]]",POINT
ذهبان,"[[41.614494, 18.102036]]",POINT
جيزان,"[[42.557065, 16.891372]]",POINT
آل جابر,"[[43.091662, 17.083333]]",POINT
آل نعمة,"[[43.172214, 16.98334]]",POINT
أبو البس,"[[42.584167, 17.230554]]",POINT
أبو الجزع,"[[43.005552, 17.118051]]",POINT
أبو الحسيره,"[[43.004737, 17.028937]]",POINT
أبو الحصار,"[[43.147624, 17.004368]]",POINT
أبو الحصارة,"[[43.066664, 17.003617]]",POINT
أبو الرديف,"[[43.115694, 16.624331]]",POINT
أبو الرقع,"[[43.034434, 16.96332]]",POINT
أبو الشوك,"[[42.571678, 17.462211]]",POINT
أبو الضبرة,"[[43.114085, 16.551139]]",POINT
أبو الطفاية,"[[43.083143, 16.623237]]",POINT
أبو الطيور,"[[42.50001, 17.158198]]",POINT
أبو العشر,"[[43.100009, 16.912508]]",POINT
أبو العشرة,"[[43.073616, 16.913066]]",POINT
أبو العصم,"[[43.040829, 16.892209]]",POINT
أبو العصمة,"[[43.120244, 16.976666]]",POINT
أبو العيد,"[[43.047481, 17.140238]]",POINT
أبو الكثاث,"[[43.110566, 16.84305]]",POINT
أبو الكدش,"[[43.063917, 16.681752]]",POINT
أبو الكزم,"[[43.083379, 16.894162]]",POINT
أبو المرو,"[[43.080289, 17.013059]]",POINT
أبو النبعة,"[[43.080289, 16.597509]]",POINT
أبو النورة,"[[43.13035, 16.638494]]",POINT
أبو حجر الأعلى,"[[43.024478, 16.682611]]",POINT
أبو حدابة,"[[42.832818, 17.141955]]",POINT
