name,lon_lat,coor_type
وادي دفا,"[[43.063123, 17.600098]]",POINT
وادي الحياة,"[[43.053135, 17.609184]]",POINT
وادي شيبه,"[[42.974181, 17.674448]]",POINT
وادي عتود,"[[42.362917, 17.805233]]",POINT
وادي حمضه,"[[41.728628, 17.936919]]",POINT
سد وادي ذهبان,"[[41.641231, 18.137226]]",POINT
وادي الجفو,"[[43.156421, 17.295892]]",POINT
وادي الخشل,"[[43.119278, 16.776209]]",POINT
وادي الخمس,"[[42.769411, 16.777453]]",POINT
وادي الخمس,"[[42.980125, 16.790929]]",POINT
وادي الغايل,"[[43.327353, 17.659192]]",POINT
وادي المجرف,"[[43.091791, 17.138629]]",POINT
وادي الملح,"[[43.061042, 16.530991]]",POINT
وادي الهيف,"[[43.020487, 17.104061]]",POINT
وادي بيش,"[[42.498894, 17.175601]]",POINT
وادي بيش,"[[42.602019, 17.560358]]",POINT
وادي بيش,"[[42.699738, 17.781308]]",POINT
وادي تعشر,"[[42.817969, 16.537964]]",POINT
وادي تعشر,"[[42.918284, 16.549273]]",POINT
وادي جورا,"[[43.017397, 17.212036]]",POINT
وادي جيزان,"[[42.601182, 16.949887]]",POINT
وادي جيزان,"[[42.983558, 17.042456]]",POINT
وادي حرض,"[[42.819042, 16.43265]]",POINT
وادي حمر,"[[43.053231, 17.133651]]",POINT
وادي خلب,"[[42.801039, 16.638365]]",POINT
وادي خلب,"[[43.128397, 16.764343]]",POINT
وادي دفا,"[[43.063123, 17.600098]]",POINT
وادي ذبح,"[[43.258624, 17.660565]]",POINT
وادي ذبح,"[[43.322246, 17.636297]]",POINT
وادي ريم,"[[42.045922, 17.742298]]",POINT
وادي سمره,"[[42.344205, 17.508774]]",POINT
وادي سمره,"[[42.609122, 17.576151]]",POINT
وادي شيبه,"[[42.974181, 17.674448]]",POINT
وادي صبيا,"[[42.761407, 17.175729]]",POINT
وادي ضلع,"[[42.452459, 17.906299]]",POINT
وادي ضمد,"[[42.62161, 16.982846]]",POINT
وادي ضمد,"[[42.815545, 17.124918]]",POINT
وادي ضمد,"[[43.032739, 17.208002]]",POINT
وادي عتود,"[[42.176106, 17.626276]]",POINT
وادي عتود,"[[42.362917, 17.805233]]",POINT
وادي عرمرم,"[[42.048712, 17.86334]]",POINT
وادي قرا,"[[42.578352, 17.37653]]",POINT
وادي قصي,"[[42.554383, 17.092323]]",POINT
وادي قصي,"[[42.876699, 17.193518]]",POINT
وادي ليه,"[[42.922833, 16.560602]]",POINT
وادي ليه,"[[43.134341, 16.721106]]",POINT
شعب مصعقه,"[[42.786791, 17.212679]]",POINT
بحيرة بيش,"[[42.661715, 17.68743]]",POINT
