name,lon_lat,coor_type
جبل حروب,"[[42.933347, 17.54935]]",POINT
جبل الاخدع,"[[42.348089, 17.83493]]",POINT
جبل الحيلة,"[[42.092292, 18.023415]]",POINT
جبل الزور,"[[41.878853, 17.883167]]",POINT
جبل كريشة,"[[41.806841, 17.944536]]",POINT
جبل كدمبل,"[[41.691699, 17.891879]]",POINT
جبل الخرماء,"[[41.707771, 17.995563]]",POINT
جبل الوصل,"[[41.649556, 18.005433]]",POINT
جبل زرقان,"[[41.869347, 18.233721]]",POINT
غار بشوعي,"[[43.243325, 16.7911]]",POINT
جبال آل أمنخيف,"[[43.100009, 17.061102]]",POINT
جبال ال محراب,"[[43.10636, 17.227592]]",POINT
جبال الحشر,"[[43.045142, 17.496028]]",POINT
جبال القحم الجنوبية,"[[42.952788, 16.856117]]",POINT
جبال القحم الشماليه,"[[42.947316, 16.880171]]",POINT
جبال النقارة,"[[43.166678, 16.641111]]",POINT
جبال بني حريص,"[[43.11666, 17.102773]]",POINT
جبال قوا,"[[43.227789, 16.811099]]",POINT
جبال هجده,"[[43.099902, 17.46618]]",POINT
جبل ابو الدبش,"[[43.190732, 16.710806]]",POINT
جبل ابو هفن,"[[43.166485, 16.682889]]",POINT
جبل الاخدع,"[[42.348089, 17.83493]]",POINT
جبل الثويع,"[[43.060849, 17.263706]]",POINT
جبل الحشر,"[[43.016067, 17.478046]]",POINT
جبل الحيلة,"[[42.092292, 18.023415]]",POINT
جبل الدقم,"[[43.021753, 17.005849]]",POINT
جبل الدود,"[[43.241501, 16.756146]]",POINT
جبل الشرفي,"[[43.083165, 16.795993]]",POINT
جبل الشقعه,"[[43.049927, 17.516048]]",POINT
جبل الصراط,"[[42.833462, 17.499182]]",POINT
جبل الصغد,"[[43.008878, 16.841118]]",POINT
جبل الطرف,"[[42.943926, 16.955938]]",POINT
جبل العبادل,"[[43.187857, 16.994476]]",POINT
جبل العزه,"[[43.166935, 17.271388]]",POINT
جبل العمود,"[[43.068595, 16.887081]]",POINT
جبل القفرة,"[[43.1464, 17.011449]]",POINT
جبل اللبيني,"[[43.204164, 16.823051]]",POINT
جبل المدفن,"[[43.202791, 16.765566]]",POINT
جبل المديراء,"[[43.069539, 16.860945]]",POINT
جبل الوجره,"[[44.181111, 17.32029]]",POINT
جبل امصياد,"[[42.938883, 16.966109]]",POINT
جبل تحنان,"[[43.018234, 16.862962]]",POINT
جبل جبرتين,"[[42.900817, 17.015848]]",POINT
جبل جحفان,"[[43.169446, 16.688898]]",POINT
جبل حبس,"[[43.188522, 17.370973]]",POINT
جبل حروب,"[[42.933347, 17.54935]]",POINT
جبل حميه/ اللغوب,"[[43.156099, 17.015827]]",POINT
جبل خاشر,"[[43.172772, 17.315826]]",POINT
جبل خلوه,"[[42.949741, 17.066038]]",POINT
جبل دخان,"[[43.215301, 16.75106]]",POINT
جبل دفيف,"[[43.038769, 16.919289]]",POINT
جبل ذو نمر,"[[43.21528, 16.817772]]",POINT
جبل رميح,"[[43.199616, 16.730096]]",POINT
جبل رميح,"[[43.200924, 17.383847]]",POINT
جبل روهان,"[[43.150284, 17.19929]]",POINT
جبل سلا,"[[43.126531, 17.07211]]",POINT
جبل شدا,"[[43.187385, 16.911671]]",POINT
جبل صفير,"[[43.168008, 16.736126]]",POINT
جبل صنادل,"[[42.672937, 17.392666]]",POINT
جبل طلان,"[[43.153138, 17.387667]]",POINT
جبل ثهران,"[[43.215237, 17.427406]]",POINT
جبل طويلق,"[[43.214335, 16.843457]]",POINT
جبل طياش,"[[43.236051, 16.789105]]",POINT
جبل عتمه,"[[43.133032, 17.182939]]",POINT
جبل عقم,"[[43.0566, 16.799705]]",POINT
جبل عكاد,"[[42.304637, 17.67535]]",POINT
جبل عكوة الشامي,"[[42.718062, 17.253556]]",POINT
جبل عكوة اليماني,"[[42.741344, 17.19178]]",POINT
جبل كومه,"[[43.12947, 17.158713]]",POINT
جبل مجازي,"[[43.036194, 16.791894]]",POINT
جبل محجان,"[[43.053145, 16.77593]]",POINT
جبل مشرق,"[[43.150585, 17.149744]]",POINT
جبل مصيده,"[[43.047824, 17.385757]]",POINT
جبل معكم,"[[43.058338, 16.809447]]",POINT
جبل مقذف,"[[42.983193, 17.51637]]",POINT
جبل مقسا,"[[43.058038, 16.76033]]",POINT
جبل مكحل,"[[42.699738, 17.382259]]",POINT
جبل ملحمة,"[[43.172622, 16.85365]]",POINT
جبل منجد,"[[42.933369, 17.4491]]",POINT
جبل منجد,"[[43.034477, 17.329667]]",POINT
جبل وبرة,"[[43.186119, 16.755009]]",POINT
جبيل عشة الشاعر,"[[43.077414, 16.871932]]",POINT
الجبل الاخضر,"[[43.024993, 17.232764]]",POINT
