name,lon_lat,coor_type,category
آرة,"[[39.641676, 23.230569]]",POINT,أسماء ثانوية
أبا اليمين,"[[38.833322, 23.950002]]",POINT,أسماء ثانوية
أبارق بينة,"[[39.108324, 23.866661]]",POINT,أسماء ثانوية
أبرق العزاف,"[[40.826697, 25.05121]]",POINT,أسماء ثانوية
أبرق القوز,"[[40.920553, 24.612508]]",POINT,أسماء ثانوية
أبرق النفيلي,"[[41.251388, 24.854164]]",POINT,أسماء ثانوية
أبو حمارة,"[[39.411113, 24.486101]]",POINT,أسماء ثانوية
أبو خشب,"[[39.354422, 26.21958]]",POINT,أسماء ثانوية
أبو زرائب,"[[38.041663, 26.374998]]",POINT,أسماء ثانوية
أبو زرايب,"[[38.898339, 26.169991]]",POINT,أسماء ثانوية
أبو سرب,"[[39.310563, 24.391665]]",POINT,أسماء ثانوية
أبو وشيع,"[[39.307301, 25.735323]]",POINT,أسماء ثانوية
أبو وشيع,"[[39.308331, 25.734723]]",POINT,أسماء ثانوية
أرابن,"[[38.880572, 23.843615]]",POINT,أسماء ثانوية
أكباد,"[[37.139432, 27.163331]]",POINT,أسماء ثانوية
أم الحدج,"[[38.302224, 24.081666]]",POINT,أسماء ثانوية
أم العقارب,"[[39.270823, 24.326391]]",POINT,أسماء ثانوية
أم العيال,"[[39.569321, 23.256919]]",POINT,أسماء ثانوية
أم راكة,"[[38.166397, 25.500834]]",POINT,أسماء ثانوية
أم زرايب,"[[41.670821, 25.062497]]",POINT,أسماء ثانوية
أم كدا,"[[39.25945, 25.719316]]",POINT,أسماء ثانوية
أم كشد,"[[39.272218, 23.258336]]",POINT,أسماء ثانوية
أم هدم,"[[37.883327, 26.355557]]",POINT,أسماء ثانوية
أم هشيم,"[[37.974994, 26.617491]]",POINT,أسماء ثانوية
أمول,"[[37.783334, 26.216662]]",POINT,أسماء ثانوية
ابالظهور,"[[37.8964379, 25.1848614]]",POINT,أسماء ثانوية
ابرق العشار,"[[37.870431, 27.221117]]",POINT,أسماء ثانوية
ابرق اللعباء,"[[40.83807, 24.550667]]",POINT,أسماء ثانوية
ابرق طامية,"[[41.891212, 24.102974]]",POINT,أسماء ثانوية
ابرق نعيمان,"[[41.858425, 24.857941]]",POINT,أسماء ثانوية
ابو بريقة,"[[39.809582, 24.962955]]",POINT,أسماء ثانوية
ابو ضباع,"[[37.388105, 27.163911]]",POINT,أسماء ثانوية
ابو عريعره,"[[38.981252, 24.319546]]",POINT,أسماء ثانوية
ابو قطنه,"[[38.934646, 24.310791]]",POINT,أسماء ثانوية
ابو محاله,"[[37.220349, 27.028642]]",POINT,أسماء ثانوية
ابو مدحمه,"[[38.139274, 26.776664]]",POINT,أسماء ثانوية
ابيتر,"[[37.873414, 24.300663]]",POINT,أسماء ثانوية
ابيرق اللحم,"[[40.924587, 22.892933]]",POINT,أسماء ثانوية
اسكان الملك عبدالله,"[[37.605729, 24.354908]]",POINT,أسماء ثانوية
اشهب ابرقية,"[[40.781765, 25.013981]]",POINT,أسماء ثانوية
اصفر السيافية,"[[41.376057, 25.451374]]",POINT,أسماء ثانوية
اصفر الطريق,"[[41.323614, 25.460536]]",POINT,أسماء ثانوية
اعيوج,"[[40.969434, 25.318058]]",POINT,أسماء ثانوية
الأبرقية,"[[39.358327, 26.45834]]",POINT,أسماء ثانوية
الأبيار,"[[39.783618, 23.513618]]",POINT,أسماء ثانوية
الأثبة,"[[37.608325, 26.188059]]",POINT,أسماء ثانوية
الأثوبية,"[[39.104161, 24.021671]]",POINT,أسماء ثانوية
الأثيبة,"[[38.93044, 24.255302]]",POINT,أسماء ثانوية
الأحمر,"[[38.825834, 23.84722]]",POINT,أسماء ثانوية
الأخيش,"[[39.72918, 23.722229]]",POINT,أسماء ثانوية
الأرطاوي,"[[40.687501, 24.329438]]",POINT,أسماء ثانوية
الأشعب,"[[39.147227, 23.916678]]",POINT,أسماء ثانوية
الأشعر,"[[38.938894, 24.440289]]",POINT,أسماء ثانوية
الأصفر,"[[38.772211, 23.766668]]",POINT,أسماء ثانوية
الأصيم,"[[42.024443, 24.292788]]",POINT,أسماء ثانوية
الأكحل,"[[39.857476, 23.300693]]",POINT,أسماء ثانوية
الأكحلية,"[[38.951941, 24.764729]]",POINT,أسماء ثانوية
الاباهي,"[[40.795262, 24.319525]]",POINT,أسماء ثانوية
الاقيرع,"[[37.79284, 27.341344]]",POINT,أسماء ثانوية
الاقيمريه,"[[38.95061, 24.206893]]",POINT,أسماء ثانوية
البئر النبطية,"[[37.955704, 26.792328]]",POINT,أسماء ثانوية
البتراء,"[[38.232594, 26.514816]]",POINT,أسماء ثانوية
البتراء,"[[38.958335, 23.749995]]",POINT,أسماء ثانوية
البحره,"[[39.518766, 23.19628]]",POINT,أسماء ثانوية
البحير,"[[39.266317, 25.728929]]",POINT,أسماء ثانوية
البدع,"[[39.404161, 26.162503]]",POINT,أسماء ثانوية
البديع,"[[39.022965, 23.758085]]",POINT,أسماء ثانوية
البديع,"[[41.51315, 24.233801]]",POINT,أسماء ثانوية
البديعة,"[[39.980557, 24.576395]]",POINT,أسماء ثانوية
البرقاء الخضراء,"[[38.648357, 23.850975]]",POINT,أسماء ثانوية
البركة,"[[38.375008, 24.256396]]",POINT,أسماء ثانوية
البريراء,"[[39.783339, 23.133323]]",POINT,أسماء ثانوية
البريشه,"[[39.879706, 24.42971]]",POINT,أسماء ثانوية
البزواء,"[[38.750002, 23.499992]]",POINT,أسماء ثانوية
البسيسيه,"[[38.936663, 24.211957]]",POINT,أسماء ثانوية
البقيعة,"[[39.892216, 22.967498]]",POINT,أسماء ثانوية
البلاطيم,"[[37.500007, 26.249728]]",POINT,أسماء ثانوية
البوميه,"[[39.027793, 24.166017]]",POINT,أسماء ثانوية
البويب,"[[38.666554, 26.635988]]",POINT,أسماء ثانوية
البويره,"[[39.685471, 23.435318]]",POINT,أسماء ثانوية
البيضاء,"[[37.83273, 24.336004]]",POINT,أسماء ثانوية
البييض,"[[38.069236, 25.152533]]",POINT,أسماء ثانوية
الثبرة,"[[39.778898, 23.786387]]",POINT,أسماء ثانوية
الثبرة,"[[39.216664, 23.375001]]",POINT,أسماء ثانوية
الثلاث,"[[40.80554, 23.097939]]",POINT,أسماء ثانوية
الثمامي,"[[38.942435, 24.113188]]",POINT,أسماء ثانوية
الثميد,"[[37.94167, 26.963882]]",POINT,أسماء ثانوية
الجابري,"[[39.83752, 23.493834]]",POINT,أسماء ثانوية
الجابرية,"[[38.44245, 26.502285]]",POINT,أسماء ثانوية
الجبلة,"[[38.84639, 24.032786]]",POINT,أسماء ثانوية
الجحفة,"[[38.797016, 26.11918]]",POINT,أسماء ثانوية
الجحفة,"[[41.058183, 25.144658]]",POINT,أسماء ثانوية
الجذاة,"[[38.334174, 26.691391]]",POINT,أسماء ثانوية
الجردوح,"[[39.188747, 24.307144]]",POINT,أسماء ثانوية
الجرف,"[[39.133322, 24.066668]]",POINT,أسماء ثانوية
الجرف,"[[39.565544, 24.515583]]",POINT,أسماء ثانوية
الجرنافه,"[[39.95455, 23.133559]]",POINT,أسماء ثانوية
الجصة,"[[39.612172, 24.376259]]",POINT,أسماء ثانوية
الجضعاء,"[[39.20748, 24.054694]]",POINT,أسماء ثانوية
الجعفرة,"[[38.926384, 24.401107]]",POINT,أسماء ثانوية
الجعفرية,"[[39.227221, 24.274442]]",POINT,أسماء ثانوية
الجفر,"[[39.353328, 26.370277]]",POINT,أسماء ثانوية
الجفينة,"[[38.049989, 24.237492]]",POINT,أسماء ثانوية
الجلويه,"[[39.257455, 23.837607]]",POINT,أسماء ثانوية
الجليجلة,"[[38.411937, 24.426384]]",POINT,أسماء ثانوية
الجم,"[[38.677218, 25.04945]]",POINT,أسماء ثانوية
الجميز,"[[39.779177, 23.466668]]",POINT,أسماء ثانوية
الجندبية,"[[39.557497, 24.602788]]",POINT,أسماء ثانوية
الجو,"[[37.273908, 27.083981]]",POINT,أسماء ثانوية
الجيفة,"[[37.409027, 27.045293]]",POINT,أسماء ثانوية
الحاوي,"[[40.991106, 23.111393]]",POINT,أسماء ثانوية
الحبال,"[[38.899992, 23.499992]]",POINT,أسماء ثانوية
الحبس,"[[39.730554, 24.519446]]",POINT,أسماء ثانوية
الحجر,"[[39.070559, 26.016119]]",POINT,أسماء ثانوية
الحديثيه,"[[38.917222, 24.230282]]",POINT,أسماء ثانوية
