name,lon_lat,coor_type
آرة,"[[39.641676, 23.230569]]",POINT
أبا اليمين,"[[38.833322, 23.950002]]",POINT
أبارق بينة,"[[39.108324, 23.866661]]",POINT
أبرق العزاف,"[[40.826697, 25.05121]]",POINT
أبرق القوز,"[[40.920553, 24.612508]]",POINT
أبرق النفيلي,"[[41.251388, 24.854164]]",POINT
أبو حمارة,"[[39.411113, 24.486101]]",POINT
أبو خشب,"[[39.354422, 26.21958]]",POINT
أبو زرائب,"[[38.041663, 26.374998]]",POINT
أبو زرايب,"[[38.898339, 26.169991]]",POINT
أبو سرب,"[[39.310563, 24.391665]]",POINT
أبو وشيع,"[[39.307301, 25.735323]]",POINT
أبو وشيع,"[[39.308331, 25.734723]]",POINT
أرابن,"[[38.880572, 23.843615]]",POINT
أكباد,"[[37.139432, 27.163331]]",POINT
أم الحدج,"[[38.302224, 24.081666]]",POINT
أم العقارب,"[[39.270823, 24.326391]]",POINT
أم العيال,"[[39.569321, 23.256919]]",POINT
أم راكة,"[[38.166397, 25.500834]]",POINT
أم زرايب,"[[41.670821, 25.062497]]",POINT
أم كدا,"[[39.25945, 25.719316]]",POINT
أم كشد,"[[39.272218, 23.258336]]",POINT
أم هدم,"[[37.883327, 26.355557]]",POINT
أم هشيم,"[[37.974994, 26.617491]]",POINT
أمول,"[[37.783334, 26.216662]]",POINT
ابالظهور,"[[37.8964379, 25.1848614]]",POINT
ابرق العشار,"[[37.870431, 27.221117]]",POINT
ابرق اللعباء,"[[40.83807, 24.550667]]",POINT
ابرق طامية,"[[41.891212, 24.102974]]",POINT
ابرق نعيمان,"[[41.858425, 24.857941]]",POINT
ابو بريقة,"[[39.809582, 24.962955]]",POINT
ابو ضباع,"[[37.388105, 27.163911]]",POINT
ابو عريعره,"[[38.981252, 24.319546]]",POINT
ابو قطنه,"[[38.934646, 24.310791]]",POINT
ابو محاله,"[[37.220349, 27.028642]]",POINT
ابو مدحمه,"[[38.139274, 26.776664]]",POINT
ابيتر,"[[37.873414, 24.300663]]",POINT
ابيرق اللحم,"[[40.924587, 22.892933]]",POINT
اسكان الملك عبدالله,"[[37.605729, 24.354908]]",POINT
اشهب ابرقية,"[[40.781765, 25.013981]]",POINT
اصفر السيافية,"[[41.376057, 25.451374]]",POINT
اصفر الطريق,"[[41.323614, 25.460536]]",POINT
اعيوج,"[[40.969434, 25.318058]]",POINT
الأبرقية,"[[39.358327, 26.45834]]",POINT
الأبيار,"[[39.783618, 23.513618]]",POINT
الأثبة,"[[37.608325, 26.188059]]",POINT
الأثوبية,"[[39.104161, 24.021671]]",POINT
الأثيبة,"[[38.93044, 24.255302]]",POINT
الأحمر,"[[38.825834, 23.84722]]",POINT
الأخيش,"[[39.72918, 23.722229]]",POINT
الأرطاوي,"[[40.687501, 24.329438]]",POINT
الأشعب,"[[39.147227, 23.916678]]",POINT
الأشعر,"[[38.938894, 24.440289]]",POINT
الأصفر,"[[38.772211, 23.766668]]",POINT
الأصيم,"[[42.024443, 24.292788]]",POINT
الأكحل,"[[39.857476, 23.300693]]",POINT
الأكحلية,"[[38.951941, 24.764729]]",POINT
الاباهي,"[[40.795262, 24.319525]]",POINT
الاقيرع,"[[37.79284, 27.341344]]",POINT
الاقيمريه,"[[38.95061, 24.206893]]",POINT
البئر النبطية,"[[37.955704, 26.792328]]",POINT
البتراء,"[[38.232594, 26.514816]]",POINT
البتراء,"[[38.958335, 23.749995]]",POINT
البحره,"[[39.518766, 23.19628]]",POINT
البحير,"[[39.266317, 25.728929]]",POINT
البدع,"[[39.404161, 26.162503]]",POINT
البديع,"[[39.022965, 23.758085]]",POINT
البديع,"[[41.51315, 24.233801]]",POINT
البديعة,"[[39.980557, 24.576395]]",POINT
البرقاء الخضراء,"[[38.648357, 23.850975]]",POINT
البركة,"[[38.375008, 24.256396]]",POINT
البريراء,"[[39.783339, 23.133323]]",POINT
البريشه,"[[39.879706, 24.42971]]",POINT
البزواء,"[[38.750002, 23.499992]]",POINT
البسيسيه,"[[38.936663, 24.211957]]",POINT
البقيعة,"[[39.892216, 22.967498]]",POINT
البلاطيم,"[[37.500007, 26.249728]]",POINT
البوميه,"[[39.027793, 24.166017]]",POINT
البويب,"[[38.666554, 26.635988]]",POINT
البويره,"[[39.685471, 23.435318]]",POINT
البيضاء,"[[37.83273, 24.336004]]",POINT
البييض,"[[38.069236, 25.152533]]",POINT
الثبرة,"[[39.778898, 23.786387]]",POINT
الثبرة,"[[39.216664, 23.375001]]",POINT
الثلاث,"[[40.80554, 23.097939]]",POINT
الثمامي,"[[38.942435, 24.113188]]",POINT
الثميد,"[[37.94167, 26.963882]]",POINT
الجابري,"[[39.83752, 23.493834]]",POINT
الجابرية,"[[38.44245, 26.502285]]",POINT
الجبلة,"[[38.84639, 24.032786]]",POINT
الجحفة,"[[38.797016, 26.11918]]",POINT
الجحفة,"[[41.058183, 25.144658]]",POINT
الجذاة,"[[38.334174, 26.691391]]",POINT
الجردوح,"[[39.188747, 24.307144]]",POINT
الجرف,"[[39.133322, 24.066668]]",POINT
الجرف,"[[39.565544, 24.515583]]",POINT
الجرنافه,"[[39.95455, 23.133559]]",POINT
الجصة,"[[39.612172, 24.376259]]",POINT
الجضعاء,"[[39.20748, 24.054694]]",POINT
الجعفرة,"[[38.926384, 24.401107]]",POINT
الجعفرية,"[[39.227221, 24.274442]]",POINT
الجفر,"[[39.353328, 26.370277]]",POINT
الجفينة,"[[38.049989, 24.237492]]",POINT
الجلويه,"[[39.257455, 23.837607]]",POINT
الجليجلة,"[[38.411937, 24.426384]]",POINT
الجم,"[[38.677218, 25.04945]]",POINT
الجميز,"[[39.779177, 23.466668]]",POINT
الجندبية,"[[39.557497, 24.602788]]",POINT
الجو,"[[37.273908, 27.083981]]",POINT
الجيفة,"[[37.409027, 27.045293]]",POINT
الحاوي,"[[40.991106, 23.111393]]",POINT
الحبال,"[[38.899992, 23.499992]]",POINT
الحبس,"[[39.730554, 24.519446]]",POINT
الحجر,"[[39.070559, 26.016119]]",POINT
الحديثيه,"[[38.917222, 24.230282]]",POINT
الحرم,"[[39.611206, 24.468784]]",POINT
الحسون,"[[36.748581, 27.106361]]",POINT
الحشاه,"[[37.380316, 26.395898]]",POINT
الحشفه,"[[38.899863, 24.12087]]",POINT
الحصانة,"[[39.994161, 24.470286]]",POINT
الحصون,"[[39.277453, 25.714273]]",POINT
الحصيد,"[[39.40062, 25.554457]]",POINT
الحصين,"[[39.515827, 23.161111]]",POINT
الحفيرة,"[[39.311121, 26.000004]]",POINT
الحفيرة,"[[40.358319, 23.004169]]",POINT
