name,lon_lat,coor_type
آجل,"[[37.51801, 24.639008]]",POINT
أبو الدود,"[[39.538894, 24.643321]]",POINT
أبو خرجين,"[[40.208716, 23.300693]]",POINT
أبو شيمات,"[[40.440588, 25.169721]]",POINT
أبو طينة,"[[37.855282, 26.349163]]",POINT
أبو مغطاة,"[[38.804162, 23.777783]]",POINT
أدمان,"[[38.800364, 23.769951]]",POINT
أم البرك,"[[39.2272, 23.419268]]",POINT
أم العراد,"[[40.567703, 22.867012]]",POINT
أم العوشز,"[[40.99705, 23.343222]]",POINT
أم العيال,"[[39.569836, 23.259602]]",POINT
أم اللحيين,"[[39.78982, 24.527385]]",POINT
أم بحيرة,"[[39.453943, 23.59844]]",POINT
أم شكاعا,"[[40.8338, 24.33506]]",POINT
أم صويح,"[[39.05086, 23.765488]]",POINT
أم عبس,"[[39.101007, 23.762462]]",POINT
أم هشبم,"[[39.437056, 25.018272]]",POINT
أميرة,"[[38.101273, 25.612907]]",POINT
إدقس,"[[39.499176, 23.609447]]",POINT
ابا البقر,"[[39.238551, 25.810962]]",POINT
ابار البدائع,"[[41.853297, 24.360616]]",POINT
ابار الماشي,"[[39.555716, 24.221892]]",POINT
ابار مليحة,"[[41.069641, 23.598118]]",POINT
ابو أراكة,"[[37.187991, 27.102499]]",POINT
ابو تناضم,"[[39.239709, 24.240582]]",POINT
ابو حامض,"[[38.401852, 24.330039]]",POINT
ابو حرامل,"[[38.291988, 25.576]]",POINT
ابو ضباع,"[[39.559021, 23.198318]]",POINT
ابو مغير,"[[41.358526, 24.740546]]",POINT
ابو نمصات,"[[40.216141, 24.872875]]",POINT
ابيار الماشي,"[[39.567497, 24.17769]]",POINT
ابيار علي,"[[39.551361, 24.416192]]",POINT
اثره,"[[38.961124, 24.007595]]",POINT
ارامكو,"[[41.03194, 24.098382]]",POINT
اركه,"[[39.085686, 24.143271]]",POINT
ارينبة,"[[41.278059, 24.309375]]",POINT
اسلام,"[[39.4015, 23.961482]]",POINT
اغثرية,"[[41.120818, 24.427264]]",POINT
اغنب,"[[37.363408, 26.42729]]",POINT
اكيهف,"[[38.944366, 24.327958]]",POINT
ال بخيت,"[[39.087253, 24.04609]]",POINT
ال مطيع,"[[40.455265, 25.01838]]",POINT
الأحامرية,"[[40.55382, 23.682575]]",POINT
الأسطح,"[[39.054337, 23.57563]]",POINT
الأشراف,"[[38.434167, 24.32416]]",POINT
الأصيحر,"[[40.372932, 22.603426]]",POINT
الأكحل,"[[39.860458, 23.31522]]",POINT
الاب,"[[38.895807, 24.0639]]",POINT
الابرقين,"[[39.003653, 24.298861]]",POINT
الاثود,"[[39.006314, 24.033945]]",POINT
الاحمر,"[[38.082347, 24.677546]]",POINT
البتراء,"[[39.402788, 24.611113]]",POINT
البثنة,"[[38.484271, 24.404218]]",POINT
البحرة,"[[39.360731, 25.533321]]",POINT
البختية,"[[40.656946, 23.1109]]",POINT
البدائع,"[[41.213064, 25.132492]]",POINT
البديع,"[[38.18558, 25.31426]]",POINT
البديعة,"[[41.177874, 25.094147]]",POINT
البر يكه,"[[37.785437, 27.337332]]",POINT
البراقية,"[[40.42177, 22.832251]]",POINT
البرايكة,"[[38.718395, 24.406021]]",POINT
البرث,"[[39.38899, 26.070986]]",POINT
البردية,"[[39.602945, 24.046347]]",POINT
البركة,"[[38.859158, 23.817694]]",POINT
البستان,"[[39.243679, 23.277969]]",POINT
البضيع,"[[38.530555, 23.61582]]",POINT
البقارية,"[[38.500772, 24.477303]]",POINT
البقاع,"[[38.599134, 24.382825]]",POINT
البلاطة,"[[37.389951, 26.675921]]",POINT
البنانية,"[[39.117508, 23.910069]]",POINT
البوير,"[[39.37118, 23.983412]]",POINT
البويرات,"[[38.962519, 24.74237]]",POINT
الترباعه,"[[39.098775, 24.232943]]",POINT
التنيضبيه,"[[39.138043, 24.202216]]",POINT
الثعلة,"[[39.841661, 24.679821]]",POINT
الثمامة,"[[39.261618, 24.279163]]",POINT
الثمامي,"[[39.106264, 24.096]]",POINT
الثمامية,"[[38.895786, 23.848164]]",POINT
الثميلة,"[[39.035561, 23.933587]]",POINT
الثويلة,"[[38.037951, 24.96937]]",POINT
الجابرية,"[[38.400564, 24.29472]]",POINT
الجارة,"[[39.239387, 24.459772]]",POINT
الجديدة,"[[38.904154, 23.887174]]",POINT
الجريسية,"[[40.8182, 23.589535]]",POINT
الجفدور,"[[39.1698, 24.853628]]",POINT
الجفر,"[[39.155037, 24.405162]]",POINT
الجميزه,"[[40.199447, 23.378327]]",POINT
الجميماء,"[[40.848348, 23.673069]]",POINT
الجهنان,"[[39.064958, 24.185178]]",POINT
الجوابرة,"[[38.898489, 24.193676]]",POINT
الجوفه,"[[38.938873, 24.275107]]",POINT
الجياسر,"[[41.813235, 23.983862]]",POINT
الحار,"[[39.112573, 23.968005]]",POINT
الحار السفلى,"[[39.91024, 24.502087]]",POINT
الحار العليا,"[[39.951611, 24.558392]]",POINT
الحبشة,"[[38.044131, 24.94169]]",POINT
الحبلى,"[[40.877423, 24.967225]]",POINT
الحجرية,"[[40.295427, 23.816621]]",POINT
الحجيلي,"[[39.100921, 24.098639]]",POINT
الحدجة,"[[40.891242, 24.899805]]",POINT
الحراضة,"[[39.412165, 24.27206]]",POINT
الحربية,"[[41.500618, 23.999484]]",POINT
الحرضه,"[[39.267111, 25.761716]]",POINT
الحريشي,"[[38.958485, 24.011199]]",POINT
الحسكة,"[[38.846262, 23.785143]]",POINT
الحسكة,"[[38.828216, 23.794413]]",POINT
الحسو,"[[41.611254, 24.609783]]",POINT
الحسيات,"[[38.483434, 25.540724]]",POINT
الحسينيه,"[[38.898103, 23.853464]]",POINT
الحصين,"[[38.096123, 25.059557]]",POINT
الحفاة,"[[39.293461, 23.746777]]",POINT
الحفي,"[[38.910012, 23.857627]]",POINT
الحفي,"[[38.917265, 24.095764]]",POINT
الحفيرة,"[[39.258807, 26.438684]]",POINT
الحفيرة,"[[40.500755, 22.595615]]",POINT
الحلقات,"[[37.903347, 24.787109]]",POINT
الحمراء,"[[38.875937, 23.941526]]",POINT
الحناكية,"[[40.518394, 24.877875]]",POINT
الحوية,"[[38.059537, 24.35154]]",POINT
الخافضة,"[[39.349873, 26.025581]]",POINT
الخبيب,"[[40.700011, 23.300006]]",POINT
الخرار,"[[39.163363, 24.196744]]",POINT
الخراوع,"[[39.65116, 26.195612]]",POINT
الخربقاء,"[[39.096458, 24.091794]]",POINT
الخرماء,"[[38.891044, 23.901744]]",POINT
الخريبة,"[[37.9152135, 26.659551]]",POINT
الخريشاء,"[[38.180881, 25.164142]]",POINT
الخزيميه,"[[39.083455, 24.227471]]",POINT
الخشيبة,"[[37.966669, 26.308329]]",POINT
الخشيبي,"[[38.780322, 23.815591]]",POINT
الخشيرمة,"[[39.101028, 24.093425]]",POINT
الخضراء,"[[39.861403, 24.740138]]",POINT
الخضيرة,"[[39.361117, 24.588883]]",POINT
الخفيق,"[[40.266781, 23.029232]]",POINT
الخنيقة,"[[39.20675, 24.288561]]",POINT
الخوصة,"[[38.715219, 24.403467]]",POINT
الخويع,"[[38.917222, 23.880973]]",POINT
الخيمة,"[[38.074172, 23.248894]]",POINT
الداره,"[[38.488626, 25.208988]]",POINT
الدبة,"[[38.873534, 23.924317]]",POINT
الدبيبة,"[[39.021077, 24.019933]]",POINT
الدثير,"[[40.128229, 24.894612]]",POINT
الدحو,"[[39.661331, 23.830569]]",POINT
الدحيلة,"[[39.354401, 25.330353]]",POINT
الدميثة,"[[40.595705, 23.272927]]",POINT
الدميثه,"[[40.39366, 22.806952]]",POINT
الدواره,"[[39.429374, 24.320276]]",POINT
الدوداء,"[[39.395814, 24.092395]]",POINT
الديسة,"[[39.4274, 25.589497]]",POINT
الراحة,"[[38.969622, 24.220927]]",POINT
الراس الابيض,"[[38.55624, 23.53838]]",POINT
الراشديه,"[[39.038866, 23.623889]]",POINT
الراغيه,"[[39.416735, 23.969979]]",POINT
الراية,"[[38.799355, 24.467025]]",POINT
