name,lon_lat,coor_type
بركة عائشه,"[[39.087961, 23.926785]]",POINT
بركة مريفه,"[[39.124589, 23.950946]]",POINT
خبراء الحاج,"[[40.782108, 22.685909]]",POINT
خبراء السليم,"[[39.350109, 25.216713]]",POINT
خبراء الني,"[[40.529079, 22.675781]]",POINT
خبراء ام طليحة,"[[37.877791, 27.289739]]",POINT
خبراء جعيري,"[[38.617287, 26.71257]]",POINT
خبراء محمد,"[[40.501614, 22.737236]]",POINT
خبراء هشيم,"[[39.296401, 26.611977]]",POINT
روض البهم,"[[39.664271, 24.079778]]",POINT
روضة الأسفعية,"[[37.985401, 24.903603]]",POINT
روضة الجريرة,"[[39.428129, 25.246003]]",POINT
روضة الحرضة,"[[38.083248, 25.1441]]",POINT
روضة الديسة,"[[37.962742, 24.86721]]",POINT
روضة الرايغة,"[[39.828529, 23.717766]]",POINT
روضة السكرى,"[[39.866853, 26.118622]]",POINT
روضة القرارة,"[[39.996414, 23.682382]]",POINT
روضة القرين,"[[39.44845, 25.214803]]",POINT
روضة القعودية,"[[38.079472, 25.114918]]",POINT
روضة الناقة,"[[38.038745, 26.905239]]",POINT
روضة الهايس,"[[38.038917, 26.895475]]",POINT
روضة الهبيرة,"[[39.942641, 25.594475]]",POINT
روضة الواسطيه,"[[39.060087, 24.188204]]",POINT
روضة ام العمر,"[[39.21911, 25.84995]]",POINT
روضة براك,"[[38.250511, 24.438958]]",POINT
روضة خاخ,"[[39.562433, 24.316049]]",POINT
روضة خاخ,"[[39.562433, 24.316049]]",POINT
روضة ذيالة,"[[39.849472, 25.168819]]",POINT
روضة سعيد,"[[38.373163, 24.688489]]",POINT
روضة صبير,"[[40.331497, 23.073692]]",POINT
روضة طرفان,"[[38.133481, 26.787372]]",POINT
روضة معلث,"[[39.067404, 24.141383]]",POINT
روضة نصار,"[[38.824053, 24.23717]]",POINT
رويضة المخيريق,"[[40.154514, 23.035069]]",POINT
رويضة الوبراء,"[[40.160007, 23.005714]]",POINT
رياض غنوما,"[[39.748192, 25.974083]]",POINT
سد ابو صليله,"[[40.474877, 25.052218]]",POINT
سد احامر,"[[40.420826, 25.250852]]",POINT
سد البنت,"[[39.362705, 25.484998]]",POINT
سد الترعة,"[[39.050302, 24.015577]]",POINT
سد الحصيد,"[[39.385815, 25.551023]]",POINT
سد الخليل,"[[39.516149, 24.635596]]",POINT
سد الفارعه,"[[37.036178, 27.17906]]",POINT
سد الفرعه,"[[38.49266, 24.480951]]",POINT
سد القصيبة,"[[39.250009, 25.616663]]",POINT
سد النحيته,"[[40.377932, 25.212615]]",POINT
سد اميرة,"[[38.105564, 25.58085]]",POINT
سد سراء,"[[39.091888, 26.410124]]",POINT
سد غراب,"[[40.36289, 25.240123]]",POINT
سد ملل,"[[39.289877, 24.370379]]",POINT
سد نجد,"[[37.024376, 26.818142]]",POINT
شعاب الرمرمية,"[[40.61903, 23.428881]]",POINT
شعب,"[[38.931663, 23.905563]]",POINT
شعب مرموماء,"[[38.855059, 24.077203]]",POINT
شعبان اذيخران,"[[40.12737, 23.966095]]",POINT
شعبان اذيخران,"[[40.127392, 23.963842]]",POINT
شعبان السحق,"[[40.863905, 25.543513]]",POINT
شعبان السليم,"[[40.80436, 23.757827]]",POINT
شعبان السليم,"[[40.798438, 23.759887]]",POINT
شعبان السليم,"[[40.770736, 23.771968]]",POINT
شعبان الضويهرية,"[[40.285428, 24.69424]]",POINT
شعبان الضويهرية,"[[40.257297, 24.747155]]",POINT
شعبان الضويهرية,"[[40.239658, 24.761639]]",POINT
شعبان العشار,"[[38.60085, 25.435367]]",POINT
شعبان المخيط,"[[38.840361, 25.625567]]",POINT
شعبان المخيط,"[[38.982174, 25.600569]]",POINT
شعبان المعدن,"[[40.901005, 23.654981]]",POINT
شعبان سديرات,"[[39.004211, 25.654278]]",POINT
شعبان غضيرة,"[[40.996943, 23.615391]]",POINT
شعيب ابرق طامية,"[[41.869841, 24.080207]]",POINT
شعيب ابو بريقة,"[[39.90612, 24.956989]]",POINT
شعيب ابو تنيضبة,"[[40.18537, 23.813574]]",POINT
شعيب ابو حراقة,"[[38.3534, 25.39906]]",POINT
شعيب ابو حرامل,"[[40.791979, 25.50504]]",POINT
شعيب ابو خريط,"[[41.698737, 23.681095]]",POINT
شعيب ابو خريط,"[[41.710646, 23.834925]]",POINT
شعيب ابو دغيم,"[[40.244422, 23.949637]]",POINT
شعيب ابو دوح,"[[40.398188, 25.253363]]",POINT
شعيب ابو دومة,"[[40.619073, 23.784456]]",POINT
شعيب ابو دومة,"[[40.586801, 23.741455]]",POINT
شعيب ابو رصفة الغربي,"[[37.890472, 25.528128]]",POINT
شعيب ابو رمادة,"[[39.675729, 25.778196]]",POINT
شعيب ابو رمثة,"[[41.456351, 23.847907]]",POINT
شعيب ابو ريكة,"[[40.283153, 23.808703]]",POINT
شعيب ابو زرائب,"[[38.481996, 25.423758]]",POINT
شعيب ابو سالم,"[[40.37394, 23.597045]]",POINT
شعيب ابو سدرة,"[[40.016692, 24.087782]]",POINT
شعيب ابو سليمات,"[[39.534409, 25.957174]]",POINT
شعيب ابو سليمات,"[[39.473898, 25.957024]]",POINT
شعيب ابو سليمات,"[[39.569364, 25.229952]]",POINT
شعيب ابو سليمات,"[[39.823723, 25.084813]]",POINT
شعيب ابو سليمات,"[[39.986587, 24.836826]]",POINT
شعيب ابو سمرة,"[[40.18919, 23.584535]]",POINT
شعيب ابو شملة,"[[40.384455, 23.658264]]",POINT
شعيب ابو صفا,"[[41.692214, 24.621692]]",POINT
شعيب ابو عرفج,"[[41.428907, 23.88962]]",POINT
شعيب ابو عيال,"[[41.342089, 24.92491]]",POINT
شعيب ابو قيعان,"[[41.451373, 24.779985]]",POINT
شعيب ابو مراغ,"[[40.870428, 23.62848]]",POINT
شعيب ابو مراغ,"[[40.86884, 23.71165]]",POINT
