name,lon_lat,coor_type
الجبل الابيض,"[[39.970837, 25.659428]]",POINT
ثور,"[[39.610004, 24.556932]]",POINT
جال الدهسة,"[[39.489369, 26.389697]]",POINT
جبار,"[[39.491665, 26.163898]]",POINT
جبال  مطان,"[[39.840782, 24.227836]]",POINT
جبال أم فحي,"[[38.881946, 24.017551]]",POINT
جبال ابا الدود,"[[38.559244, 26.074805]]",POINT
جبال ابا الرضمان,"[[38.058701, 25.563641]]",POINT
جبال ابا الكثاء,"[[38.57317, 25.480556]]",POINT
جبال ابرقية,"[[40.813909, 25.046725]]",POINT
جبال ابقريه,"[[41.349943, 23.957062]]",POINT
جبال ابو بردية,"[[39.326248, 26.152782]]",POINT
جبال ابو جبيات,"[[39.318523, 26.208401]]",POINT
جبال ابو خشعة,"[[38.263149, 25.340481]]",POINT
جبال ابو ذرو,"[[37.565174, 25.816154]]",POINT
جبال ابو رجلين,"[[40.082932, 23.497181]]",POINT
جبال ابو رمثة,"[[40.74091, 23.983154]]",POINT
جبال ابو صويرة,"[[38.101273, 25.348721]]",POINT
جبال ابو ضرمة,"[[38.257999, 25.130024]]",POINT
جبال ابو طاقة,"[[37.847986, 26.991155]]",POINT
جبال ابو طريفة,"[[37.886353, 25.670757]]",POINT
جبال ابو طريفية,"[[38.688011, 26.006012]]",POINT
جبال ابو قدور,"[[38.865166, 24.905491]]",POINT
جبال ابو نمص,"[[39.017601, 26.129436]]",POINT
جبال ابيض,"[[38.502445, 24.8909]]",POINT
جبال ابيض,"[[39.655151, 24.992867]]",POINT
جبال اربثة,"[[38.777618, 25.440044]]",POINT
جبال اظلم,"[[38.694019, 25.486565]]",POINT
جبال اظلم,"[[40.347655, 24.81112]]",POINT
جبال اظلم,"[[40.879161, 23.819432]]",POINT
جبال اظلم,"[[40.322721, 24.865987]]",POINT
جبال اكباد,"[[41.004925, 23.19128]]",POINT
جبال الاجرد,"[[38.737471, 24.731491]]",POINT
جبال الاراكنة,"[[39.381351, 26.283073]]",POINT
جبال الارشية,"[[41.320782, 23.19804]]",POINT
جبال الارمة,"[[38.335075, 25.066166]]",POINT
جبال الاشهب,"[[37.662892, 26.804409]]",POINT
جبال الاصقع,"[[40.789833, 24.966774]]",POINT
