name,lon_lat,coor_type
,"[[39.550159, 26.300218], [39.549451, 26.298416], [39.549129, 26.297343], [39.549, 26.296656], [39.549065, 26.295047], [39.549, 26.294339], [39.54885, 26.293395], [39.548829, 26.292536], [39.548678, 26.291764], [39.548614, 26.290669], [39.548507, 26.290283], [39.548163, 26.289833], [39.547563, 26.288738], [39.547069, 26.287472], [39.54664, 26.286657], [39.545953, 26.28552], [39.544301, 26.283116], [39.543593, 26.281679], [39.543035, 26.280863], [39.541962, 26.279747], [39.540997, 26.278632], [39.539988, 26.277258], [39.539194, 26.275971], [39.538465, 26.274705], [39.537799, 26.273654], [39.537199, 26.272795], [39.536319, 26.271722], [39.535911, 26.270993], [39.535739, 26.270285], [39.535632, 26.269169], [39.535503, 26.268611], [39.53501, 26.267645], [39.534452, 26.266723], [39.532735, 26.264319], [39.531984, 26.263418], [39.531105, 26.262474], [39.529345, 26.260114], [39.528315, 26.25917], [39.527521, 26.258354], [39.526749, 26.257453], [39.525268, 26.255071], [39.522843, 26.249213], [39.522479, 26.248698], [39.521492, 26.247475], [39.520569, 26.246402], [39.519775, 26.245308], [39.519238, 26.244085]]",LINESTRING
,"[[39.519238, 26.244085], [39.518487, 26.242819], [39.517736, 26.241832], [39.516406, 26.240244], [39.513724, 26.236382], [39.511814, 26.234107], [39.510827, 26.232862], [39.509947, 26.231854], [39.508295, 26.230137], [39.507394, 26.229451], [39.506471, 26.228614], [39.504411, 26.226597], [39.502287, 26.22443], [39.50115, 26.223335], [39.500227, 26.222284], [39.499068, 26.221104], [39.498382, 26.220267], [39.49645, 26.217349], [39.495871, 26.21664], [39.491193, 26.211469], [39.489112, 26.208487], [39.488361, 26.207242], [39.48761, 26.206298], [39.486537, 26.205118], [39.485765, 26.204324], [39.485292, 26.203616], [39.48467, 26.202908], [39.482632, 26.200719], [39.481945, 26.199667], [39.481044, 26.198552], [39.480336, 26.197758], [39.479113, 26.196685], [39.478877, 26.196406], [39.477503, 26.193595]]",LINESTRING
,"[[39.651117, 26.540287], [39.650903, 26.53945], [39.650795, 26.538742], [39.65071, 26.537733], [39.65086, 26.536596], [39.651139, 26.534987], [39.651396, 26.534278], [39.651632, 26.533334], [39.651654, 26.532669], [39.651589, 26.531811], [39.651697, 26.531081], [39.651761, 26.53033], [39.65174, 26.529686], [39.651632, 26.528785], [39.651289, 26.527669], [39.651096, 26.527197], [39.650753, 26.526017], [39.650838, 26.524687], [39.650817, 26.524236], [39.650388, 26.523399], [39.65013, 26.522112], [39.650066, 26.521339], [39.649916, 26.52061], [39.649744, 26.519473], [39.64968, 26.518486], [39.649701, 26.517434], [39.649658, 26.51634], [39.649572, 26.515868], [39.649208, 26.514688], [39.648521, 26.513143], [39.648285, 26.51207], [39.648156, 26.511683], [39.647899, 26.511233], [39.647405, 26.510546], [39.646912, 26.509752], [39.646611, 26.509001], [39.64601, 26.50722], [39.645517, 26.506062], [39.644551, 26.50413], [39.644122, 26.503401], [39.643843, 26.502414], [39.643564, 26.501641], [39.643328, 26.50059], [39.642899, 26.499324], [39.642534, 26.497908], [39.642341, 26.497328], [39.642062, 26.496792], [39.641418, 26.495869], [39.639981, 26.49338], [39.639552, 26.492865], [39.639251, 26.492608], [39.638779, 26.492286], [39.63835, 26.492114], [39.636655, 26.491728], [39.636075, 26.491492], [39.635732, 26.491256], [39.635003, 26.490526], [39.634252, 26.489689], [39.632964, 26.487951], [39.631827, 26.486728], [39.631505, 26.48602], [39.631183, 26.485012], [39.63099, 26.484089]]",LINESTRING
,"[[39.621184, 26.466966], [39.620175, 26.466258], [39.619038, 26.465313], [39.617622, 26.464069], [39.616163, 26.462975], [39.613287, 26.461], [39.606099, 26.455464], [39.602129, 26.452632], [39.600627, 26.451495], [39.600177, 26.451023], [39.599683, 26.450422], [39.599233, 26.449628], [39.599082, 26.449285], [39.599018, 26.449027], [39.599233, 26.445508], [39.599619, 26.441152], [39.599619, 26.439436], [39.59934, 26.437547], [39.598911, 26.435037], [39.598267, 26.432054], [39.597645, 26.429436], [39.59713, 26.42772], [39.596636, 26.425467], [39.595671, 26.420746], [39.595199, 26.418793], [39.594254, 26.415789], [39.594126, 26.41506], [39.594233, 26.414201], [39.594533, 26.413407], [39.595156, 26.410875]]",LINESTRING
,"[[39.659336, 26.651738], [39.660065, 26.649807], [39.660344, 26.648455], [39.660344, 26.646631], [39.660237, 26.64515], [39.660044, 26.644013], [39.659679, 26.642962], [39.659035, 26.641502], [39.658456, 26.639636], [39.658263, 26.638412], [39.658005, 26.635151], [39.657769, 26.633263], [39.657447, 26.631095], [39.657233, 26.629078], [39.657147, 26.62792], [39.657254, 26.625473], [39.657254, 26.624551], [39.657147, 26.6238], [39.656589, 26.621075], [39.656246, 26.620088], [39.655795, 26.618993], [39.655602, 26.618199], [39.655452, 26.615474], [39.65498, 26.612256], [39.654894, 26.610925], [39.654121, 26.604874], [39.653778, 26.603372], [39.653714, 26.602814], [39.653671, 26.60187], [39.653821, 26.599874], [39.653821, 26.599424], [39.653542, 26.59775], [39.653456, 26.596248]]",LINESTRING
,"[[39.595156, 26.410875], [39.595156, 26.409438], [39.595199, 26.408558], [39.59552, 26.407142], [39.595885, 26.405897], [39.595907, 26.404781], [39.595799, 26.403472], [39.595585, 26.402056], [39.595327, 26.39931], [39.595349, 26.398022], [39.595435, 26.396778], [39.595628, 26.395254], [39.595606, 26.39431], [39.595435, 26.393344], [39.595284, 26.39137], [39.595284, 26.38901], [39.595349, 26.386521], [39.595499, 26.384847], [39.59552, 26.383667], [39.59537, 26.382723], [39.594941, 26.381757], [39.594083, 26.380405], [39.593461, 26.379204], [39.592109, 26.375921], [39.591401, 26.374547], [39.590306, 26.372659], [39.589362, 26.370835], [39.588053, 26.368754], [39.586723, 26.36693], [39.586229, 26.366351], [39.585736, 26.365836], [39.585586, 26.365535], [39.585521, 26.36502], [39.585907, 26.363454], [39.585865, 26.362874], [39.585714, 26.362317], [39.585478, 26.362038], [39.58462, 26.361201], [39.582839, 26.35927], [39.582045, 26.358454], [39.58168, 26.358025], [39.579685, 26.356738], [39.578204, 26.355579]]",LINESTRING
,"[[39.578204, 26.355579], [39.576809, 26.354098], [39.57535, 26.35236], [39.57447, 26.351373], [39.573891, 26.350858], [39.573441, 26.350622], [39.571681, 26.350172], [39.571102, 26.349914], [39.570694, 26.349506], [39.570308, 26.349034], [39.569793, 26.348305], [39.569449, 26.34764], [39.569128, 26.346695], [39.568591, 26.345344], [39.56784, 26.343305], [39.567454, 26.342082], [39.567239, 26.341052], [39.567175, 26.341245], [39.567218, 26.340194], [39.567003, 26.339293], [39.566874, 26.338434], [39.566596, 26.337426], [39.56651, 26.336653], [39.566488, 26.335666], [39.566424, 26.334851], [39.566274, 26.334057], [39.566209, 26.33352], [39.566317, 26.332405], [39.566209, 26.33189], [39.565973, 26.331525], [39.565608, 26.331096], [39.564321, 26.329744], [39.563935, 26.329272], [39.56372, 26.328864], [39.563527, 26.328177], [39.563398, 26.327341], [39.563098, 26.32659], [39.56284, 26.325603], [39.56254, 26.324809], [39.562154, 26.323993], [39.561532, 26.323071], [39.560716, 26.321976], [39.560459, 26.321483], [39.560244, 26.320796], [39.559987, 26.320174], [39.559128, 26.318693], [39.558163, 26.316891], [39.557626, 26.315968], [39.556274, 26.31438], [39.555287, 26.312599], [39.554923, 26.311741], [39.554665, 26.311226], [39.554172, 26.310754], [39.553914, 26.310282], [39.552734, 26.308479], [39.551339, 26.305583], [39.551125, 26.304274], [39.551082, 26.302814], [39.550974, 26.302149], [39.550738, 26.30142], [39.550159, 26.300218]]",LINESTRING
,"[[39.653456, 26.596248], [39.653435, 26.594832], [39.65292, 26.590669], [39.652834, 26.589339], [39.652791, 26.586871], [39.652555, 26.584404], [39.652426, 26.582344], [39.651868, 26.579275], [39.651589, 26.577365], [39.651568, 26.575241], [39.651504, 26.574147], [39.651031, 26.570563], [39.650731, 26.567023], [39.650538, 26.564491], [39.650538, 26.562924], [39.650495, 26.561637], [39.650409, 26.560435], [39.650388, 26.556723], [39.650259, 26.555972], [39.650173, 26.553612], [39.650173, 26.552238], [39.650495, 26.550651], [39.650538, 26.549385], [39.650452, 26.54829], [39.650173, 26.546016], [39.650238, 26.545565], [39.650431, 26.544836], [39.650903, 26.543698], [39.650989, 26.543334], [39.650989, 26.542175], [39.65116, 26.540737], [39.651117, 26.540287]]",LINESTRING
,"[[39.63099, 26.484089], [39.630818, 26.482887], [39.630711, 26.482608], [39.630454, 26.482308], [39.628458, 26.480291], [39.627836, 26.47954], [39.625905, 26.477437], [39.624896, 26.47572], [39.624295, 26.47454], [39.623866, 26.473789], [39.623394, 26.472502], [39.622815, 26.471322], [39.622428, 26.470742], [39.622278, 26.470377], [39.622278, 26.469884], [39.622128, 26.46909], [39.621978, 26.468554], [39.621634, 26.46806], [39.62142, 26.467609], [39.621184, 26.466966], [39.620454, 26.464906], [39.619896, 26.463532], [39.618351, 26.458983], [39.617944, 26.457932], [39.617794, 26.457138], [39.617836, 26.456087], [39.618158, 26.454241], [39.618695, 26.452546], [39.620175, 26.448469], [39.620841, 26.446345], [39.621634, 26.443963], [39.622536, 26.441689], [39.623587, 26.439543], [39.624424, 26.437526], [39.625089, 26.435552], [39.626548, 26.431603], [39.626741, 26.430638], [39.62687, 26.428921], [39.627106, 26.427913]]",LINESTRING
,"[[39.64277, 26.372702], [39.642813, 26.371136], [39.642792, 26.370213], [39.642599, 26.369526], [39.643114, 26.3656], [39.643371, 26.364312], [39.643586, 26.363754], [39.644616, 26.362896], [39.64541, 26.361952], [39.646912, 26.360385], [39.648628, 26.358089], [39.6491, 26.357338], [39.650044, 26.355236], [39.651353, 26.351631], [39.652276, 26.347897], [39.653091, 26.343305], [39.653392, 26.341782], [39.653671, 26.340623], [39.654465, 26.337619], [39.655001, 26.335967], [39.655945, 26.333799], [39.656117, 26.333027], [39.656138, 26.33219], [39.656074, 26.331139], [39.656117, 26.330302], [39.656589, 26.326697], [39.656675, 26.325624], [39.656782, 26.323285], [39.656932, 26.322062], [39.657104, 26.321139], [39.657319, 26.320281], [39.657576, 26.319594], [39.657919, 26.317685], [39.657876, 26.31732], [39.657791, 26.317041], [39.657512, 26.316483]]",LINESTRING
