name,lon_lat,coor_type
اثار,"[[39.925904, 24.696987]]",POINT
اثار بني هلال,"[[39.929595, 24.687374]]",POINT
اثار قديمة,"[[37.93931, 26.602964]]",POINT
جسر هدية,"[[38.735111, 25.55083]]",POINT
جسر وادي الحمض,"[[38.825855, 25.275056]]",POINT
حصن خيبر الأثري,"[[39.267304, 25.730882]]",POINT
قلعة خيبر,"[[39.253142, 25.740752]]",POINT
قلعة زمرد,"[[38.380115, 26.170013]]",POINT
قلعة مرحب,"[[39.269815, 25.716913]]",POINT
قلعة هدية,"[[38.800342, 25.527656]]",POINT
محطة  قلعة الدار الحمراء,"[[37.798998, 27.345593]]",POINT
محطة أسطبل عنتر,"[[38.884649, 25.099168]]",POINT
محطة ابالنعم,"[[38.823924, 25.229266]]",POINT
محطة الطويرة,"[[38.610764, 25.885699]]",POINT
محطة العلا,"[[37.915406, 26.699867]]",POINT
محطة المدرج,"[[38.695736, 25.687752]]",POINT
محطة المطلع,"[[37.86998, 27.158096]]",POINT
محطة جدعة,"[[38.814847, 25.378439]]",POINT
محطة جديد,"[[38.559136, 26.026483]]",POINT
محطة حصلف,"[[37.860282, 26.897964]]",POINT
محطة قطار,"[[37.949309, 26.804731]]",POINT
محطة مربضاء,"[[38.499334, 25.10361]]",POINT
محطة مشهد,"[[38.174078, 26.410296]]",POINT
محطة هدية,"[[38.738565, 25.541368]]",POINT
محطة ويبان,"[[38.678656, 25.794117]]",POINT
نقوش ام اثره,"[[38.462276, 26.637232]]",POINT
قلعة العلا,"[[37.915299, 26.625967]]",POINT
متحف العلا,"[[37.9232656, 26.6087417]]",POINT
مدائن صالح,"[[37.9504643, 26.7870351]]",POINT
سوق غيقة,"[[38.947233, 23.6788475]]",POINT
ساحة معركة بدر,"[[38.7898673, 23.7723265]]",POINT
مقبرة شهداء بدر,"[[38.7890358, 23.7717668]]",POINT
موضع اثري يعود للعصر النبوي,"[[38.338855999999964, 25.678787]]",POINT
دادان,"[[37.91567199999997, 26.652362]]",POINT
قبور الأسود,"[[37.91591900000003, 26.64719]]",POINT
سوق الرحبة الأثري,"[[38.49796300000003, 24.420099]]",POINT
قصر البنت,"[[38.07140400000003, 24.975734]]",POINT
هداج,"[[38.07306249999999, 24.9724375]]",POINT
محطة قطار بواط,"[[39.21814169999993, 24.7019809]]",POINT
قرية العشيرة الاثرية,"[[38.41778399999998, 24.183122]]",POINT
