name,lon_lat,coor_type
النخيلات,"[[41.388931, 19.149771]]",POINT
الطويل,"[[41.540551, 19.190283]]",POINT
حدبة حمراء,"[[41.831946, 19.280019]]",POINT
الحدبه,"[[41.856387, 19.318063]]",POINT
السواد,"[[41.824179, 19.409451]]",POINT
منطقة جلة النضر,"[[41.835079, 19.457774]]",POINT
مزارع الهميسات,"[[40.360229, 21.928003]]",POINT
مسيال ملحة,"[[39.694784, 21.554875]]",POINT
مسيحه,"[[40.008602, 22.031064]]",POINT
مسيربة,"[[39.399998, 21.974995]]",POINT
مسيل أم سويد,"[[39.694076, 21.550391]]",POINT
مشاش البهم,"[[42.765656, 22.11462]]",POINT
مشبقة,"[[39.609168, 22.518325]]",POINT
مشقوق السمارة,"[[43.361835, 21.698749]]",POINT
مظلله,"[[42.300818, 21.03693]]",POINT
مغبال الحكاك,"[[39.283826, 22.789421]]",POINT
مقبرة القيم,"[[40.423143, 21.328948]]",POINT
مقبل,"[[39.424996, 22.470002]]",POINT
مقر الشديد,"[[41.155643, 22.760925]]",POINT
مقري حاسن,"[[40.202215, 21.212776]]",POINT
مقلع طمية,"[[41.139336, 22.901344]]",POINT
ملح,"[[39.308331, 22.361105]]",POINT
ملقي,"[[39.092703, 23.114398]]",POINT
مملحة القلاوه,"[[38.755023, 23.271146]]",POINT
مناحل ال زيد,"[[40.167861, 21.197476]]",POINT
مناحل الرادف,"[[40.19861, 21.216381]]",POINT
منازل الغران,"[[40.212514, 21.222217]]",POINT
منتجع الحدبان,"[[40.368061, 21.124456]]",POINT
منتزة الباحة,"[[40.844336, 20.822546]]",POINT
منتزه الحكره,"[[40.682266, 21.027789]]",POINT
منتزه السحير,"[[40.849228, 20.834842]]",POINT
منتزه سمنان البري,"[[40.526526, 21.220243]]",POINT
منطقة أضبار التاريخية,"[[40.914652, 20.400023]]",POINT
منطقة ابو شوك,"[[39.359357, 20.881898]]",POINT
منطقة ال السني,"[[40.908752, 20.26396]]",POINT
منطقة الجابيه,"[[38.954387, 23.436584]]",POINT
منطقة الجبيهة,"[[39.416671, 22.083335]]",POINT
منطقة الخضراء,"[[40.018044, 20.364339]]",POINT
منطقة الرقيق,"[[41.38067, 20.940435]]",POINT
منطقة السليل,"[[40.376987, 20.195189]]",POINT
منطقة الشفا السياحية,"[[40.3174, 21.071091]]",POINT
منطقة الصدر,"[[39.404483, 22.151742]]",POINT
منطقة المدرج,"[[40.417049, 20.079424]]",POINT
منطقة خليص,"[[39.323223, 22.144704]]",POINT
منطقة قريش,"[[41.069083, 20.60694]]",POINT
منطقة مدخله,"[[40.8868, 20.58883]]",POINT
منطقة هدا الشام,"[[39.702272, 21.796467]]",POINT
منطقة وراخ,"[[41.546216, 20.653846]]",POINT
منطقة و الجناب,"[[40.88135, 20.595996]]",POINT
منقور,"[[40.772796, 20.606296]]",POINT
مهبط طائرات,"[[41.197357, 21.323433]]",POINT
ميعس,"[[39.572217, 22.11668]]",POINT
ميقات الجحفه,"[[39.147012, 22.705092]]",POINT
ميقات قرن المنازل,"[[40.427349, 21.633239]]",POINT
ميناء القضيمه,"[[39.103539, 22.341728]]",POINT
ناب القليب,"[[40.241117, 21.273887]]",POINT
ناصفة الشهبان,"[[42.489967, 22.397347]]",POINT
ناضفة كحيل,"[[42.315044, 22.420177]]",POINT
نبع العين,"[[40.471101, 20.461285]]",POINT
نخب,"[[39.730554, 22.649989]]",POINT
نزلة الشوابح,"[[39.386673, 22.137215]]",POINT
نزلة العسوم,"[[39.364443, 22.121937]]",POINT
نزلة المزاريع,"[[39.337578, 22.127881]]",POINT
متنة الحاطب,"[[40.23277, 21.28305]]",POINT
محجوبة,"[[39.542477, 22.186182]]",POINT
محجوبة,"[[40.924995, 20.870826]]",POINT
محمية سجا وأم الرمث,"[[42.448168, 22.743137]]",POINT
محمية محازة الصيد,"[[41.849477, 22.25888]]",POINT
مخرجة,"[[39.116671, 22.791674]]",POINT
مخمرة,"[[39.487503, 22.437494]]",POINT
مدالج كلية,"[[39.241662, 22.5]]",POINT
مدثر,"[[39.351096, 20.94537]]",POINT
مدسوس,"[[39.650002, 23.041677]]",POINT
مرباع تهامه,"[[40.557082, 21.089866]]",POINT
مرسى الرياض,"[[40.312121, 20.097706]]",POINT
مرسى ذنيب,"[[39.050002, 22.616665]]",POINT
مرسى ذهبان,"[[39.009726, 21.984951]]",POINT
مرسى راكه,"[[40.42222, 20.051379]]",POINT
قبيلة,"[[39.099998, 23.07056]]",POINT
قدمة الحاشي,"[[41.480084, 21.792412]]",POINT
قدمة الذيب,"[[41.320438, 22.44627]]",POINT
قديد,"[[39.534817, 22.447085]]",POINT
قديد,"[[39.348779, 22.377713]]",POINT
قرانات الطماخي,"[[40.794232, 20.964189]]",POINT
قراين الظمية,"[[42.430122, 22.51266]]",POINT
قربى,"[[39.341676, 22.624991]]",POINT
قصير,"[[40.100248, 22.212617]]",POINT
قطينة,"[[39.358327, 22.649989]]",POINT
قف الشهيلاء,"[[41.160107, 22.59613]]",POINT
قهب الطيري,"[[43.365505, 22.456441]]",POINT
قهب الطيري,"[[43.365505, 22.456462]]",POINT
قور الجنغفة,"[[43.008621, 22.420735]]",POINT
قور ام الظمران,"[[42.87127, 22.52135]]",POINT
قور سلطانة,"[[42.810073, 22.526736]]",POINT
قوز ابو سرير,"[[39.482503, 22.351427]]",POINT
قوز الهمله,"[[39.903631, 20.444076]]",POINT
قيزان عذا,"[[42.871463, 22.44848]]",POINT
قيزان فلاح,"[[43.021753, 21.397119]]",POINT
كتنه,"[[39.540803, 21.989286]]",POINT
كشب,"[[41.499996, 23.000007]]",POINT
كلهف,"[[39.025004, 22.975008]]",POINT
كليات,"[[38.975008, 22.911108]]",POINT
كوثر,"[[39.320841, 22.680566]]",POINT
لج الثعيبين,"[[40.854163, 20.675046]]",POINT
لج العُتم,"[[40.845494, 20.675476]]",POINT
لقف,"[[39.263527, 23.092661]]",POINT
لينة مخمرة,"[[39.486108, 22.466676]]",POINT
عويجا,"[[40.015855, 22.087798]]",POINT
عويرضة,"[[39.24722, 22.687497]]",POINT
غراب التلعة,"[[41.17826, 20.850334]]",POINT
غران,"[[39.38487, 22.016258]]",POINT
غرزة,"[[39.40223, 22.205]]",POINT
فج حفرة,"[[39.509947, 21.990509]]",POINT
فرشة ابو صفيح,"[[41.884174, 21.37167]]",POINT
فرشة الاحمة,"[[41.993179, 21.166878]]",POINT
فرشة الازهب,"[[40.912099, 20.364318]]",POINT
فرشة الجزعة,"[[41.790791, 21.058388]]",POINT
فرشة الخضيراء,"[[41.901512, 21.143188]]",POINT
فرشة ام الحريق,"[[42.145615, 21.411152]]",POINT
فرشة ام الساف,"[[42.08107, 21.414413]]",POINT
فرشة ام جنيب,"[[42.047768, 21.438103]]",POINT
فرشة سودان,"[[42.007084, 21.293564]]",POINT
فرشة شمظة,"[[41.912499, 21.462135]]",POINT
فرشة ضعة,"[[42.132225, 21.485481]]",POINT
فرشة ضعة,"[[42.165506, 21.055748]]",POINT
فرشة محرة,"[[41.857738, 21.320515]]",POINT
فرعة العمر,"[[41.055586, 20.635178]]",POINT
قارة الاشعرية,"[[41.572909, 22.596002]]",POINT
قارة الرحية السويداء,"[[41.60368, 22.394943]]",POINT
قارة حزم,"[[41.499825, 22.185001]]",POINT
قارة شداد,"[[41.408157, 22.024498]]",POINT
طلاح,"[[39.539688, 22.17247]]",POINT
ظفر,"[[39.733322, 22.666662]]",POINT
عارض صياحه,"[[40.876672, 20.665841]]",POINT
عبل اللميسة,"[[42.552903, 22.657349]]",POINT
عبلة مريطة,"[[42.154841, 23.605607]]",POINT
عثارب,"[[40.290084, 21.083257]]",POINT
عد المريصيص,"[[42.233892, 20.36597]]",POINT
عدامة الخصيين,"[[43.337975, 21.522624]]",POINT
عدامة الرخام,"[[43.126659, 21.570475]]",POINT
عدامة المسيف,"[[43.101704, 20.904129]]",POINT
عدامة المطوع,"[[43.304093, 21.566398]]",POINT
عدامة جوهر,"[[43.11269, 21.372507]]",POINT
عرف,"[[39.602773, 22.131937]]",POINT
عرم,"[[39.410491, 22.511008]]",POINT
عريق الوزان,"[[43.081598, 21.167328]]",POINT
عزور,"[[39.154179, 22.733331]]",POINT
عسفان,"[[39.352341, 21.925385]]",POINT
عصير,"[[39.125147, 23.157248]]",POINT
ضليعة الركبه,"[[40.872209, 20.680282]]",POINT
طابة,"[[39.677789, 22.613897]]",POINT
شق الحفائر,"[[42.325108, 22.593877]]",POINT
شلوان ابو عرائن,"[[43.344026, 21.894743]]",POINT
شمر,"[[40.853884, 20.66803]]",POINT
شود زهوه,"[[42.908392, 20.856128]]",POINT
صبخة الذنيب,"[[39.114354, 22.627909]]",POINT
صره,"[[40.195456, 21.188357]]",POINT
صفا العبد,"[[41.170084, 20.341165]]",POINT
صفا عفين,"[[40.863068, 20.672042]]",POINT
صمد ابو كراثة,"[[39.210377, 22.57493]]",POINT
صمد الاحمدي,"[[39.174972, 22.128739]]",POINT
صمد دفين,"[[39.15905, 22.606344]]",POINT
صميد,"[[41.13837, 20.384123]]",POINT
ضبيب,"[[39.345839, 22.811115]]",POINT
ضبيعة,"[[39.488897, 22.456934]]",POINT
سراة بني سعد,"[[40.760157, 20.836537]]",POINT
سرح الرخوم,"[[41.19195, 22.268193]]",POINT
سفيان,"[[40.327785, 21.16353]]",POINT
سقايف نحل المخاضه,"[[40.301392, 21.15778]]",POINT
سقم الاسفل,"[[40.244143, 21.281676]]",POINT
سقم الاعلى,"[[40.257769, 21.282213]]",POINT
سلسلة جبال رهوه,"[[40.750759, 21.154883]]",POINT
سهل حفان,"[[41.358848, 21.04914]]",POINT
شرم رابغ,"[[39.001465, 22.733202]]",POINT
شعاره,"[[39.211729, 21.117311]]",POINT
خربق ضبع,"[[39.284813, 22.20279]]",POINT
خريسات,"[[40.782559, 20.853102]]",POINT
خريم,"[[39.59168, 23.051398]]",POINT
خشعة معر,"[[40.438614, 21.123619]]",POINT
خشم الكنيثيل,"[[39.198532, 22.274308]]",POINT
خشم المقود,"[[39.544709, 21.5888]]",POINT
خور الزواهر,"[[40.436447, 20.02651]]",POINT
خور السوداء,"[[39.58168, 20.582221]]",POINT
خور الشديق,"[[39.34689, 20.911016]]",POINT
خور القضيمه,"[[39.124546, 22.37443]]",POINT
خيمة أم معبد,"[[39.353886, 22.156119]]",POINT
دحلة الفرس,"[[42.485161, 22.907696]]",POINT
دعب الرديهة,"[[42.15909, 23.470166]]",POINT
دعب صميع,"[[41.402149, 22.83371]]",POINT
دفين,"[[39.291573, 22.631149]]",POINT
دوار ابو كبير,"[[41.058333, 20.438347]]",POINT
دوران,"[[39.354722, 22.500365]]",POINT
دوران,"[[39.429159, 22.35971]]",POINT
ديار البلادية,"[[39.250009, 22.249997]]",POINT
ذات عرق,"[[40.387909, 21.928689]]",POINT
ذوي بنات,"[[39.618416, 22.543194]]",POINT
رابعة,"[[42.047746, 22.919154]]",POINT
راس صميع,"[[40.145073, 21.467221]]",POINT
راس عرب,"[[39.09502, 22.405844]]",POINT
ربع ابو الحبواء,"[[40.1911, 21.188056]]",POINT
ربع الحيط,"[[40.181422, 21.173165]]",POINT
ربوة البلادية,"[[39.358327, 22.141678]]",POINT
رجم الموية,"[[41.832032, 22.358551]]",POINT
ردة زبن,"[[39.512758, 21.967056]]",POINT
ردمة الصخرة,"[[40.295405, 21.142888]]",POINT
