name,lon_lat,coor_type
أبن غنام,"[[41.679211, 21.199322]]",POINT
أبو الجزعة,"[[41.318057, 18.643606]]",POINT
أبو الريش,"[[41.299174, 18.752224]]",POINT
أبو راكة,"[[41.200962, 20.933504]]",POINT
أبو عروة,"[[39.706478, 21.647358]]",POINT
أبو علي,"[[41.088696, 19.2453]]",POINT
أبو غيل,"[[40.491829, 21.173916]]",POINT
أبو مراغ,"[[39.797115, 21.523762]]",POINT
أم الجرم,"[[39.457397, 21.956005]]",POINT
أم الحاضر,"[[41.321661, 18.75555]]",POINT
أم الحناية,"[[41.350286, 18.754435]]",POINT
أم الراكة,"[[39.993324, 21.157608]]",POINT
أم الزلة,"[[40.038643, 21.051006]]",POINT
أم الشوك,"[[40.609589, 19.869118]]",POINT
أم العرمط,"[[39.690964, 22.35029]]",POINT
أم القنديل,"[[40.695355, 19.756057]]",POINT
أم الملح,"[[39.450874, 21.966305]]",POINT
أم الملح,"[[39.756775, 22.079601]]",POINT
أم حبيتر,"[[40.086708, 21.278629]]",POINT
أم راكة,"[[42.079117, 21.95298]]",POINT
أم رُبيص,"[[40.752111, 19.657073]]",POINT
أم سدرة,"[[39.499283, 21.973343]]",POINT
أم سريحة,"[[39.495678, 21.959438]]",POINT
أم شعره,"[[41.217227, 18.923328]]",POINT
أهالا,"[[39.650517, 22.171612]]",POINT
ابو جميدة,"[[42.067981, 22.011237]]",POINT
ابو حصاني,"[[39.784241, 21.73027]]",POINT
ابو شوشه,"[[39.048135, 22.303834]]",POINT
ابو صليلة,"[[39.499969, 22.250061]]",POINT
ابو قشع,"[[39.028051, 22.252743]]",POINT
ابو ملوح,"[[42.187157, 20.724335]]",POINT
اتانة,"[[40.557532, 20.62932]]",POINT
احد بني زيد,"[[41.203022, 19.192772]]",POINT
اضم,"[[40.88474, 20.449569]]",POINT
ال بن برزان,"[[41.731825, 19.538691]]",POINT
ال حفيش,"[[41.825209, 19.540429]]",POINT
ال خريم,"[[41.801391, 19.518628]]",POINT
ال شهوان,"[[41.813428, 19.554312]]",POINT
ال مشاعث,"[[41.63048, 19.623492]]",POINT
ال مقرن,"[[41.720388, 19.804165]]",POINT
الأبرق,"[[38.62499, 20.585568]]",POINT
الأبرق,"[[42.844813, 21.228933]]",POINT
الأبواء,"[[39.077168, 23.112144]]",POINT
الأخاضر,"[[40.62933, 21.481082]]",POINT
الأريقط,"[[41.863403, 21.559639]]",POINT
الأصيحر,"[[40.372932, 22.603426]]",POINT
الأملح,"[[42.713814, 21.170011]]",POINT
الاثيل,"[[40.879226, 21.534469]]",POINT
الاجوف,"[[40.729945, 20.939598]]",POINT
الاصادعه,"[[41.805618, 19.546952]]",POINT
الاصفر,"[[40.741854, 21.227431]]",POINT
الافينخ,"[[42.421625, 20.635006]]",POINT
الباثة,"[[40.90991, 20.371249]]",POINT
البادرية,"[[41.639214, 22.921493]]",POINT
الباردة,"[[40.657353, 21.450634]]",POINT
البارك,"[[41.687107, 19.599137]]",POINT
البازم,"[[42.659397, 21.119413]]",POINT
البحرة,"[[41.669211, 22.942157]]",POINT
البحول,"[[39.430447, 22.429104]]",POINT
البراكيت,"[[41.308379, 18.754692]]",POINT
البرزة,"[[39.676437, 21.979694]]",POINT
البريكة,"[[39.320927, 22.344131]]",POINT
البريكة,"[[39.717636, 21.785717]]",POINT
البريكة,"[[41.890011, 21.589165]]",POINT
البريم,"[[41.208, 18.936481]]",POINT
البلهاء,"[[40.366366, 20.094573]]",POINT
البناية,"[[40.015469, 21.932209]]",POINT
البيار,"[[39.671288, 22.649345]]",POINT
البيداء,"[[40.719881, 20.472143]]",POINT
البيضاء,"[[40.448742, 22.428246]]",POINT
البيضتين,"[[41.369405, 18.692443]]",POINT
التضبية,"[[39.069271, 23.101501]]",POINT
التنعيم,"[[39.796429, 21.477413]]",POINT
الثابتية,"[[40.610426, 21.403642]]",POINT
الثعالبه,"[[41.084683, 19.17243]]",POINT
الثلوث,"[[41.375263, 19.443762]]",POINT
الثني,"[[40.873368, 20.995259]]",POINT
الثيل,"[[40.719044, 21.200674]]",POINT
الجبوب,"[[41.044729, 20.998499]]",POINT
الجذية,"[[41.127148, 20.54306]]",POINT
الجربة,"[[40.73694, 21.22138]]",POINT
الجرد,"[[41.438262, 18.987508]]",POINT
الجرويه,"[[40.786228, 21.265111]]",POINT
الجضع,"[[39.583397, 21.934376]]",POINT
الجعرانة,"[[39.955902, 21.563072]]",POINT
الجعلان,"[[41.094532, 20.592499]]",POINT
الجعيده,"[[41.571, 19.665399]]",POINT
الجعيرة,"[[42.24329, 22.149811]]",POINT
الجلمه,"[[41.179118, 19.167044]]",POINT
الجمدة,"[[42.710724, 21.149712]]",POINT
الجموم,"[[39.698925, 21.616631]]",POINT
الجناب الاحمر,"[[40.730245, 20.808234]]",POINT
الجنابيات,"[[40.585878, 19.765692]]",POINT
الجناح,"[[41.70835, 19.690611]]",POINT
الجندل,"[[41.551859, 18.791707]]",POINT
الجنيزيه,"[[38.982174, 22.255189]]",POINT
الحاجب,"[[41.007221, 19.195004]]",POINT
الحاجب,"[[41.373761, 18.961608]]",POINT
