name,lon_lat,coor_type
وادي قنونه,"[[41.528299, 19.190283]]",POINT
وادي حضوضى,"[[41.853747, 19.435222]]",POINT
وادي الاحسبه,"[[41.059964, 19.406147]]",POINT
وادي ناوان,"[[41.062238, 19.499531]]",POINT
وادي قنونه,"[[41.528299, 19.190283]]",POINT
وادي الخيطان,"[[41.658032, 19.726682]]",POINT
سد العوامر,"[[41.689618, 19.697907]]",POINT
وادي العشر,"[[41.682258, 19.703679]]",POINT
وادي حلحال,"[[41.749227, 19.68029]]",POINT
وادي ابرير,"[[41.752789, 19.675784]]",POINT
وادي الحناء,"[[41.739807, 19.673703]]",POINT
شعب المسالم,"[[41.773324, 19.556651]]",POINT
وادي الحفيان,"[[41.817827, 19.636044]]",POINT
وادي ابو حليفاء,"[[39.507608, 22.114856]]",POINT
وادي ابو خشب,"[[42.1878, 23.418131]]",POINT
وادي ابو صلال,"[[41.371207, 22.63263]]",POINT
وادي ابو صلال,"[[41.374683, 22.596366]]",POINT
وادي ابو عشر,"[[40.437241, 21.894722]]",POINT
وادي ابو عشر,"[[41.661851, 21.389437]]",POINT
وادي اثال,"[[39.9809, 20.809865]]",POINT
وادي الاطواء,"[[39.606335, 20.90739]]",POINT
وادي البحره,"[[41.846559, 21.568222]]",POINT
وادي البحيرة,"[[39.247799, 22.843323]]",POINT
وادي البرماء,"[[41.596663, 21.936157]]",POINT
وادي البريم,"[[41.45869, 21.9468]]",POINT
وادي البيضاء,"[[39.753642, 20.949018]]",POINT
وادي البيضاء,"[[39.916828, 21.006546]]",POINT
وادي الجادة,"[[38.907223, 23.023739]]",POINT
وادي الجفير,"[[41.15618, 21.010752]]",POINT
وادي الجفير,"[[41.279325, 21.043925]]",POINT
وادي الحاوي,"[[42.652316, 20.712061]]",POINT
وادي الحسي,"[[41.50358, 21.8205]]",POINT
وادي الحشاء,"[[40.379391, 20.896683]]",POINT
وادي الحشفات,"[[39.72019, 21.047573]]",POINT
وادي الحميطه,"[[40.974412, 21.061885]]",POINT
وادي الحنو,"[[39.666824, 22.296753]]",POINT
وادي الحوية,"[[40.876114, 21.113319]]",POINT
وادي الحوية,"[[40.939865, 21.268094]]",POINT
وادي الخانق,"[[39.284191, 22.72625]]",POINT
وادي الخبيت,"[[39.910712, 20.856385]]",POINT
وادي الخرقة,"[[39.738536, 20.905459]]",POINT
وادي الخرمة,"[[42.071135, 21.957207]]",POINT
