name,lon_lat,coor_type
جبل ام الرمث,"[[41.390146, 19.102416]]",POINT
جبل أثرب,"[[41.704874, 19.78363]]",POINT
جبل القرن,"[[41.402557, 18.91762]]",POINT
جبل الصدره,"[[41.698051, 19.352224]]",POINT
جبل ظلمان,"[[41.641531, 19.655399]]",POINT
جبل ظورت,"[[41.645823, 19.719601]]",POINT
جبل جبحة,"[[41.6569807, 19.5454598]]",POINT
جبال المبدر,"[[41.647389, 19.503286]]",POINT
جبل اثبج,"[[41.793323, 19.76361]]",POINT
جبل السفحه,"[[41.849585, 19.310102]]",POINT
جبل قثيثه,"[[41.836839, 19.38587]]",POINT
جبل الشوحطه,"[[41.835551, 19.40855]]",POINT
جبل حضوضا,"[[41.867223, 19.476678]]",POINT
جبل القرن,"[[41.826947, 19.541395]]",POINT
جبل قاعد,"[[41.804266, 19.576564]]",POINT
جبل ام فروه,"[[41.834457, 19.582615]]",POINT
نقرة,"[[39.333329, 21.982334]]",POINT
هجل خليفه,"[[40.862231, 20.67584]]",POINT
هذيل,"[[40.27251, 21.121838]]",POINT
هضاب السبعانة,"[[42.981949, 21.22344]]",POINT
هضاب الصباعين,"[[42.540436, 21.18295]]",POINT
هضاب حبان,"[[42.911439, 21.409671]]",POINT
هضاب خديعات,"[[42.567129, 20.804136]]",POINT
هضاب خديعات,"[[42.597513, 20.875139]]",POINT
هضاب ضبع,"[[42.896268, 20.884795]]",POINT
هضاب ضلماء,"[[42.873502, 21.440098]]",POINT
هضبة الشعيراء,"[[40.548327, 20.112212]]",POINT
هضبة الملك,"[[40.587444, 21.156943]]",POINT
هضبة ام عنيق,"[[43.489788, 22.121615]]",POINT
هضبة خشرم,"[[42.728319, 20.863531]]",POINT
هضبة رغله,"[[41.355908, 20.890932]]",POINT
هضبة سويقة,"[[43.184316, 21.142352]]",POINT
هضيبة الحويا,"[[43.226159, 21.401689]]",POINT
هضيبة الشريف,"[[42.765377, 21.421237]]",POINT
هضيبة عاتق,"[[39.498596, 22.125092]]",POINT
هضبة جعيرة والقليب,"[[40.88944, 20.852501]]",POINT
لابة شلمان,"[[41.362152, 22.836113]]",POINT
غابة و جبل تغد,"[[41.021426, 20.574882]]",POINT
غار البيوت,"[[40.913408, 20.376613]]",POINT
غار الربغ,"[[40.860729, 20.669789]]",POINT
غار الرهوه,"[[41.139357, 20.401912]]",POINT
غار الطويل,"[[40.01416, 20.442789]]",POINT
غار العبد,"[[40.86206, 20.671034]]",POINT
غار المغري,"[[40.19361, 21.206102]]",POINT
ضلع الأخيذع,"[[41.56188, 20.877285]]",POINT
ضلع الثويري,"[[41.681914, 21.988642]]",POINT
ضلع الجرة,"[[40.254593, 21.59483]]",POINT
ضلع الحلاة,"[[41.487465, 21.43527]]",POINT
ضلع الطويله,"[[40.879419, 20.681355]]",POINT
ضلع المارتين,"[[42.503142, 22.729726]]",POINT
ضلع الوصلة,"[[41.596169, 21.587834]]",POINT
ضلع ام السباع,"[[41.47562, 23.276253]]",POINT
ضلع ام المقاريب,"[[42.645836, 22.926235]]",POINT
ضلع ام رقيبة,"[[42.092164, 21.433833]]",POINT
ضلع ام شداد,"[[41.567287, 21.635513]]",POINT
ضلع ام عتم,"[[40.227556, 21.289423]]",POINT
