name,lon_lat,coor_type
ماء سبيل,"[[40.935895, 20.365562]]",POINT
بئر هزاع,"[[41.682472, 19.592893]]",POINT
بئر مياة,"[[41.70732, 19.632504]]",POINT
بئر حكومي,"[[41.706183, 19.685805]]",POINT
خزان الخندوق,"[[41.70835, 19.687049]]",POINT
قليب الصقلي,"[[42.573223, 21.343303]]",POINT
عيون الخوار,"[[39.554451, 22.175131]]",POINT
عين الغدير,"[[39.208145, 22.743587]]",POINT
عين خليص,"[[39.37221, 22.160282]]",POINT
عين ضرعاء,"[[40.117993, 22.289608]]",POINT
عين ماء الكربه,"[[40.797772, 21.055963]]",POINT
بئر,"[[38.926621, 23.384571]]",POINT
بئر ابن هيف,"[[42.818034, 21.816981]]",POINT
بئر ابو الحليفة,"[[40.100613, 22.196331]]",POINT
بئر ابو زوعة,"[[41.002822, 20.318227]]",POINT
بئر ال عفنان,"[[40.714667, 20.820851]]",POINT
بئر الاخيضر,"[[42.39888, 20.774868]]",POINT
بئر الاظفارة,"[[42.549706, 22.163715]]",POINT
بئر البردان,"[[40.908237, 20.280783]]",POINT
بئر البرقاء,"[[40.444386, 20.119293]]",POINT
بئر البرماء,"[[41.402042, 21.673665]]",POINT
بئر البرود,"[[39.32745, 21.328754]]",POINT
بئر البطيطية,"[[42.228055, 20.439892]]",POINT
بئر البيضاء,"[[39.882495, 20.999401]]",POINT
بئر الثميلة,"[[41.028593, 20.349104]]",POINT
بئر الجحفة,"[[39.134331, 22.699642]]",POINT
بئر الحامضة,"[[39.265995, 23.014984]]",POINT
بئر الحصيني,"[[40.209618, 20.855784]]",POINT
بئر الحفنة,"[[43.378572, 21.286783]]",POINT
بئر الحقنة,"[[41.65005, 21.504107]]",POINT
بئر الخرقة,"[[39.758835, 20.9202]]",POINT
بئر الرمرمية,"[[41.920373, 22.154961]]",POINT
بئر الروحاء,"[[39.738514, 21.424799]]",POINT
بئر الزريبة,"[[42.637661, 22.127473]]",POINT
بئر السحوبية,"[[41.439078, 21.309743]]",POINT
بئر السمرية,"[[42.473724, 21.139669]]",POINT
بئر الصاعدي,"[[38.945675, 23.330154]]",POINT
بئر الصنقبة,"[[40.518951, 22.413311]]",POINT
بئر الضريب,"[[40.622506, 21.079996]]",POINT
بئر العايدية,"[[38.954601, 23.246384]]",POINT
بئر العد,"[[39.399548, 21.239834]]",POINT
بئر العوجاء,"[[42.720852, 22.867184]]",POINT
بئر العوجاء,"[[42.584081, 21.586804]]",POINT
بئر العيينة,"[[43.404922, 21.935234]]",POINT
بئر الغالية,"[[41.72307, 21.826873]]",POINT
بئر الغامدية,"[[39.905605, 20.644856]]",POINT
بئر الغنم,"[[39.809303, 21.591396]]",POINT
بئر الفقيما,"[[41.48798, 21.452394]]",POINT
بئر القرارة,"[[41.948032, 22.836285]]",POINT
بئر القيعلية,"[[42.166901, 21.67491]]",POINT
بئر اللحيان,"[[41.680584, 22.786846]]",POINT
بئر اللميسة,"[[42.469883, 22.585702]]",POINT
بئر المحضار,"[[42.255113, 20.52407]]",POINT
بئر المريصيص,"[[42.491169, 21.560991]]",POINT
بئر النباع,"[[42.451344, 21.159496]]",POINT
بئر الوزرانية,"[[43.376255, 20.832331]]",POINT
بئر الوسيعة,"[[41.437125, 21.750977]]",POINT
بئر ام الخير,"[[40.32064, 21.142051]]",POINT
بئر ام الرفيع,"[[40.875793, 20.832675]]",POINT
بئر ام فرقين,"[[41.464806, 22.050762]]",POINT
بئر ايان,"[[40.567939, 20.962901]]",POINT
بئر ايهار,"[[41.492507, 20.879345]]",POINT
بئر بحرة,"[[41.51036, 21.562922]]",POINT
بئر برود,"[[43.054733, 22.377262]]",POINT
بئر بريم,"[[41.441696, 21.880131]]",POINT
بئر بليدة,"[[41.602564, 23.388391]]",POINT
بئر حراض,"[[41.334558, 21.651864]]",POINT
بئر خضراء,"[[40.934973, 20.891576]]",POINT
بئر دام,"[[39.904575, 20.918484]]",POINT
بئر ذبيح,"[[41.65226, 22.950439]]",POINT
بئر رضوان,"[[39.300005, 23.102789]]",POINT
بئر سعية,"[[39.962254, 20.529156]]",POINT
بئر سليته,"[[39.120941, 22.240791]]",POINT
بئر سهالة,"[[40.827684, 20.954661]]",POINT
بئر شرمة,"[[42.092679, 23.160918]]",POINT
بئر شريف,"[[39.493618, 22.111101]]",POINT
بئر ضبياء,"[[41.484268, 21.402419]]",POINT
بئر طينان,"[[42.617168, 21.674824]]",POINT
بئر عوهة,"[[39.98414, 20.790768]]",POINT
بئر فرزان,"[[43.20425, 21.304894]]",POINT
بئر كحلة,"[[41.578317, 22.748265]]",POINT
بئر لقطة,"[[43.047524, 22.561111]]",POINT
بئر ماء حكومي,"[[40.91079, 20.366099]]",POINT
بئر ماء حكومي,"[[40.914803, 20.37745]]",POINT
بئر مبيريك,"[[39.151711, 23.16536]]",POINT
بئر مرسالة,"[[42.60704, 22.565231]]",POINT
بئر مهد وراخ,"[[41.632261, 20.831344]]",POINT
بئر هديه,"[[40.248671, 21.128318]]",POINT
بئر واصل,"[[39.420791, 22.996874]]",POINT
ابار ابو حيايا,"[[41.997986, 22.801781]]",POINT
