name,lon_lat,coor_type
متحف مكة,"[[39.808788, 21.445656]]",POINT
قلعة الصريف,"[[41.158605, 20.376592]]",POINT
قصر علياء,"[[39.137421, 22.739639]]",POINT
قصر المويه الأثري,"[[41.589861, 22.745476]]",POINT
قصر المويه الأثري,"[[41.589518, 22.746184]]",POINT
سوق حُباشة,"[[41.62181250000003, 19.4280625]]",POINT
رصعة أبي زيد,"[[41.61895000000004, 19.463511]]",POINT
قلعة آل بن معيض,"[[41.65281300000004, 19.520235]]",POINT
حصن فارس,"[[41.653929999999946, 19.531088]]",POINT
قلعة خميس ناخس,"[[41.74298299999998, 19.54619]]",POINT
قصر تُغلب,"[[41.6847956, 19.5928529]]",POINT
