name,lon_lat,coor_type
نفود المنثوره,"[[42.622018, 22.304478]]",POINT
عروق سبيع,"[[42.898114, 22.771719]]",POINT
عروق سبيع,"[[43.073466, 22.212961]]",POINT
عرق  ام الشنان,"[[43.206847, 21.70377]]",POINT
عرق الثمام,"[[43.054583, 21.520672]]",POINT
عرق الخليج,"[[43.138826, 21.484709]]",POINT
عرق الدويرة,"[[43.206868, 21.622145]]",POINT
عرق الشثه,"[[40.852017, 20.669618]]",POINT
عرق العمياء,"[[43.110631, 21.77619]]",POINT
عرق القلب,"[[43.066514, 21.934869]]",POINT
عرق ام ارطى,"[[43.105116, 21.826165]]",POINT
عرق ام المراهي,"[[43.166249, 21.740956]]",POINT
عرق حنجران,"[[43.021903, 20.994723]]",POINT
عرق حنجران,"[[43.107348, 21.118276]]",POINT
عرق كتيفة,"[[43.064668, 21.859059]]",POINT
طعس ابا الدفوف,"[[42.998106, 21.09302]]",POINT
عريق رغوة,"[[43.541240000000016, 21.2271]]",POINT
