name,lon_lat,coor_type,category
ابا الرخم,"[[44.220314, 18.315067]]",POINT,أسماء ثانوية
ابار معمورة,"[[50.573673, 18.938198]]",POINT,أسماء ثانوية
ابار معمورة,"[[50.639591, 18.913307]]",POINT,أسماء ثانوية
ابرق العضب,"[[44.479952, 17.474613]]",POINT,أسماء ثانوية
ابو رخام,"[[46.771975, 18.232069]]",POINT,أسماء ثانوية
احرفيش العبر,"[[47.142828, 17.208452]]",POINT,أسماء ثانوية
الاذبرعين,"[[44.782419, 17.445946]]",POINT,أسماء ثانوية
البراق,"[[44.682856, 18.427334]]",POINT,أسماء ثانوية
الجلدة,"[[46.539888, 18.408194]]",POINT,أسماء ثانوية
الخربة,"[[43.874245, 17.661445]]",POINT,أسماء ثانوية
الخزيعبة,"[[47.393904, 17.161074]]",POINT,أسماء ثانوية
الرميثة,"[[44.595459, 19.235408]]",POINT,أسماء ثانوية
السحماء,"[[45.876246, 18.880262]]",POINT,أسماء ثانوية
السوادة,"[[47.245331, 17.354794]]",POINT,أسماء ثانوية
الشعبين,"[[44.313462, 17.593746]]",POINT,أسماء ثانوية
الشفاء,"[[44.598227, 19.130995]]",POINT,أسماء ثانوية
الصفة,"[[45.350618, 19.236975]]",POINT,أسماء ثانوية
العرنين,"[[45.176725, 19.341001]]",POINT,أسماء ثانوية
القعاميات,"[[47.388239, 17.951918]]",POINT,أسماء ثانوية
المغيراء,"[[47.130747, 16.979284]]",POINT,أسماء ثانوية
المكوكة,"[[47.437699, 17.73792]]",POINT,أسماء ثانوية
الملسة,"[[47.558527, 17.549543]]",POINT,أسماء ثانوية
المنخلي,"[[45.771446, 18.031826]]",POINT,أسماء ثانوية
المندفن,"[[45.326972, 18.559492]]",POINT,أسماء ثانوية
الهيثه,"[[47.202416, 17.795105]]",POINT,أسماء ثانوية
ام الحناش,"[[47.904253, 18.6341]]",POINT,أسماء ثانوية
ام السمر,"[[47.322214, 17.134917]]",POINT,أسماء ثانوية
ام الهجنه,"[[47.350731, 17.398052]]",POINT,أسماء ثانوية
ام فلوب,"[[47.048693, 19.27474]]",POINT,أسماء ثانوية
امهات مرو,"[[48.00004, 19.250021]]",POINT,أسماء ثانوية
بتراء ال دمنان,"[[48.446016, 18.035345]]",POINT,أسماء ثانوية
برقاء الغضب,"[[44.456434, 17.534781]]",POINT,أسماء ثانوية
برقان الكساره,"[[47.297945, 17.487831]]",POINT,أسماء ثانوية
بني دلهام,"[[47.78615, 18.497114]]",POINT,أسماء ثانوية
