name,lon_lat,coor_type
ابا الرخم,"[[44.220314, 18.315067]]",POINT
ابار معمورة,"[[50.573673, 18.938198]]",POINT
ابار معمورة,"[[50.639591, 18.913307]]",POINT
ابرق العضب,"[[44.479952, 17.474613]]",POINT
ابو رخام,"[[46.771975, 18.232069]]",POINT
احرفيش العبر,"[[47.142828, 17.208452]]",POINT
الاذبرعين,"[[44.782419, 17.445946]]",POINT
البراق,"[[44.682856, 18.427334]]",POINT
الجلدة,"[[46.539888, 18.408194]]",POINT
الخربة,"[[43.874245, 17.661445]]",POINT
الخزيعبة,"[[47.393904, 17.161074]]",POINT
الرميثة,"[[44.595459, 19.235408]]",POINT
السحماء,"[[45.876246, 18.880262]]",POINT
السوادة,"[[47.245331, 17.354794]]",POINT
الشعبين,"[[44.313462, 17.593746]]",POINT
الشفاء,"[[44.598227, 19.130995]]",POINT
الصفة,"[[45.350618, 19.236975]]",POINT
العرنين,"[[45.176725, 19.341001]]",POINT
القعاميات,"[[47.388239, 17.951918]]",POINT
المغيراء,"[[47.130747, 16.979284]]",POINT
المكوكة,"[[47.437699, 17.73792]]",POINT
الملسة,"[[47.558527, 17.549543]]",POINT
المنخلي,"[[45.771446, 18.031826]]",POINT
المندفن,"[[45.326972, 18.559492]]",POINT
الهيثه,"[[47.202416, 17.795105]]",POINT
ام الحناش,"[[47.904253, 18.6341]]",POINT
ام السمر,"[[47.322214, 17.134917]]",POINT
ام الهجنه,"[[47.350731, 17.398052]]",POINT
ام فلوب,"[[47.048693, 19.27474]]",POINT
امهات مرو,"[[48.00004, 19.250021]]",POINT
بتراء ال دمنان,"[[48.446016, 18.035345]]",POINT
برقاء الغضب,"[[44.456434, 17.534781]]",POINT
برقان الكساره,"[[47.297945, 17.487831]]",POINT
بني دلهام,"[[47.78615, 18.497114]]",POINT
تقورا,"[[44.592776, 18.951395]]",POINT
جنوبي القعاميات,"[[47.666674, 17.999983]]",POINT
حاذ العترة,"[[46.416636, 19.333448]]",POINT
حاذ العترة,"[[49.336939, 19.343405]]",POINT
