name,lon_lat,coor_type
آل أبوغبار,"[[43.773007, 17.738349]]",POINT
ابا السعود,"[[44.112103, 17.456524]]",POINT
ابو همدان,"[[44.076955, 17.452662]]",POINT
ال بحري,"[[43.997777, 17.793603]]",POINT
ال خفران,"[[43.756614, 17.599561]]",POINT
ال راكه -ديار يام,"[[44.115708, 18.142354]]",POINT
ال صومان,"[[43.77172, 17.58673]]",POINT
ال عريج,"[[43.758609, 17.493196]]",POINT
ال قنه,"[[43.758545, 17.72717]]",POINT
الاخذود,"[[44.179716, 17.477596]]",POINT
البيضاء,"[[44.357493, 18.208594]]",POINT
الجفة,"[[43.915272, 17.768154]]",POINT
الجهوش - آل عيسى,"[[43.74861, 17.599454]]",POINT
الجوشن,"[[43.861649, 18.137956]]",POINT
الحاجر,"[[43.621817, 17.501693]]",POINT
الحجف,"[[44.164181, 17.869949]]",POINT
الحرشف,"[[43.882227, 17.668934]]",POINT
الحصينية,"[[44.442852, 17.81343]]",POINT
الحصينية,"[[44.445491, 17.814631]]",POINT
الحضن,"[[44.121609, 17.460451]]",POINT
الحمر,"[[44.181454, 17.469485]]",POINT
الحمضة,"[[43.720243, 17.856753]]",POINT
الحياء,"[[43.800559, 17.970006]]",POINT
الخالدة,"[[45.100744, 18.94691]]",POINT
الخضراء,"[[44.436951, 17.54036]]",POINT
الرحاب,"[[43.896904, 18.010905]]",POINT
الرفاع,"[[44.274731, 18.436174]]",POINT
الرون - آل العون,"[[43.744984, 17.592223]]",POINT
الزبادين,"[[43.744168, 17.614582]]",POINT
الزبادين,"[[43.77305, 17.573683]]",POINT
الزور الابيض,"[[43.942502, 17.854607]]",POINT
السود,"[[44.014835, 17.570915]]",POINT
الشط - ابن منصر,"[[43.746936, 17.596385]]",POINT
الشلال,"[[44.186411, 17.515125]]",POINT
الصفاء,"[[44.076848, 17.465]]",POINT
الصفاح,"[[43.870254, 18.297386]]",POINT
الظاهرة - آل عبية,"[[43.747473, 17.594433]]",POINT
العرقوب,"[[43.838604, 17.74807]]",POINT
العريسة,"[[44.30769, 17.559071]]",POINT
العضبات,"[[44.075582, 18.164349]]",POINT
العين و القرين,"[[44.160233, 18.127141]]",POINT
الغافية,"[[43.980911, 18.041933]]",POINT
الغيظه,"[[44.076526, 17.476845]]",POINT
الغييبه,"[[44.366119, 18.220289]]",POINT
الفايجه,"[[43.961663, 17.849457]]",POINT
الفرع,"[[43.768909, 17.672625]]",POINT
القرضية,"[[44.391632, 17.809138]]",POINT
القرن,"[[43.713183, 17.722063]]",POINT
المجمع,"[[43.966255, 17.764206]]",POINT
المحال,"[[43.754597, 17.721226]]",POINT
المحيريق,"[[43.707497, 17.901664]]",POINT
المختلف,"[[43.714728, 17.708373]]",POINT
المراجل,"[[43.963337, 17.862504]]",POINT
المشعليه,"[[44.448302, 17.755945]]",POINT
المشنة - بير ابن داحن,"[[43.741937, 17.59557]]",POINT
المليحه,"[[43.806353, 17.954278]]",POINT
الموفجة,"[[44.053695, 17.437234]]",POINT
النبعه,"[[43.982134, 17.802572]]",POINT
النقعاء,"[[43.949325, 17.698438]]",POINT
النكاسي,"[[44.327517, 17.566195]]",POINT
الهييله,"[[44.407511, 18.172781]]",POINT
الواديين,"[[44.001639, 18.282774]]",POINT
الوديعة,"[[47.094655, 17.06636]]",POINT
الوطن,"[[43.756206, 17.724144]]",POINT
بدر الجنوب,"[[43.719707, 17.888575]]",POINT
بير العطف - آل عردومان,"[[43.752215, 17.600827]]",POINT
تالبان,"[[43.916388, 17.671101]]",POINT
تريمة,"[[43.922138, 17.90617]]",POINT
تنما,"[[43.715823, 17.836089]]",POINT
ثار,"[[44.078178, 17.982817]]",POINT
ثجر,"[[44.771283, 18.369913]]",POINT
حبونا,"[[44.020543, 17.847054]]",POINT
حبونا,"[[43.945291, 17.68537]]",POINT
حمى,"[[44.455147, 18.245201]]",POINT
حيرة القبيلة,"[[47.007494, 17.149401]]",POINT
خباش,"[[44.712338, 17.553105]]",POINT
خرخير,"[[51.122367, 18.853784]]",POINT
دوح,"[[43.924584, 17.672839]]",POINT
رجلاء,"[[44.218941, 17.502937]]",POINT
رضية,"[[43.76421, 17.726054]]",POINT
زور ال حارث,"[[44.063609, 17.465279]]",POINT
زور العقارب,"[[44.110816, 17.974877]]",POINT
زور جونان,"[[43.976104, 17.858062]]",POINT
سلطانه,"[[45.109134, 18.857238]]",POINT
شرورة,"[[47.096543, 17.510941]]",POINT
شعب الشهي,"[[44.134912, 17.453971]]",POINT
شكمان,"[[43.990288, 17.856388]]",POINT
شوحطه,"[[43.770261, 17.943614]]",POINT
صلة - آل جازعة,"[[43.735821, 17.598059]]",POINT
علبة محظه,"[[43.942223, 17.85862]]",POINT
غابة سقام,"[[44.199672, 17.48369]]",POINT
فردة الصدر,"[[43.994837, 17.552376]]",POINT
قري بني هميم,"[[44.001167, 17.819867]]",POINT
قطن,"[[44.122403, 18.140616]]",POINT
لاهومة,"[[44.277542, 17.840509]]",POINT
لحيفة,"[[43.891754, 17.677796]]",POINT
مركز بئر عسكر,"[[44.082491, 17.593617]]",POINT
منطقة الخانق,"[[43.7573, 17.7335]]",POINT
نجران,"[[44.223833, 17.543063]]",POINT
نزغه,"[[43.831029, 17.74749]]",POINT
نعوان,"[[44.337494, 18.180571]]",POINT
هجرة ال حنش,"[[43.938317, 17.850015]]",POINT
هجرة ال قبلان,"[[43.879309, 18.11609]]",POINT
هجرة ال مخلص,"[[44.187484, 18.07251]]",POINT
هجرة ال مشعل,"[[44.049447, 18.181944]]",POINT
هجرة الصايف,"[[43.715007, 17.804353]]",POINT
هجرة الفطحه,"[[44.163043, 18.063326]]",POINT
هجرة القايمه,"[[44.195187, 18.466623]]",POINT
هجرت ال ابو فقايا,"[[44.33758, 18.187201]]",POINT
هجرت ال سالم,"[[43.729105, 17.89381]]",POINT
هجرت ال عمر,"[[43.884308, 18.109417]]",POINT
هجرت ال عيد,"[[43.989172, 17.844458]]",POINT
هجرت ال هجامه,"[[44.500186, 17.822099]]",POINT
هجرت المنتزه,"[[44.573271, 18.145466]]",POINT
هدادة,"[[43.764296, 17.603338]]",POINT
وسط,"[[44.208448, 18.293781]]",POINT
يدمة,"[[44.204779, 18.536832]]",POINT
آل شعفه,"[[43.7680671, 17.4681934]]",POINT
