name,lon_lat,coor_type
وادي الاثايبه,"[[44.25647, 17.568791]]",POINT
وادي الجماة,"[[44.761562, 18.711219]]",POINT
وادي الحاير,"[[44.329469, 18.672938]]",POINT
وادي الحج,"[[44.194887, 17.566237]]",POINT
وادي الدلهوس,"[[43.771505, 17.660201]]",POINT
وادي الدلهوس,"[[43.771505, 17.660201]]",POINT
وادي الرغام,"[[44.195273, 17.626212]]",POINT
وادي السليل,"[[44.252114, 18.504281]]",POINT
وادي السليل,"[[44.361227, 18.569019]]",POINT
وادي الصلصل,"[[43.75773, 17.649043]]",POINT
وادي الصماء,"[[44.457722, 18.343906]]",POINT
وادي اللجام,"[[44.291103, 18.648112]]",POINT
وادي تريمه,"[[44.126458, 17.872975]]",POINT
وادي حبونا,"[[44.551921, 17.794311]]",POINT
وادي حصن,"[[43.984623, 17.414038]]",POINT
وادي حلاف,"[[44.340649, 18.222156]]",POINT
وادي حلال,"[[43.770003, 17.61205]]",POINT
وادي حيرور,"[[44.296596, 17.600076]]",POINT
وادي ذي حباب,"[[44.1365, 17.610526]]",POINT
وادي صلة,"[[44.489758, 17.428071]]",POINT
وادي عرفان,"[[44.177313, 17.776823]]",POINT
وادي عشر,"[[44.307561, 17.607479]]",POINT
وادي عليب,"[[43.766291, 17.659042]]",POINT
وادي قطن,"[[44.616444, 17.820446]]",POINT
وادي كهلان,"[[43.756743, 17.722106]]",POINT
وادي كهلان,"[[44.231193, 17.850766]]",POINT
وادي لبو,"[[44.397726, 18.220267]]",POINT
وادي مكه,"[[43.711424, 17.731955]]",POINT
وادي نجران,"[[44.381032, 17.536132]]",POINT
وادي نعوان,"[[44.332366, 18.216512]]",POINT
شعب استن,"[[44.01372, 17.811348]]",POINT
شعب ال هادي,"[[43.963895, 17.774377]]",POINT
شعب المحوي,"[[43.931494, 17.687666]]",POINT
شعب بران,"[[44.083178, 17.485321]]",POINT
شعب بني هميم,"[[44.196153, 17.84405]]",POINT
شعب عشر,"[[43.765969, 17.59572]]",POINT
شعيب القمراء,"[[44.08777, 17.498689]]",POINT
شعيب ظلم,"[[44.347901, 17.470858]]",POINT
سد ابو رشاش,"[[44.205873, 17.626362]]",POINT
سد ال عمره,"[[43.711038, 17.811756]]",POINT
سد هداده,"[[43.73138, 17.595184]]",POINT
سد وادي نعوان,"[[44.327495, 18.22222]]",POINT
سد وادي نجران,"[[44.013952, 17.407749]]",POINT
وادي ظلمة,"[[43.7634578, 17.4799563]]",POINT
