name,lon_lat,coor_type
جبال السوادة,"[[44.441371, 19.27386]]",POINT
جبال الوجد,"[[44.456992, 19.13166]]",POINT
جبل ابو خطين,"[[44.288313, 17.83139]]",POINT
جبل الاحمر,"[[44.152701, 17.444057]]",POINT
جبل التامتين,"[[44.374294, 17.43365]]",POINT
جبل الحشرج,"[[44.264882, 17.49517]]",POINT
جبل الخارش,"[[44.10779, 17.59984]]",POINT
جبل الخزان,"[[44.143324, 17.503281]]",POINT
جبل الخضراء,"[[44.419849, 17.533472]]",POINT
جبل الخنجر,"[[43.663359, 17.504911]]",POINT
جبل الراس,"[[44.150362, 17.622414]]",POINT
جبل الرداة,"[[44.417939, 17.459593]]",POINT
جبل الرقاق,"[[44.269731, 17.580442]]",POINT
جبل الزرقاء,"[[44.70279, 18.723342]]",POINT
جبل الزغيرع,"[[47.259064, 17.644043]]",POINT
جبل الزقم,"[[43.900251, 17.551603]]",POINT
جبل السواده,"[[44.404764, 17.94857]]",POINT
جبل السودة,"[[44.366355, 17.615247]]",POINT
جبل العشاء,"[[44.188471, 17.465601]]",POINT
جبل القفل,"[[44.807911, 17.469292]]",POINT
جبل اللصة,"[[44.382427, 19.128742]]",POINT
جبل المرحى,"[[44.208598, 17.432449]]",POINT
جبل المضباع,"[[44.268315, 17.593532]]",POINT
جبل المنبطح,"[[45.858736, 17.767553]]",POINT
جبل الميعان,"[[44.285352, 17.498131]]",POINT
جبل النبطاء,"[[44.614019, 19.201419]]",POINT
جبل النثاق,"[[44.592133, 17.859821]]",POINT
جبل الهيله - العريق,"[[44.006939, 18.185828]]",POINT
جبل الوطي,"[[44.347064, 17.484291]]",POINT
جبل ام شرابيب,"[[44.227781, 17.59954]]",POINT
جبل ام للحي,"[[44.338374, 17.61014]]",POINT
جبل بريمة,"[[44.261942, 17.44704]]",POINT
جبل تصلال,"[[44.493105, 17.614861]]",POINT
جبل تكتمه,"[[44.224648, 17.457662]]",POINT
جبل خشب,"[[44.683843, 19.109323]]",POINT
جبل زلوم,"[[44.254367, 17.513452]]",POINT
جبل ساره,"[[44.131672, 18.784454]]",POINT
جبل سوداء,"[[44.175339, 17.450366]]",POINT
جبل صحيفات,"[[44.381247, 17.526669]]",POINT
جبل ضبع,"[[44.5263, 17.735024]]",POINT
جبل ضحي,"[[43.93424, 17.62104]]",POINT
جبل عان شيبان,"[[44.287133, 17.564714]]",POINT
جبل عشيرة,"[[44.292412, 18.103065]]",POINT
جبل كرابل,"[[44.319041, 17.478604]]",POINT
جبل كفار,"[[43.826909, 17.668934]]",POINT
جبل لنصاب,"[[44.452658, 17.5492]]",POINT
جبل محيضر,"[[44.277563, 17.67992]]",POINT
جبل مسعود,"[[44.259818, 17.623315]]",POINT
جبل مناك,"[[44.405279, 17.47515]]",POINT
جبل مي,"[[44.244754, 17.463241]]",POINT
جبل هويمل,"[[46.004992, 17.559843]]",POINT
جبل واسط,"[[44.351892, 19.190047]]",POINT
جبل والة,"[[44.267006, 17.962732]]",POINT
جبل وريك,"[[44.445705, 18.094053]]",POINT
جبل المذراع,"[[43.736846, 17.5118404]]",POINT
