name,lon_lat,coor_type
مورد ماء,"[[47.093239, 17.091122]]",POINT
بئر ابن سويلم,"[[50.649548, 18.97459]]",POINT
بئر ابو مسيجد,"[[50.937595, 18.939915]]",POINT
بئر البتراء,"[[46.916943, 17.606299]]",POINT
بئر اوبار,"[[50.774345, 18.852367]]",POINT
بئر خضفيعة,"[[50.753746, 19.011326]]",POINT
بئر سالم,"[[50.695724, 18.950901]]",POINT
بئر طريوة,"[[50.606632, 18.974075]]",POINT
بئر عرفجة,"[[50.656242, 18.982658]]",POINT
بئر فرجة,"[[50.668774, 18.997421]]",POINT
بئر ورسة,"[[50.588436, 18.958282]]",POINT
بئر ورم,"[[50.896397, 18.944378]]",POINT
