name,lon_lat,coor_type
شقاف سرداب,"[[50.359011, 18.770742]]",POINT
شقة الاثارات,"[[49.920244, 19.095526]]",POINT
شقة البكرة,"[[47.123194, 17.736311]]",POINT
شقة الحاوي,"[[45.724754, 17.386894]]",POINT
شقة الردم,"[[46.27141, 18.150358]]",POINT
شقة القار,"[[47.626505, 17.849951]]",POINT
شقة القعود,"[[47.916956, 17.925482]]",POINT
شقة الكنوب,"[[46.870852, 17.475386]]",POINT
شقة ام الكناور,"[[46.608553, 17.716398]]",POINT
شقق الحلم,"[[46.786737, 17.678976]]",POINT
شقق الخريطة,"[[46.244631, 17.472982]]",POINT
شقق المناهيل,"[[46.518602, 17.519674]]",POINT
شقق امهات جودان,"[[46.92338, 17.31883]]",POINT
شقق بن دلهام,"[[46.843729, 17.940931]]",POINT
شقق بهجه,"[[46.705456, 17.380543]]",POINT
عرق ال قنيبر,"[[47.042513, 18.173017]]",POINT
حقنة ابن غشام,"[[50.382013, 19.180326]]",POINT
عرق الرمرام,"[[44.94215, 17.741632]]",POINT
عرق الزيزا,"[[47.246919, 17.08256]]",POINT
عرق السيول,"[[45.327187, 17.490234]]",POINT
عرق الفلس,"[[46.978998, 17.202444]]",POINT
عرق الكتيب,"[[46.923895, 17.121935]]",POINT
عرق سنان,"[[44.802504, 17.78841]]",POINT
عرق غضي,"[[45.715141, 19.419022]]",POINT
عرق مخيط,"[[45.539961, 19.210625]]",POINT
عرق مشنية,"[[46.845446, 17.223387]]",POINT
عرق منيفة,"[[45.903711, 18.247862]]",POINT
عرق نايف,"[[50.320559, 18.924894]]",POINT
عرق هويمل,"[[45.948, 17.384062]]",POINT
عرق ود,"[[45.868692, 19.254484]]",POINT
عروق,"[[45.257492, 17.579241]]",POINT
عروق,"[[46.020527, 17.386293]]",POINT
عروق البكره,"[[46.993332, 17.568941]]",POINT
عروق الحقاب,"[[45.392504, 17.399254]]",POINT
عروق الصفيات,"[[45.194707, 18.039444]]",POINT
عروق الطويلة,"[[46.284542, 17.378311]]",POINT
عروق العناب,"[[45.19063, 17.443542]]",POINT
عروق الغنم,"[[46.255617, 18.977079]]",POINT
عروق القحميات,"[[46.530447, 17.35548]]",POINT
عروق المندفن,"[[45.476275, 18.437998]]",POINT
عروق المنطحات,"[[45.776081, 17.390842]]",POINT
عروق مصفح,"[[45.849552, 17.386122]]",POINT
