name,lon_lat,coor_type,category
أبا القد,"[[42.81666, 29.683321]]",POINT,أسماء ثانوية
أبلى,"[[40.210283, 31.672511]]",POINT,أسماء ثانوية
أخيضر الشمالي,"[[37.980573, 31.399441]]",POINT,أسماء ثانوية
أفاق,"[[44.416673, 28.833339]]",POINT,أسماء ثانوية
ابرق التلول,"[[41.880355, 30.474401]]",POINT,أسماء ثانوية
ابرق الحصان,"[[42.166643, 28.791647]]",POINT,أسماء ثانوية
ابرق الخواضة,"[[42.160377, 30.873299]]",POINT,أسماء ثانوية
ابن عناز,"[[43.74773, 29.087334]]",POINT,أسماء ثانوية
ابو المطران,"[[44.081161, 28.667965]]",POINT,أسماء ثانوية
ابو شداد,"[[44.146757, 28.822117]]",POINT,أسماء ثانوية
اخيضر الجنوبي,"[[38.006043, 31.356525]]",POINT,أسماء ثانوية
ارنب,"[[42.201383, 30.035806]]",POINT,أسماء ثانوية
اسكان الحرس,"[[43.418591, 29.684823]]",POINT,أسماء ثانوية
افيحم الحنو,"[[38.407388, 31.38]]",POINT,أسماء ثانوية
الأشياخ,"[[42.644355, 28.746586]]",POINT,أسماء ثانوية
الأطواء,"[[43.545234, 29.205115]]",POINT,أسماء ثانوية
الأفاقة,"[[44.583335, 28.833339]]",POINT,أسماء ثانوية
الامنح,"[[45.315256, 28.922904]]",POINT,أسماء ثانوية
الامينح,"[[45.233073, 28.821387]]",POINT,أسماء ثانوية
الاهالة,"[[44.621401, 28.822782]]",POINT,أسماء ثانوية
البشوك,"[[44.67747, 28.169696]]",POINT,أسماء ثانوية
البطان,"[[43.421273, 28.615501]]",POINT,أسماء ثانوية
البطن,"[[43.62083, 29.693899]]",POINT,أسماء ثانوية
البلادية,"[[44.028053, 28.02887]]",POINT,أسماء ثانوية
البوابة الشرقية م.سلطان,"[[45.193419, 27.92716]]",POINT,أسماء ثانوية
البوليه,"[[40.866609, 31.337214]]",POINT,أسماء ثانوية
البياض,"[[39.833336, 31.25001]]",POINT,أسماء ثانوية
البياضة,"[[41.859326, 29.566677]]",POINT,أسماء ثانوية
التل الحمر,"[[42.709844, 29.891288]]",POINT,أسماء ثانوية
التنانير,"[[43.583343, 29.33311]]",POINT,أسماء ثانوية
التنانير,"[[43.575554, 29.428339]]",POINT,أسماء ثانوية
التناهي,"[[43.342781, 28.491948]]",POINT,أسماء ثانوية
الثرياء,"[[42.142611, 29.022939]]",POINT,أسماء ثانوية
الثليماء,"[[43.61583, 29.126945]]",POINT,أسماء ثانوية
الجافل,"[[43.337824, 29.4101]]",POINT,أسماء ثانوية
الجبيل,"[[43.333318, 28.38305]]",POINT,أسماء ثانوية
الجرانيات,"[[38.382218, 31.663628]]",POINT,أسماء ثانوية
الجرعاء,"[[43.71166, 28.745277]]",POINT,أسماء ثانوية
الجريباء,"[[44.059575, 29.437931]]",POINT,أسماء ثانوية
الجريبة,"[[44.600008, 28.900008]]",POINT,أسماء ثانوية
الجلعد,"[[43.307247, 29.20445]]",POINT,أسماء ثانوية
الجندليه,"[[40.916777, 31.589298]]",POINT,أسماء ثانوية
الجوي,"[[44.548895, 29.057207]]",POINT,أسماء ثانوية
الحجرة,"[[42.749991, 29.74999]]",POINT,أسماء ثانوية
الحجره,"[[44.361999, 28.737016]]",POINT,أسماء ثانوية
الحجول,"[[41.051939, 31.396694]]",POINT,أسماء ثانوية
الحزول,"[[42.63, 29.840434]]",POINT,أسماء ثانوية
الحماد,"[[39.828787, 31.487718]]",POINT,أسماء ثانوية
الحماطية,"[[42.66386, 28.88679]]",POINT,أسماء ثانوية
الحمره,"[[43.54032, 29.75898]]",POINT,أسماء ثانوية
الحمير,"[[43.950076, 29.166555]]",POINT,أسماء ثانوية
الحمير,"[[43.833432, 28.366313]]",POINT,أسماء ثانوية
الحنيه,"[[45.826614, 29.095359]]",POINT,أسماء ثانوية
الحوايا,"[[44.034641, 28.183322]]",POINT,أسماء ثانوية
الخشمة,"[[42.359119, 29.719949]]",POINT,أسماء ثانوية
الخشناء,"[[42.005689, 30.354559]]",POINT,أسماء ثانوية
الخل,"[[43.500001, 28.749998]]",POINT,أسماء ثانوية
الخلاة,"[[38.115134, 31.504455]]",POINT,أسماء ثانوية
الخليفية,"[[42.842667, 28.835399]]",POINT,أسماء ثانوية
الخليقه,"[[41.233406, 31.049788]]",POINT,أسماء ثانوية
الخور,"[[39.085386, 31.374185]]",POINT,أسماء ثانوية
الخيسة,"[[43.312418, 28.574324]]",POINT,أسماء ثانوية
الخيلان,"[[43.650012, 29.450011]]",POINT,أسماء ثانوية
الدارة,"[[42.130573, 29.128382]]",POINT,أسماء ثانوية
الدحول,"[[44.050069, 28.316574]]",POINT,أسماء ثانوية
الدغم,"[[43.549118, 28.744054]]",POINT,أسماء ثانوية
الدكاكة,"[[42.874489, 29.363365]]",POINT,أسماء ثانوية
الدويخلات,"[[41.952753, 29.331007]]",POINT,أسماء ثانوية
الراعي,"[[44.911144, 28.415923]]",POINT,أسماء ثانوية
الربيثه,"[[44.166949, 29.437201]]",POINT,أسماء ثانوية
الرجم الابيض,"[[41.835487, 30.435669]]",POINT,أسماء ثانوية
الرستمية,"[[43.484445, 28.950005]]",POINT,أسماء ثانوية
الرضم,"[[43.55916, 29.298327]]",POINT,أسماء ثانوية
الركعاء,"[[42.5611, 29.743445]]",POINT,أسماء ثانوية
الرمثيات,"[[41.948977, 29.449196]]",POINT,أسماء ثانوية
الرميله,"[[43.948746, 28.27265]]",POINT,أسماء ثانوية
الرهالي,"[[40.261073, 31.33745]]",POINT,أسماء ثانوية
الروثية,"[[38.906386, 31.202459]]",POINT,أسماء ثانوية
الروثية,"[[41.367409, 31.261489]]",POINT,أسماء ثانوية
الرويحليه,"[[44.399958, 28.799737]]",POINT,أسماء ثانوية
الزري,"[[43.372221, 28.749998]]",POINT,أسماء ثانوية
الزريبا,"[[43.861413, 28.671312]]",POINT,أسماء ثانوية
الزقله,"[[44.283314, 28.899965]]",POINT,أسماء ثانوية
الزقماء,"[[42.477737, 29.164517]]",POINT,أسماء ثانوية
الساده,"[[44.813619, 29.116473]]",POINT,أسماء ثانوية
السحيراء,"[[44.20289, 27.958059]]",POINT,أسماء ثانوية
السحيره,"[[44.250247, 28.199801]]",POINT,أسماء ثانوية
السعيرة,"[[42.642832, 30.576131]]",POINT,أسماء ثانوية
الشباك,"[[44.383435, 28.799887]]",POINT,أسماء ثانوية
الشعله,"[[44.16682, 27.999859]]",POINT,أسماء ثانوية
الشقوق,"[[43.479166, 29.093063]]",POINT,أسماء ثانوية
الشويرعات,"[[44.026401, 27.968144]]",POINT,أسماء ثانوية
الشير,"[[42.799215, 30.06355]]",POINT,أسماء ثانوية
الصحن,"[[42.362745, 30.776374]]",POINT,أسماء ثانوية
الصحن,"[[42.613928, 30.522809]]",POINT,أسماء ثانوية
الصحير,"[[42.116668, 30.466676]]",POINT,أسماء ثانوية
الصحين,"[[42.011783, 30.563493]]",POINT,أسماء ثانوية
الصحين,"[[42.057831, 30.76659]]",POINT,أسماء ثانوية
الصحين منزل بناق,"[[42.059183, 30.292118]]",POINT,أسماء ثانوية
الصخرة المثقوبة,"[[44.528382, 27.827425]]",POINT,أسماء ثانوية
الصداويات الغربيات,"[[44.585266, 29.247494]]",POINT,أسماء ثانوية
الصلبي,"[[44.730341, 28.49242]]",POINT,أسماء ثانوية
الصمد,"[[44.764009, 28.759847]]",POINT,أسماء ثانوية
الضباعية,"[[38.264737, 31.101522]]",POINT,أسماء ثانوية
الضبعي,"[[44.016166, 28.287392]]",POINT,أسماء ثانوية
الطراق,"[[43.756335, 28.849347]]",POINT,أسماء ثانوية
الطريفاوي,"[[39.33393, 31.710727]]",POINT,أسماء ثانوية
الطريفاوي,"[[39.339294, 31.794283]]",POINT,أسماء ثانوية
الطليح,"[[43.3775, 28.84557]]",POINT,أسماء ثانوية
الطوق,"[[43.652437, 28.845119]]",POINT,أسماء ثانوية
الطيارات,"[[44.250076, 28.94994]]",POINT,أسماء ثانوية
الظفيري,"[[43.279889, 30.122924]]",POINT,أسماء ثانوية
الظفيري,"[[43.556242, 29.972355]]",POINT,أسماء ثانوية
العاذريات,"[[44.901702, 27.721424]]",POINT,أسماء ثانوية
العاقولة,"[[43.968894, 29.225006]]",POINT,أسماء ثانوية
العجيلي,"[[44.733539, 28.566556]]",POINT,أسماء ثانوية
العرفجيات,"[[42.794795, 29.898884]]",POINT,أسماء ثانوية
العقبة,"[[43.614435, 30.086939]]",POINT,أسماء ثانوية
العقرب الشماليه,"[[42.791405, 29.39229]]",POINT,أسماء ثانوية
العقرب الغربيه,"[[42.682142, 29.261827]]",POINT,أسماء ثانوية
العقرب الوسطى,"[[42.764497, 29.330771]]",POINT,أسماء ثانوية
العكرشي,"[[43.792985, 28.405216]]",POINT,أسماء ثانوية
العلوكية,"[[43.260834, 29.140463]]",POINT,أسماء ثانوية
الغبيط,"[[43.750005, 29.74999]]",POINT,أسماء ثانوية
الغراء,"[[41.924107, 29.114327]]",POINT,أسماء ثانوية
الغرابيات,"[[44.112682, 29.052057]]",POINT,أسماء ثانوية
الغرب,"[[44.815657, 28.707576]]",POINT,أسماء ثانوية
الفروثيات,"[[43.517232, 28.54248]]",POINT,أسماء ثانوية
الفريدة,"[[41.530251, 29.873993]]",POINT,أسماء ثانوية
القبيبات,"[[43.567228, 29.447501]]",POINT,أسماء ثانوية
القتب,"[[38.037865, 31.602924]]",POINT,أسماء ثانوية
القريه,"[[44.625092, 28.765147]]",POINT,أسماء ثانوية
القنينه,"[[44.472249, 28.897541]]",POINT,أسماء ثانوية
الكراع,"[[44.799414, 28.429356]]",POINT,أسماء ثانوية
الكسور,"[[38.577933, 31.284835]]",POINT,أسماء ثانوية
اللبه,"[[41.479697, 29.42703]]",POINT,أسماء ثانوية
المتاييه,"[[43.141637, 28.479996]]",POINT,أسماء ثانوية
المتاييه,"[[43.116295, 28.563187]]",POINT,أسماء ثانوية
المجيلس,"[[40.056453, 31.389613]]",POINT,أسماء ثانوية
المجيلس,"[[41.834843, 31.025262]]",POINT,أسماء ثانوية
المجيلس,"[[43.612654, 29.039333]]",POINT,أسماء ثانوية
المحروقات,"[[43.271241, 29.697633]]",POINT,أسماء ثانوية
المحقبه,"[[44.75004, 28.08305]]",POINT,أسماء ثانوية
المراود,"[[44.853315, 29.07609]]",POINT,أسماء ثانوية
المرواد,"[[44.446521, 28.91784]]",POINT,أسماء ثانوية
المريوه,"[[44.867971, 28.491518]]",POINT,أسماء ثانوية
المريوه,"[[44.930928, 28.579259]]",POINT,أسماء ثانوية
المسيهرية,"[[41.198623, 31.222029]]",POINT,أسماء ثانوية
المطاوي,"[[39.891486, 30.998054]]",POINT,أسماء ثانوية
المطربه,"[[44.533381, 28.616531]]",POINT,أسماء ثانوية
المطق,"[[44.416673, 28.383286]]",POINT,أسماء ثانوية
المعيزيله,"[[43.666706, 28.932688]]",POINT,أسماء ثانوية
المفك,"[[43.182063, 29.528182]]",POINT,أسماء ثانوية
الملحاء,"[[40.99999, 31.499991]]",POINT,أسماء ثانوية
المناشبيات,"[[43.530107, 29.380982]]",POINT,أسماء ثانوية
المندسة,"[[42.330751, 29.845004]]",POINT,أسماء ثانوية
المهوة,"[[43.86667, 28.699872]]",POINT,أسماء ثانوية
الناصفة,"[[42.151945, 30.046921]]",POINT,أسماء ثانوية
النخيريرات,"[[43.383293, 29.566698]]",POINT,أسماء ثانوية
النصله,"[[44.747293, 28.984852]]",POINT,أسماء ثانوية
النهيدين,"[[40.76226, 30.771911]]",POINT,أسماء ثانوية
النهيدين,"[[42.648647, 29.055898]]",POINT,أسماء ثانوية
الهامل الشرقي,"[[43.262186, 29.053345]]",POINT,أسماء ثانوية
الهامل الشمالي,"[[43.25223, 29.067593]]",POINT,أسماء ثانوية
الهامل الغربي,"[[43.229828, 29.058237]]",POINT,أسماء ثانوية
الهذاليل,"[[44.000008, 28.833296]]",POINT,أسماء ثانوية
الوديان,"[[40.843649, 31.422765]]",POINT,أسماء ثانوية
الوديان,"[[41.070306, 31.063178]]",POINT,أسماء ثانوية
الوشح,"[[45.436664, 28.950949]]",POINT,أسماء ثانوية
الوغدان,"[[44.120471, 28.796217]]",POINT,أسماء ثانوية
اليتيمات,"[[44.727466, 27.806289]]",POINT,أسماء ثانوية
ام الذيابه الشماليه,"[[42.04457, 29.627037]]",POINT,أسماء ثانوية
ام الطمي,"[[44.327066, 28.630264]]",POINT,أسماء ثانوية
ام الفريس,"[[40.018387, 31.880071]]",POINT,أسماء ثانوية
ام ثغبان,"[[43.544977, 29.404993]]",POINT,أسماء ثانوية
ام جديل,"[[39.62966, 31.031742]]",POINT,أسماء ثانوية
ام رماح,"[[43.141358, 28.978329]]",POINT,أسماء ثانوية
ام رويثه,"[[44.108605, 28.918054]]",POINT,أسماء ثانوية
باترول خربان,"[[42.348518, 29.010687]]",POINT,أسماء ثانوية
باعجة الخر,"[[42.142589, 29.161792]]",POINT,أسماء ثانوية
براك العرايش,"[[43.332996, 28.491583]]",POINT,أسماء ثانوية
براك العشار,"[[43.361878, 28.675497]]",POINT,أسماء ثانوية
بربك ابو قحلول,"[[44.793878, 28.326445]]",POINT,أسماء ثانوية
بربك سنار,"[[41.746674, 29.69862]]",POINT,أسماء ثانوية
بريقاء غنم,"[[44.628782, 29.139926]]",POINT,أسماء ثانوية
بريكة حمد,"[[43.383379, 28.933396]]",POINT,أسماء ثانوية
بسيتين خثال,"[[43.670912, 28.414035]]",POINT,أسماء ثانوية
بطن الرعن,"[[41.642604, 29.69362]]",POINT,أسماء ثانوية
