name,lon_lat,coor_type
أبا القد,"[[42.81666, 29.683321]]",POINT
أبلى,"[[40.210283, 31.672511]]",POINT
أخيضر الشمالي,"[[37.980573, 31.399441]]",POINT
أفاق,"[[44.416673, 28.833339]]",POINT
ابرق التلول,"[[41.880355, 30.474401]]",POINT
ابرق الحصان,"[[42.166643, 28.791647]]",POINT
ابرق الخواضة,"[[42.160377, 30.873299]]",POINT
ابن عناز,"[[43.74773, 29.087334]]",POINT
ابو المطران,"[[44.081161, 28.667965]]",POINT
ابو شداد,"[[44.146757, 28.822117]]",POINT
اخيضر الجنوبي,"[[38.006043, 31.356525]]",POINT
ارنب,"[[42.201383, 30.035806]]",POINT
اسكان الحرس,"[[43.418591, 29.684823]]",POINT
افيحم الحنو,"[[38.407388, 31.38]]",POINT
الأشياخ,"[[42.644355, 28.746586]]",POINT
الأطواء,"[[43.545234, 29.205115]]",POINT
الأفاقة,"[[44.583335, 28.833339]]",POINT
الامنح,"[[45.315256, 28.922904]]",POINT
الامينح,"[[45.233073, 28.821387]]",POINT
الاهالة,"[[44.621401, 28.822782]]",POINT
البشوك,"[[44.67747, 28.169696]]",POINT
البطان,"[[43.421273, 28.615501]]",POINT
البطن,"[[43.62083, 29.693899]]",POINT
البلادية,"[[44.028053, 28.02887]]",POINT
البوابة الشرقية م.سلطان,"[[45.193419, 27.92716]]",POINT
البوليه,"[[40.866609, 31.337214]]",POINT
البياض,"[[39.833336, 31.25001]]",POINT
البياضة,"[[41.859326, 29.566677]]",POINT
التل الحمر,"[[42.709844, 29.891288]]",POINT
التنانير,"[[43.583343, 29.33311]]",POINT
التنانير,"[[43.575554, 29.428339]]",POINT
التناهي,"[[43.342781, 28.491948]]",POINT
الثرياء,"[[42.142611, 29.022939]]",POINT
الثليماء,"[[43.61583, 29.126945]]",POINT
الجافل,"[[43.337824, 29.4101]]",POINT
الجبيل,"[[43.333318, 28.38305]]",POINT
الجرانيات,"[[38.382218, 31.663628]]",POINT
الجرعاء,"[[43.71166, 28.745277]]",POINT
الجريباء,"[[44.059575, 29.437931]]",POINT
الجريبة,"[[44.600008, 28.900008]]",POINT
الجلعد,"[[43.307247, 29.20445]]",POINT
الجندليه,"[[40.916777, 31.589298]]",POINT
الجوي,"[[44.548895, 29.057207]]",POINT
الحجرة,"[[42.749991, 29.74999]]",POINT
الحجره,"[[44.361999, 28.737016]]",POINT
الحجول,"[[41.051939, 31.396694]]",POINT
الحزول,"[[42.63, 29.840434]]",POINT
الحماد,"[[39.828787, 31.487718]]",POINT
الحماطية,"[[42.66386, 28.88679]]",POINT
الحمره,"[[43.54032, 29.75898]]",POINT
الحمير,"[[43.950076, 29.166555]]",POINT
الحمير,"[[43.833432, 28.366313]]",POINT
الحنيه,"[[45.826614, 29.095359]]",POINT
الحوايا,"[[44.034641, 28.183322]]",POINT
الخشمة,"[[42.359119, 29.719949]]",POINT
الخشناء,"[[42.005689, 30.354559]]",POINT
الخل,"[[43.500001, 28.749998]]",POINT
الخلاة,"[[38.115134, 31.504455]]",POINT
الخليفية,"[[42.842667, 28.835399]]",POINT
الخليقه,"[[41.233406, 31.049788]]",POINT
الخور,"[[39.085386, 31.374185]]",POINT
الخيسة,"[[43.312418, 28.574324]]",POINT
الخيلان,"[[43.650012, 29.450011]]",POINT
الدارة,"[[42.130573, 29.128382]]",POINT
الدحول,"[[44.050069, 28.316574]]",POINT
الدغم,"[[43.549118, 28.744054]]",POINT
الدكاكة,"[[42.874489, 29.363365]]",POINT
الدويخلات,"[[41.952753, 29.331007]]",POINT
الراعي,"[[44.911144, 28.415923]]",POINT
الربيثه,"[[44.166949, 29.437201]]",POINT
الرجم الابيض,"[[41.835487, 30.435669]]",POINT
الرستمية,"[[43.484445, 28.950005]]",POINT
الرضم,"[[43.55916, 29.298327]]",POINT
الركعاء,"[[42.5611, 29.743445]]",POINT
الرمثيات,"[[41.948977, 29.449196]]",POINT
الرميله,"[[43.948746, 28.27265]]",POINT
الرهالي,"[[40.261073, 31.33745]]",POINT
الروثية,"[[38.906386, 31.202459]]",POINT
الروثية,"[[41.367409, 31.261489]]",POINT
الرويحليه,"[[44.399958, 28.799737]]",POINT
الزري,"[[43.372221, 28.749998]]",POINT
الزريبا,"[[43.861413, 28.671312]]",POINT
الزقله,"[[44.283314, 28.899965]]",POINT
الزقماء,"[[42.477737, 29.164517]]",POINT
الساده,"[[44.813619, 29.116473]]",POINT
السحيراء,"[[44.20289, 27.958059]]",POINT
السحيره,"[[44.250247, 28.199801]]",POINT
السعيرة,"[[42.642832, 30.576131]]",POINT
الشباك,"[[44.383435, 28.799887]]",POINT
الشعله,"[[44.16682, 27.999859]]",POINT
الشقوق,"[[43.479166, 29.093063]]",POINT
الشويرعات,"[[44.026401, 27.968144]]",POINT
الشير,"[[42.799215, 30.06355]]",POINT
الصحن,"[[42.362745, 30.776374]]",POINT
الصحن,"[[42.613928, 30.522809]]",POINT
الصحير,"[[42.116668, 30.466676]]",POINT
الصحين,"[[42.011783, 30.563493]]",POINT
الصحين,"[[42.057831, 30.76659]]",POINT
الصحين منزل بناق,"[[42.059183, 30.292118]]",POINT
الصخرة المثقوبة,"[[44.528382, 27.827425]]",POINT
الصداويات الغربيات,"[[44.585266, 29.247494]]",POINT
الصلبي,"[[44.730341, 28.49242]]",POINT
الصمد,"[[44.764009, 28.759847]]",POINT
الضباعية,"[[38.264737, 31.101522]]",POINT
الضبعي,"[[44.016166, 28.287392]]",POINT
الطراق,"[[43.756335, 28.849347]]",POINT
الطريفاوي,"[[39.33393, 31.710727]]",POINT
الطريفاوي,"[[39.339294, 31.794283]]",POINT
الطليح,"[[43.3775, 28.84557]]",POINT
الطوق,"[[43.652437, 28.845119]]",POINT
الطيارات,"[[44.250076, 28.94994]]",POINT
الظفيري,"[[43.279889, 30.122924]]",POINT
الظفيري,"[[43.556242, 29.972355]]",POINT
العاذريات,"[[44.901702, 27.721424]]",POINT
العاقولة,"[[43.968894, 29.225006]]",POINT
العجيلي,"[[44.733539, 28.566556]]",POINT
العرفجيات,"[[42.794795, 29.898884]]",POINT
العقبة,"[[43.614435, 30.086939]]",POINT
العقرب الشماليه,"[[42.791405, 29.39229]]",POINT
العقرب الغربيه,"[[42.682142, 29.261827]]",POINT
العقرب الوسطى,"[[42.764497, 29.330771]]",POINT
العكرشي,"[[43.792985, 28.405216]]",POINT
العلوكية,"[[43.260834, 29.140463]]",POINT
الغبيط,"[[43.750005, 29.74999]]",POINT
الغراء,"[[41.924107, 29.114327]]",POINT
الغرابيات,"[[44.112682, 29.052057]]",POINT
الغرب,"[[44.815657, 28.707576]]",POINT
الفروثيات,"[[43.517232, 28.54248]]",POINT
الفريدة,"[[41.530251, 29.873993]]",POINT
القبيبات,"[[43.567228, 29.447501]]",POINT
القتب,"[[38.037865, 31.602924]]",POINT
القريه,"[[44.625092, 28.765147]]",POINT
القنينه,"[[44.472249, 28.897541]]",POINT
الكراع,"[[44.799414, 28.429356]]",POINT
الكسور,"[[38.577933, 31.284835]]",POINT
اللبه,"[[41.479697, 29.42703]]",POINT
المتاييه,"[[43.141637, 28.479996]]",POINT
المتاييه,"[[43.116295, 28.563187]]",POINT
المجيلس,"[[40.056453, 31.389613]]",POINT
المجيلس,"[[41.834843, 31.025262]]",POINT
المجيلس,"[[43.612654, 29.039333]]",POINT
المحروقات,"[[43.271241, 29.697633]]",POINT
المحقبه,"[[44.75004, 28.08305]]",POINT
المراود,"[[44.853315, 29.07609]]",POINT
المرواد,"[[44.446521, 28.91784]]",POINT
المريوه,"[[44.867971, 28.491518]]",POINT
المريوه,"[[44.930928, 28.579259]]",POINT
المسيهرية,"[[41.198623, 31.222029]]",POINT
المطاوي,"[[39.891486, 30.998054]]",POINT
المطربه,"[[44.533381, 28.616531]]",POINT
المطق,"[[44.416673, 28.383286]]",POINT
المعيزيله,"[[43.666706, 28.932688]]",POINT
المفك,"[[43.182063, 29.528182]]",POINT
